Conc1	1.6E-09	
Start1	690.04	
Stop1	2789.83	
Kobs	0.00176235100506768	
Error Kobs	228.685685641543	
Koff	0.00283359292698488	
Error Koff	3120.55892595919	
Time1	Data1	Fit1	
690.04	0.00016443	0.00016443	
690.24	0.0004875	0.00024329	
690.44	0.00072018	0.00032213	
690.64	0.0014062	0.00040093	
690.84	0.00189607	0.00047971	
691.04	0.00272492	0.00055846	
691.24	0.00300109	0.00063718	
691.44	0.00310768	0.00071587	
691.64	0.00339112	0.00079454	
691.84	0.00326145	0.00087317	
692.04	0.00322091	0.00095178	
692.24	0.00346763	0.00103037	
692.44	0.00304396	0.00110892	
692.64	0.00294287	0.00118745	
692.84	0.00383472	0.00126595	
693.04	0.00346966	0.00134442	
693.24	0.00306584	0.00142286	
693.44	0.00291029	0.00150128	
693.64	0.00290156	0.00157967	
693.84	0.00306154	0.00165803	
694.04	0.00318205	0.00173636	
694.24	0.00354252	0.00181467	
694.44	0.00358264	0.00189295	
694.64	0.00392543	0.0019712	
694.84	0.00416457	0.00204942	
695.04	0.00431489	0.00212762	
695.24	0.00352378	0.00220578	
695.44	0.003031	0.00228392	
695.64	0.002912	0.00236204	
695.84	0.00254517	0.00244012	
696.04	0.00241955	0.00251818	
696.24	0.00250132	0.00259621	
696.44	0.00246382	0.00267421	
696.64	0.0026072	0.00275219	
696.84	0.00268595	0.00283014	
697.04	0.00244702	0.00290806	
697.24	0.00247173	0.00298595	
697.44	0.00296598	0.00306382	
697.64	0.00316384	0.00314165	
697.84	0.00347405	0.00321947	
698.04	0.00394792	0.00329725	
698.24	0.004463	0.003375	
698.44	0.0040144	0.00345273	
698.64	0.00416249	0.00353043	
698.84	0.00461477	0.00360811	
699.04	0.00432313	0.00368575	
699.24	0.00377839	0.00376337	
699.44	0.00418085	0.00384096	
699.64	0.00395958	0.00391853	
699.84	0.00396098	0.00399607	
700.04	0.00362124	0.00407358	
700.24	0.00375026	0.00415106	
700.44	0.00379853	0.00422851	
700.64	0.00382027	0.00430594	
700.84	0.0042451	0.00438334	
701.04	0.00482161	0.00446071	
701.24	0.00515495	0.00453806	
701.44	0.0059963	0.00461538	
701.64	0.00642111	0.00469267	
701.84	0.00682751	0.00476993	
702.04	0.0068599	0.00484717	
702.24	0.00653229	0.00492438	
702.44	0.0062595	0.00500156	
702.64	0.0061022	0.00507872	
702.84	0.00608677	0.00515585	
703.04	0.005878	0.00523295	
703.24	0.0055881	0.00531002	
703.44	0.00603509	0.00538707	
703.64	0.00537561	0.00546409	
703.84	0.00508474	0.00554108	
704.04	0.00487222	0.00561804	
704.24	0.00523795	0.00569498	
704.44	0.00539522	0.00577189	
704.64	0.00560247	0.00584878	
704.84	0.00609424	0.00592563	
705.04	0.00646188	0.00600246	
705.24	0.00676543	0.00607926	
705.44	0.00723213	0.00615604	
705.64	0.00703963	0.00623279	
705.84	0.00720632	0.00630951	
706.04	0.00663547	0.0063862	
706.24	0.00616196	0.00646287	
706.44	0.00617534	0.00653951	
706.64	0.00563347	0.00661613	
706.84	0.00582951	0.00669271	
707.04	0.00583003	0.00676927	
707.24	0.00563545	0.0068458	
707.44	0.00545602	0.00692231	
707.64	0.00512631	0.00699879	
707.84	0.00448016	0.00707524	
708.04	0.00450084	0.00715166	
708.24	0.00463466	0.00722806	
708.44	0.00485595	0.00730443	
708.64	0.00482509	0.00738077	
708.84	0.00555086	0.00745709	
709.04	0.00600764	0.00753338	
709.24	0.00611309	0.00760964	
709.44	0.00663104	0.00768588	
709.64	0.00677549	0.00776209	
709.84	0.00744179	0.00783827	
710.04	0.0072578	0.00791443	
710.24	0.00772737	0.00799056	
710.44	0.00823188	0.00806666	
710.64	0.0083553	0.00814273	
710.84	0.00898109	0.00821878	
711.04	0.00903317	0.0082948	
711.24	0.00916924	0.0083708	
711.44	0.00926063	0.00844677	
711.64	0.00936993	0.00852271	
711.84	0.00916375	0.00859862	
712.04	0.00959407	0.00867451	
712.24	0.0097451	0.00875037	
712.44	0.00968691	0.0088262	
712.64	0.00956643	0.00890201	
712.84	0.00960872	0.00897779	
713.04	0.00932402	0.00905355	
713.24	0.00914449	0.00912927	
713.44	0.00931461	0.00920497	
713.64	0.00903349	0.00928065	
713.84	0.00887536	0.00935629	
714.04	0.00880101	0.00943192	
714.24	0.00891822	0.00950751	
714.44	0.00851618	0.00958308	
714.64	0.00846441	0.00965862	
714.84	0.00849647	0.00973413	
715.04	0.0080787	0.00980962	
715.24	0.00809843	0.00988508	
715.44	0.00834668	0.00996051	
715.64	0.00816122	0.01003592	
715.84	0.00858925	0.0101113	
716.04	0.00914527	0.01018666	
716.24	0.00883585	0.01026198	
716.44	0.00926188	0.01033729	
716.64	0.00948583	0.01041256	
716.84	0.0093552	0.01048781	
717.04	0.00993591	0.01056303	
717.24	0.010582	0.01063823	
717.44	0.01086378	0.0107134	
717.64	0.01116545	0.01078854	
717.84	0.01152794	0.01086365	
718.04	0.011849	0.01093874	
718.24	0.01194701	0.01101381	
718.44	0.01229404	0.01108884	
718.64	0.01243449	0.01116385	
718.84	0.01209536	0.01123884	
719.04	0.0112923	0.01131379	
719.24	0.01098804	0.01138872	
719.44	0.01079994	0.01146363	
719.64	0.01054708	0.01153851	
719.84	0.01072799	0.01161336	
720.04	0.01079453	0.01168818	
720.24	0.01046094	0.01176298	
720.44	0.0108632	0.01183775	
720.64	0.01060574	0.0119125	
720.84	0.01019851	0.01198722	
721.04	0.01065214	0.01206191	
721.24	0.01076067	0.01213658	
721.44	0.01073464	0.01221122	
721.64	0.0106359	0.01228584	
721.84	0.01080192	0.01236042	
722.04	0.01111215	0.01243499	
722.24	0.01164444	0.01250952	
722.44	0.01206577	0.01258403	
722.64	0.01172648	0.01265851	
722.84	0.01132232	0.01273297	
723.04	0.01075817	0.0128074	
723.24	0.01085254	0.01288181	
723.44	0.01122804	0.01295618	
723.64	0.01159184	0.01303054	
723.84	0.01179719	0.01310486	
724.04	0.01185203	0.01317916	
724.24	0.01197113	0.01325343	
724.44	0.01205159	0.01332768	
724.64	0.01229143	0.0134019	
724.84	0.0121419	0.0134761	
725.04	0.01215186	0.01355027	
725.24	0.01215863	0.01362441	
725.44	0.01238197	0.01369853	
725.64	0.0127194	0.01377262	
725.84	0.01295875	0.01384668	
726.04	0.01314292	0.01392072	
726.24	0.01302134	0.01399473	
726.44	0.0129477	0.01406872	
726.64	0.01241888	0.01414268	
726.84	0.01225857	0.01421661	
727.04	0.01241465	0.01429052	
727.24	0.01213876	0.0143644	
727.44	0.01251445	0.01443826	
727.64	0.01256734	0.01451209	
727.84	0.01276893	0.01458589	
728.04	0.01321677	0.01465967	
728.24	0.01354447	0.01473342	
728.44	0.01372447	0.01480714	
728.64	0.01411089	0.01488084	
728.84	0.013855	0.01495452	
729.04	0.0140036	0.01502816	
729.24	0.01481838	0.01510179	
729.44	0.01505852	0.01517538	
729.64	0.01540167	0.01524895	
729.84	0.01512037	0.0153225	
730.04	0.01498142	0.01539601	
730.24	0.01497965	0.01546951	
730.44	0.01492649	0.01554297	
730.64	0.01484301	0.01561641	
730.84	0.01500862	0.01568983	
731.04	0.01497972	0.01576322	
731.24	0.01472295	0.01583658	
731.44	0.01487564	0.01590992	
731.64	0.01498863	0.01598323	
731.84	0.01525169	0.01605651	
732.04	0.01513771	0.01612977	
732.24	0.01476728	0.01620301	
732.44	0.0146187	0.01627621	
732.64	0.01444749	0.01634939	
732.84	0.01462973	0.01642255	
733.04	0.0146832	0.01649568	
733.24	0.01441346	0.01656879	
733.44	0.01409236	0.01664186	
733.64	0.01477394	0.01671492	
733.84	0.0150834	0.01678795	
734.04	0.0153774	0.01686095	
734.24	0.01571996	0.01693392	
734.44	0.01586799	0.01700687	
734.64	0.01673946	0.0170798	
734.84	0.01705808	0.0171527	
735.04	0.01725195	0.01722557	
