Conc1	6.4E-11	
Start1	690.04	
Stop1	2789.83	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
690.04	0.00077949		
690.24	0.00053373		
690.44	0.00023066		
690.64	0.00011667		
690.84	0.00001378		
691.04	-0.0000229		
691.24	-0.00033624		
691.44	-0.00062616		
691.64	-0.00041624		
691.84	-0.00069881		
692.04	-0.00134039		
692.24	-0.0015327		
692.44	-0.00139935		
692.64	-0.00084457		
692.84	-0.00068345		
693.04	-0.00056004		
693.24	-0.00037926		
693.44	-0.00029522		
693.64	0.00002689		
693.84	-0.00012664		
694.04	-0.00062921		
694.24	-0.00085504		
694.44	-0.00149169		
694.64	-0.0016073		
694.84	-0.00137409		
695.04	-0.00131219		
695.24	-0.00171374		
695.44	-0.00173355		
695.64	-0.00127189		
695.84	-0.001761		
696.04	-0.00150511		
696.24	-0.00075026		
696.44	-0.00011538		
696.64	0.0002787		
696.84	0.00031082		
697.04	0.00067666		
697.24	0.00106564		
697.44	0.00107854		
697.64	0.00095351		
697.84	0.0008764		
698.04	0.00047205		
698.24	0.00056518		
698.44	-0.00009824		
698.64	0.00030482		
698.84	0.00041031		
699.04	0.00027892		
699.24	0.00011243		
699.44	-0.00025715		
699.64	-0.00026239		
699.84	-0.00039701		
700.04	-0.00014352		
700.24	0.00001994		
700.44	0.00037997		
700.64	0.00044748		
700.84	0.00053062		
701.04	0.00088847		
701.24	0.00040183		
701.44	0.00018542		
701.64	0.00000691		
701.84	-0.00005253		
702.04	-0.00053123		
702.24	-0.00066873		
702.44	-0.00117796		
702.64	-0.00152887		
702.84	-0.00196208		
703.04	-0.00199107		
703.24	-0.00239001		
703.44	-0.00253042		
703.64	-0.00231606		
703.84	-0.00215833		
704.04	-0.00188461		
704.24	-0.0011671		
704.44	-0.00073394		
704.64	-0.00041754		
704.84	-0.000229		
705.04	0.00032133		
705.24	0.00016406		
705.44	0.00032868		
705.64	0.00056839		
705.84	0.0004421		
706.04	0.00045376		
706.24	0.00049533		
706.44	0.00045781		
706.64	0.00034503		
706.84	0.00029707		
707.04	0.000631		
707.24	0.00051909		
707.44	0.0007255		
707.64	0.0005733		
707.84	0.0002789		
708.04	0.00031319		
708.24	0.00034551		
708.44	-0.00027309		
708.64	-0.00029635		
708.84	-0.00059734		
709.04	-0.00056078		
709.24	-0.00090604		
709.44	-0.00138536		
709.64	-0.00129585		
709.84	-0.00158472		
710.04	-0.0012938		
710.24	-0.00091375		
710.44	-0.00061865		
710.64	-0.00032134		
710.84	-0.00026664		
711.04	-0.0000997		
711.24	0.00009269		
711.44	0.00046241		
711.64	0.00080846		
711.84	0.00068675		
712.04	0.00114061		
712.24	0.00103795		
712.44	0.00065829		
712.64	0.00095818		
712.84	0.00027029		
713.04	-0.00004443		
713.24	-0.00020947		
713.44	-0.0007206		
713.64	-0.00049543		
713.84	-0.00131892		
714.04	-0.00126152		
714.24	-0.00103427		
714.44	-0.00122844		
714.64	-0.00106952		
714.84	-0.00162985		
715.04	-0.00135818		
715.24	-0.00102459		
715.44	-0.00093353		
715.64	-0.00062525		
715.84	-0.00067287		
716.04	-0.00069234		
716.24	-0.00098303		
716.44	-0.00103681		
716.64	-0.00074863		
716.84	-0.00088038		
717.04	-0.00057452		
717.24	-0.00032992		
717.44	-0.00028089		
717.64	0.00029315		
717.84	-0.00025373		
718.04	0.00032483		
718.24	0.00045542		
718.44	0.00021396		
718.64	0.0003162		
718.84	0.00013346		
719.04	-0.00024538		
719.24	-0.00029773		
719.44	-0.00053529		
719.64	-0.00077095		
719.84	-0.00136492		
720.04	-0.00146069		
720.24	-0.00163108		
720.44	-0.00171963		
720.64	-0.00190049		
720.84	-0.00194754		
721.04	-0.00222761		
721.24	-0.00228947		
721.44	-0.00209557		
721.64	-0.00169643		
721.84	-0.00170097		
722.04	-0.00087995		
722.24	-0.0002426		
722.44	0.000103		
722.64	0.0004791		
722.84	0.00088147		
723.04	0.00078054		
723.24	0.00161419		
723.44	0.0015625		
723.64	0.00179802		
723.84	0.00221438		
724.04	0.00217035		
724.24	0.00192437		
724.44	0.00154178		
724.64	0.00071688		
724.84	0.00101434		
725.04	0.0008159		
725.24	0.00080403		
725.44	0.0007832		
725.64	0.00069483		
725.84	0.00095418		
726.04	0.0011328		
726.24	0.0012257		
726.44	0.00111683		
726.64	0.00093711		
726.84	0.00049863		
727.04	0.000393		
727.24	0.00063458		
727.44	0.0007282		
727.64	0.00073585		
727.84	0.00083281		
728.04	0.00074735		
728.24	0.00080387		
728.44	0.00065614		
728.64	0.00081566		
728.84	0.00151815		
729.04	0.00140649		
729.24	0.00076171		
729.44	0.00072015		
729.64	0.00037019		
729.84	0.00015212		
730.04	-0.0000663		
730.24	-0.00036542		
730.44	-0.00061391		
730.64	-0.00125821		
730.84	-0.00187455		
731.04	-0.00165376		
731.24	-0.00183062		
731.44	-0.00141391		
731.64	-0.0015159		
731.84	-0.00128154		
732.04	-0.00060282		
732.24	-0.00037856		
732.44	-0.00003116		
732.64	0.00040876		
732.84	0.00046039		
733.04	0.00039148		
733.24	-0.00029972		
733.44	-0.00009286		
733.64	-0.00071992		
733.84	-0.00095543		
734.04	-0.00125728		
734.24	-0.00137212		
734.44	-0.0014536		
734.64	-0.00186941		
734.84	-0.00251925		
735.04	-0.00255365		
735.24	-0.00253213		
735.44	-0.00231867		
735.64	-0.00271317		
735.84	-0.00228759		
736.04	-0.00215951		
736.24	-0.00199193		
736.44	-0.00150548		
736.64	-0.00127405		
736.84	-0.00156421		
737.04	-0.00157493		
737.24	-0.00162278		
737.44	-0.00108048		
737.64	-0.00111004		
737.84	-0.00036438		
738.04	-0.00002731		
738.24	0.00056567		
738.44	0.00078857		
738.64	0.00076619		
738.84	0.00042089		
739.04	0.00067949		
739.24	0.00098129		
739.44	0.00065225		
739.64	0.00036028		
739.84	0.00043264		
740.04	0.00011028		
740.24	0.00035199		
740.44	0.00018544		
740.64	-0.00031604		
740.84	-0.00030313		
741.04	0.00008444		
741.24	-0.00027696		
741.44	-0.00005165		
741.64	0.00038376		
741.84	0.00064558		
742.04	-0.00000573		
742.24	-0.00010195		
742.44	0.00012138		
742.64	-0.00010002		
742.84	-0.00014981		
743.04	0.00016438		
743.24	0.00056048		
743.44	0.00057268		
743.64	0.00035048		
743.84	0.0007044		
744.04	0.0006683		
744.24	0.00117148		
744.44	0.00097553		
744.64	0.00089403		
744.84	0.00109297		
745.04	0.00077986		
745.24	-0.00011082		
745.44	0.0001935		
745.64	0.00009608		
745.84	-0.00010678		
746.04	-0.00029199		
746.24	-0.00059593		
746.44	-0.00074709		
746.64	-0.00094846		
746.84	-0.00058119		
747.04	-0.00031648		
747.24	0.00007681		
747.44	-0.00000911		
747.64	-0.0002228		
747.84	-0.00030648		
748.04	-0.00020585		
748.24	-0.00023219		
748.44	-0.00052866		
748.64	-0.00094066		
748.84	-0.00051997		
749.04	-0.00050836		
749.24	-0.00045192		
749.44	-0.00033155		
749.64	-0.00007775		
749.84	0.00041891		
750.04	0.00044245		
750.24	0.0001002		
750.44	0.00017381		
750.64	0.00027606		
750.84	0.00077166		
751.04	0.0011142		
751.24	0.00127587		
751.44	0.00117862		
751.64	0.00118661		
751.84	0.00116192		
752.04	0.00120473		
752.24	0.00109191		
752.44	0.0014785		
752.64	0.00132241		
752.84	0.00225296		
753.04	0.00224155		
753.24	0.00174523		
753.44	0.00115672		
753.64	0.00125576		
753.84	0.00138921		
754.04	0.00111112		
754.24	0.00045912		
754.44	-0.00031389		
754.64	-0.00058226		
754.84	-0.00031776		
755.04	-0.00040545		
755.24	-0.00028554		
755.44	-0.00001535		
755.64	0.00001049		
755.84	0.00035313		
756.04	0.00029835		
756.24	0.00077741		
756.44	0.00084678		
756.64	0.00070577		
756.84	0.00109294		
757.04	0.00038582		
757.24	0.00020171		
757.44	0.00013573		
757.64	0.00034059		
757.84	0.00006479		
758.04	-0.00050061		
758.24	-0.00052276		
758.44	-0.00091447		
758.64	-0.00028952		
758.84	-0.00015551		
759.04	0.00026624		
759.24	0.00056668		
759.44	0.00063145		
759.64	0.00033189		
759.84	0.00054979		
760.04	0.00049058		
760.24	0.00076908		
760.44	-0.00001699		
760.64	-0.00035994		
760.84	-0.00038278		
761.04	-0.00092936		
761.24	-0.00092095		
761.44	-0.00106763		
761.64	-0.00105668		
761.84	-0.00132922		
762.04	-0.00135292		
762.24	-0.00080178		
762.44	-0.00022489		
762.64	0.00079181		
762.84	0.00140821		
763.04	0.00216079		
763.24	0.00202558		
763.44	0.00209597		
763.64	0.00213564		
763.84	0.00272398		
764.04	0.00289742		
764.24	0.00263483		
764.44	0.00219615		
764.64	0.00212888		
764.84	0.00211316		
765.04	0.00208567		
765.24	0.00192644		
765.44	0.00209845		
765.64	0.00219771		
765.84	0.00173639		
766.04	0.00199847		
766.24	0.00239616		
766.44	0.00272226		
766.64	0.00276871		
766.84	0.00239838		
767.04	0.00183691		
767.24	0.00113802		
767.44	0.00097006		
767.64	0.00058274		
767.84	0.0004124		
768.04	-0.00010748		
768.24	-0.00005969		
768.44	0.00003284		
768.64	-0.000021		
768.84	-0.00004852		
769.04	0.00009328		
769.24	0.00002393		
769.44	0.00025415		
769.64	0.00031418		
769.84	0.00013224		
770.04	0.00069315		
770.24	0.00042608		
770.44	0.00047147		
770.64	0.00053578		
770.84	0.00007918		
771.04	0.00012911		
771.24	0.00012248		
771.44	0.00056753		
771.64	0.00049247		
771.84	0.00053103		
772.04	0.0005903		
772.24	0.00089137		
772.44	0.00069002		
772.64	0.000508		
772.84	0.00025455		
773.04	0.00063292		
773.24	0.00080393		
773.44	0.00112967		
773.64	0.00125502		
773.84	0.00105941		
774.04	0.0015357		
774.24	0.00172521		
774.44	0.00159897		
774.64	0.00135383		
774.84	0.00171744		
775.04	0.00222876		
775.24	0.00245317		
775.44	0.00266434		
775.64	0.00250847		
775.84	0.00219209		
776.04	0.00165253		
776.24	0.00149936		
776.44	0.00120052		
776.64	0.00140208		
776.84	0.00190261		
777.04	0.00239998		
777.24	0.00259576		
777.44	0.00261426		
777.64	0.00253387		
777.84	0.00177897		
778.04	0.00184277		
778.24	0.00153611		
778.44	0.00075665		
778.64	0.0005298		
778.84	0.00088403		
779.04	0.00029151		
779.24	0.00026298		
779.44	0.0000927		
779.64	-0.00016538		
779.84	-0.00017586		
780.04	-0.00038004		
780.24	0.00041221		
780.44	0.00064061		
780.64	0.0014165		
780.84	0.00223863		
781.04	0.00287102		
781.24	0.00300981		
781.44	0.00325892		
781.64	0.00334219		
781.84	0.0030497		
782.04	0.00320074		
782.24	0.00280947		
782.44	0.00227331		
782.64	0.002074		
782.84	0.00153254		
783.04	0.00111714		
783.24	0.00152609		
783.44	0.00120881		
783.64	0.00120107		
783.84	0.00165337		
784.04	0.00189839		
784.24	0.0025141		
784.44	0.00243746		
784.64	0.002752		
784.84	0.0029061		
785.04	0.00274182		
785.24	0.00270712		
785.44	0.0033882		
785.64	0.00322564		
785.84	0.00360285		
786.04	0.00377984		
786.24	0.00367286		
786.44	0.00378882		
786.64	0.00332811		
786.84	0.00278015		
787.04	0.00274111		
787.24	0.00298731		
787.44	0.00271825		
787.64	0.00292816		
787.84	0.00325173		
788.04	0.00319729		
788.24	0.0035424		
788.44	0.0033081		
788.64	0.00264187		
788.84	0.00214412		
789.04	0.00228442		
789.24	0.00263656		
789.44	0.00276217		
789.64	0.00234511		
789.84	0.00231566		
790.04	0.00214328		
790.24	0.00187765		
790.44	0.0015684		
790.64	0.00134379		
790.84	0.00129334		
791.04	0.00137514		
791.24	0.00125782		
791.44	0.00144765		
791.64	0.00184846		
791.84	0.00178187		
792.04	0.00194696		
792.24	0.00238668		
792.44	0.00201849		
792.64	0.00193847		
792.84	0.00243173		
793.04	0.00263715		
793.24	0.00238023		
793.44	0.00241445		
793.64	0.00242202		
793.84	0.00217978		
794.04	0.00217644		
794.24	0.00219168		
794.44	0.00223749		
794.64	0.00205585		
794.84	0.0018744		
795.04	0.00196598		
795.24	0.00166042		
795.44	0.00194783		
795.64	0.00194703		
795.84	0.00172482		
796.04	0.00198668		
796.24	0.00230765		
796.44	0.00231528		
796.64	0.0024045		
796.84	0.00249284		
797.04	0.00202555		
797.24	0.00217718		
797.44	0.00243462		
797.64	0.00226701		
797.84	0.00174672		
798.04	0.00202277		
798.24	0.00221772		
798.44	0.00226108		
798.64	0.0020973		
798.84	0.00199118		
799.04	0.00178544		
799.24	0.00168835		
799.44	0.00169241		
799.64	0.00224502		
799.84	0.00218545		
800.04	0.00233636		
800.24	0.00193441		
800.44	0.00188162		
800.64	0.00181472		
800.84	0.00188182		
801.04	0.001766		
801.24	0.0017099		
801.44	0.0012452		
801.64	0.00139149		
801.84	0.00171924		
802.04	0.0022551		
802.24	0.0024069		
802.44	0.00245751		
802.64	0.00226016		
802.84	0.00214336		
803.04	0.00204806		
803.24	0.00216714		
803.44	0.00237596		
803.64	0.00293233		
803.84	0.00255149		
804.04	0.00242586		
804.24	0.00224994		
804.44	0.00295737		
804.64	0.00234202		
804.84	0.00231176		
805.04	0.00239023		
805.24	0.00203483		
805.44	0.00179875		
805.64	0.00204067		
805.84	0.00208196		
806.04	0.00228839		
806.24	0.00236008		
806.44	0.00248296		
806.64	0.00250491		
806.84	0.00258429		
807.04	0.00300282		
807.24	0.00289042		
807.44	0.0030129		
807.64	0.00336156		
807.84	0.00303202		
808.04	0.00288885		
808.24	0.00258078		
808.44	0.0024915		
808.64	0.0020436		
808.84	0.00264312		
809.04	0.00222512		
809.24	0.00160271		
809.44	0.00102785		
809.64	0.00100905		
809.84	0.00065314		
810.04	0.00071103		
810.24	0.00036641		
810.44	0.0005272		
810.64	0.00036231		
810.84	0.00043126		
811.04	0.00090366		
811.24	0.00051175		
811.44	0.00123066		
811.64	0.0015536		
811.84	0.00144644		
812.04	0.00172655		
812.24	0.0019002		
812.44	0.00248277		
812.64	0.00267984		
812.84	0.00317459		
813.04	0.00292923		
813.24	0.0028887		
813.44	0.00340508		
813.64	0.00372772		
813.84	0.00334647		
814.04	0.00284743		
814.24	0.00260286		
814.44	0.00258748		
814.64	0.00263457		
814.84	0.00304852		
815.04	0.00293806		
815.24	0.00274874		
815.44	0.00321029		
815.64	0.00330278		
815.84	0.00309809		
816.04	0.0026876		
816.24	0.00257239		
816.44	0.00223471		
816.64	0.00198035		
816.84	0.00181133		
817.04	0.00196585		
817.24	0.00206045		
817.44	0.0024964		
817.64	0.00229424		
817.84	0.00193267		
818.04	0.00155038		
818.24	0.00175186		
818.44	0.00186509		
818.64	0.00180869		
818.84	0.00191733		
819.04	0.00175061		
819.24	0.00198622		
819.44	0.00269738		
819.64	0.00265354		
819.84	0.00241888		
820.04	0.00236764		
820.24	0.00243597		
820.44	0.00234336		
820.64	0.00231335		
820.84	0.00217363		
821.04	0.00267146		
821.24	0.00278752		
821.44	0.00279603		
821.64	0.00281452		
821.84	0.00299875		
822.04	0.00289459		
822.24	0.00238213		
822.44	0.00224568		
822.64	0.00213837		
822.84	0.00247096		
823.04	0.00249367		
823.24	0.00254496		
823.44	0.00286485		
823.64	0.00256284		
823.84	0.00302253		
824.04	0.00284158		
824.24	0.00239922		
824.44	0.00219761		
824.64	0.00200445		
824.84	0.00165302		
825.04	0.00133692		
825.24	0.0011774		
825.44	0.00071502		
825.64	0.00075891		
825.84	0.00084032		
826.04	0.00055433		
826.24	0.0001417		
826.44	0.00021625		
826.64	0.00059827		
826.84	0.00090688		
827.04	0.00085487		
827.24	0.00122369		
827.44	0.00145041		
827.64	0.0016786		
827.84	0.00241541		
828.04	0.00248114		
828.24	0.00251702		
828.44	0.00288275		
828.64	0.00370242		
828.84	0.00365856		
829.04	0.00393312		
829.24	0.00412536		
829.44	0.00409079		
829.64	0.00444909		
829.84	0.00442884		
830.04	0.00427237		
830.24	0.00434897		
830.44	0.00423469		
830.64	0.00426733		
830.84	0.00392111		
831.04	0.00349981		
831.24	0.00325402		
831.44	0.00342865		
831.64	0.00369846		
831.84	0.0036245		
832.04	0.00304354		
832.24	0.00316835		
832.44	0.00344518		
832.64	0.00352872		
832.84	0.00314616		
833.04	0.00317758		
833.24	0.00331452		
833.44	0.00339311		
833.64	0.00377883		
833.84	0.00375035		
834.04	0.00357169		
834.24	0.00364871		
834.44	0.00334661		
834.64	0.00318991		
834.84	0.00300736		
835.04	0.00320592		
835.24	0.00324884		
835.44	0.0037659		
835.64	0.00346071		
835.84	0.00301922		
836.04	0.00308051		
836.24	0.00357571		
836.44	0.00334159		
836.64	0.00369957		
836.84	0.00426858		
837.04	0.00462667		
837.24	0.00475578		
837.44	0.00488726		
837.64	0.00539511		
837.84	0.00534497		
838.04	0.00510484		
838.24	0.00494403		
838.44	0.00499292		
838.64	0.00475034		
838.84	0.0046358		
839.04	0.00434657		
839.24	0.0037148		
839.44	0.00325102		
839.64	0.0027272		
839.84	0.00229226		
840.04	0.00219915		
840.24	0.00218127		
840.44	0.00202902		
840.64	0.00221987		
840.84	0.0022122		
841.04	0.0019854		
841.24	0.00161061		
841.44	0.00213444		
841.64	0.00196599		
841.84	0.00206235		
842.04	0.00214638		
842.24	0.00209423		
842.44	0.00197099		
842.64	0.00157577		
842.84	0.00157507		
843.04	0.00120163		
843.24	0.00099973		
843.44	0.00115546		
843.64	0.00104242		
843.84	0.00131027		
844.04	0.00158134		
844.24	0.00156217		
844.44	0.00164583		
844.64	0.0014519		
844.84	0.00166345		
845.04	0.00186293		
845.24	0.00192005		
845.44	0.00249395		
845.64	0.00227854		
845.84	0.00293736		
846.04	0.00285011		
846.24	0.00278302		
846.44	0.0026935		
846.64	0.00275681		
846.84	0.00296772		
847.04	0.00307414		
847.24	0.00341547		
847.44	0.00371678		
847.64	0.00386329		
847.84	0.00463581		
848.04	0.00436721		
848.24	0.00437374		
848.44	0.00453727		
848.64	0.00460592		
848.84	0.0050746		
849.04	0.00518909		
849.24	0.00538336		
849.44	0.00518199		
849.64	0.00488474		
