Conc1	1E-06	
Start1	690.01	
Stop1	2789.8	
Kobs	0.00169038328240746	
Error Kobs	1.66530371123804E-05	
Koff	0.00427457826582511	
Error Koff	3.78585467664316E-05	
Time1	Data1	Fit1	
690.01	0.02412184	0.02412184	
690.21	0.03575732	0.03719817	
690.41	0.04933065	0.04971723	
690.61	0.06440823	0.0617029	
690.81	0.08037771	0.07317807	
691.01	0.09764569	0.08416461	
691.21	0.11468199	0.09468347	
691.41	0.13139625	0.1047547	
691.61	0.14819025	0.1143975	
691.81	0.16303916	0.12363023	
692.01	0.17573809	0.13247047	
692.21	0.18569323	0.14093505	
692.41	0.19454657	0.14904008	
692.61	0.20141624	0.15680096	
692.81	0.20750453	0.16423246	
693.01	0.21297358	0.17134868	
693.21	0.21712164	0.17816316	
693.41	0.22088603	0.18468882	
693.61	0.22478248	0.19093805	
693.81	0.22795384	0.1969227	
694.01	0.23083977	0.20265411	
694.21	0.23353184	0.20814314	
694.41	0.23608517	0.21340017	
694.61	0.2380553	0.21843516	
694.81	0.23982235	0.22325762	
695.01	0.24185847	0.22787666	
695.21	0.24341596	0.23230101	
695.41	0.24549824	0.236539	
695.61	0.24799265	0.24059864	
695.81	0.24970106	0.24448756	
696.01	0.25148929	0.24821308	
696.21	0.25321985	0.25178221	
696.41	0.25497411	0.25520165	
696.61	0.25702507	0.25847782	
696.81	0.25837085	0.26161685	
697.01	0.2600832	0.26462464	
697.21	0.26157809	0.2675068	
697.41	0.26341429	0.27026872	
697.61	0.26494149	0.27291555	
697.81	0.26657184	0.27545223	
698.01	0.26878932	0.27788348	
698.21	0.27069942	0.28021381	
698.41	0.27187611	0.28244756	
698.61	0.2730342	0.28458886	
698.81	0.2742277	0.28664168	
699.01	0.27525276	0.2886098	
699.21	0.27633032	0.29049686	
699.41	0.2776441	0.29230634	
699.61	0.27887166	0.29404155	
699.81	0.27977329	0.29570568	
700.01	0.2805742	0.29730178	
700.21	0.28135956	0.29883276	
700.41	0.28224831	0.30030142	
700.61	0.28292753	0.30171042	
700.81	0.28306092	0.30306232	
701.01	0.28416352	0.30435957	
701.21	0.28443219	0.30560451	
701.41	0.28479318	0.30679938	
701.61	0.28514565	0.30794633	
701.81	0.28647582	0.30904741	
702.01	0.28756246	0.31010459	
702.21	0.28805583	0.31111974	
702.41	0.28923428	0.31209467	
