Conc1	3.5E-06	
Start1	690.01	
Stop1	2789.8	
Kobs	0.331056447379646	
Error Kobs	0.00671366833583951	
Koff	0.00492782450993761	
Error Koff	6.82463108364925E-05	
Time1	Data1	Fit1	
690.01	0.07753208	0.07753208	
690.21	0.09904004	0.09720084	
690.41	0.12253069	0.11561482	
690.61	0.14651651	0.13285442	
690.81	0.17076501	0.14899486	
691.01	0.19483147	0.16410657	
691.21	0.2172663	0.17825545	
691.41	0.23803084	0.19150318	
691.61	0.25553413	0.20390749	
691.81	0.26962182	0.21552242	
692.01	0.27938687	0.22639853	
692.21	0.28388294	0.23658317	
692.41	0.28744358	0.24612061	
692.61	0.29041429	0.25505233	
692.81	0.29330302	0.26341713	
693.01	0.29606942	0.27125133	
693.21	0.29826739	0.27858891	
693.41	0.30107817	0.28546169	
693.61	0.30395856	0.29189946	
693.81	0.3067732	0.29793006	
694.01	0.30899186	0.30357959	
694.21	0.31117392	0.30887246	
694.41	0.31309857	0.31383152	
694.61	0.31468455	0.31847814	
694.81	0.31653058	0.32283235	
695.01	0.3178318	0.32691287	
695.21	0.31931828	0.33073724	
695.41	0.32072374	0.33432185	
695.61	0.32164832	0.33768208	
695.81	0.32330215	0.34083229	
696.01	0.32508961	0.34378594	
696.21	0.32686541	0.34655561	
696.41	0.32850596	0.34915309	
696.61	0.33024076	0.35158941	
696.81	0.33156814	0.3538749	
697.01	0.33292606	0.3560192	
697.21	0.33369288	0.35803136	
697.41	0.33546114	0.35991985	
697.61	0.33724632	0.36169259	
697.81	0.33863022	0.36335699	
698.01	0.33983637	0.36491998	
698.21	0.34079915	0.36638807	
698.41	0.34163283	0.36776733	
698.61	0.34245933	0.36906344	
698.81	0.34330805	0.37028173	
699.01	0.34364131	0.37142719	
699.21	0.34459706	0.37250447	
699.41	0.34474178	0.37351795	
699.61	0.34543309	0.3744717	
699.81	0.34644248	0.37536956	
700.01	0.34718009	0.37621509	
700.21	0.3481154	0.37701165	
700.41	0.34884871	0.37776238	
700.61	0.34923858	0.3784702	
700.81	0.34944962	0.37913786	
701.01	0.34943598	0.37976793	
701.21	0.3498172	0.38036283	
701.41	0.350712	0.38092479	
701.61	0.35193344	0.38145592	
701.81	0.35257702	0.38195821	
702.01	0.35387151	0.38243348	
702.21	0.35459778	0.38288348	
702.41	0.35565044	0.38330981	
702.61	0.35648892	0.383714	
702.81	0.35759167	0.38409745	
703.01	0.3581647	0.38446149	
703.21	0.35871183	0.38480737	
703.41	0.35926551	0.38513624	
703.61	0.35997147	0.38544919	
703.81	0.3609722	0.38574723	
704.01	0.3612869	0.38603133	
704.21	0.36169036	0.38630237	
704.41	0.36157359	0.38656118	
704.61	0.36158078	0.38680854	
704.81	0.36197287	0.38704519	
705.01	0.36215049	0.38727181	
705.21	0.36251615	0.38748904	
705.41	0.36306917	0.38769747	
705.61	0.36420609	0.38789767	
705.81	0.36418525	0.38809017	
706.01	0.3647833	0.38827544	
706.21	0.36474362	0.38845396	
706.41	0.36527395	0.38862616	
706.61	0.36564045	0.38879243	
706.81	0.36590618	0.38895315	
707.01	0.36625112	0.38910867	
707.21	0.3666743	0.38925933	
707.41	0.36724911	0.38940544	
707.61	0.36827408	0.38954727	
707.81	0.36890092	0.38968511	
708.01	0.3689603	0.38981921	
708.21	0.36929333	0.3899498	
708.41	0.3701566	0.39007711	
708.61	0.37031851	0.39020133	
708.81	0.37091808	0.39032268	
709.01	0.3711721	0.39044132	
709.21	0.37135887	0.39055744	
709.41	0.37175486	0.39067118	
709.61	0.37219858	0.3907827	
