Conc1	1.75E-06	
Start1	690.01	
Stop1	2789.8	
Kobs	0.282709690133619	
Error Kobs	0.00460123641835432	
Koff	0.0358350644501936	
Error Koff	0.000651969557572229	
Time1	Data1	Fit1	
690.01	0.0432715	0.0432715	
690.21	0.06021633	0.0606718	
690.41	0.07917503	0.07712033	
690.61	0.09959277	0.0926694	
690.81	0.12082907	0.10736845	
691.01	0.14200934	0.12126422	
691.21	0.16300337	0.13440086	
691.41	0.18300267	0.1468201	
691.61	0.20153656	0.15856138	
691.81	0.21737425	0.16966196	
692.01	0.23007657	0.18015706	
692.21	0.23848893	0.19007997	
692.41	0.24439338	0.19946214	
692.61	0.24939994	0.20833329	
692.81	0.25337691	0.21672152	
693.01	0.25790092	0.22465336	
693.21	0.26203612	0.23215391	
693.41	0.26575853	0.23924688	
693.61	0.26902552	0.24595466	
693.81	0.27154252	0.25229844	
694.01	0.27429585	0.25829821	
694.21	0.2765082	0.26397289	
694.41	0.27876987	0.26934035	
694.61	0.28114705	0.27441747	
694.81	0.28272912	0.27922022	
695.01	0.28509392	0.28376367	
695.21	0.28783829	0.28806208	
695.41	0.28947256	0.29212892	
695.61	0.29126092	0.2959769	
695.81	0.29250776	0.29961808	
696.01	0.2939478	0.3030638	
696.21	0.29571697	0.30632481	
696.41	0.29775099	0.30941127	
696.61	0.29920892	0.31233277	
696.81	0.300791	0.31509837	
697.01	0.3030501	0.31771664	
697.21	0.30445483	0.32019569	
697.41	0.30553379	0.32254316	
697.61	0.30670802	0.32476628	
697.81	0.30756275	0.32687188	
698.01	0.30889135	0.32886643	
698.21	0.30971883	0.33075604	
698.41	0.31057077	0.33254645	
698.61	0.31158869	0.33424313	
698.81	0.31239805	0.33585123	
699.01	0.31390106	0.33737562	
699.21	0.31465856	0.33882089	
699.41	0.31447959	0.34019139	
699.61	0.31525239	0.34149123	
699.81	0.31583051	0.34272429	
700.01	0.31651753	0.34389425	
700.21	0.31752065	0.34500456	
700.41	0.31817498	0.34605851	
700.61	0.31863063	0.34705919	
700.81	0.31946814	0.34800954	
701.01	0.32067153	0.3489123	
701.21	0.32122685	0.3497701	
701.41	0.32235223	0.35058541	
701.61	0.32405471	0.35136056	
701.81	0.32518005	0.35209776	
702.01	0.32620096	0.35279909	
702.21	0.32650494	0.35346652	
702.41	0.32733945	0.35410191	
702.61	0.32834416	0.35470703	
702.81	0.32896537	0.35528353	
703.01	0.3298011	0.35583298	
703.21	0.33015418	0.35635688	
703.41	0.33050642	0.35685662	
703.61	0.33126242	0.35733353	
703.81	0.33151447	0.35778886	
704.01	0.33195274	0.3582238	
704.21	0.33272439	0.35863946	
704.41	0.33353757	0.35903691	
704.61	0.33402367	0.35941714	
704.81	0.33473963	0.3597811	
705.01	0.33530685	0.36012967	
705.21	0.335537	0.36046372	
705.41	0.33589943	0.36078402	
705.61	0.33644643	0.36109134	
