Conc1	1E-08	
Start1	449.99	
Stop1	2549.79	
Kobs	0.00123512009029215	
Error Kobs	2.4387286463694E-05	
Koff	0.00421096677733083	
Error Koff	3.64913759073825E-05	
Time1	Data1	Fit1	
449.99	0.00147147	0.00147147	
450.19	0.00203945	0.00202407	
450.39	0.00274904	0.0025743	
450.59	0.00302878	0.00312217	
450.79	0.00373153	0.00366768	
450.99	0.00441604	0.00421086	
451.19	0.0052454	0.0047517	
451.39	0.006323	0.00529022	
451.59	0.0070153	0.00582643	
451.79	0.00775812	0.00636034	
451.99	0.00799643	0.00689196	
452.19	0.00826072	0.00742129	
452.39	0.00896399	0.00794836	
452.59	0.00984557	0.00847317	
452.79	0.01034237	0.00899573	
452.99	0.01086785	0.00951604	
453.19	0.01096709	0.01003413	
453.39	0.01133651	0.01054999	
453.59	0.01109403	0.01106365	
453.79	0.01097725	0.0115751	
453.99	0.01160558	0.01208436	
454.19	0.01169508	0.01259145	
454.39	0.01195077	0.01309635	
454.59	0.01203559	0.0135991	
454.79	0.01257729	0.01409969	
454.99	0.01297799	0.01459814	
455.19	0.01369096	0.01509446	
455.39	0.01367385	0.01558865	
455.59	0.01360829	0.01608072	
455.79	0.01427128	0.01657069	
455.99	0.01426975	0.01705857	
456.19	0.01486247	0.01754435	
456.39	0.01559269	0.01802806	
456.59	0.0166139	0.0185097	
456.79	0.01724964	0.01898928	
456.99	0.01748089	0.0194668	
457.19	0.01774676	0.01994229	
457.39	0.01864705	0.02041574	
457.59	0.0189886	0.02088717	
457.79	0.01964218	0.02135659	
457.99	0.02060306	0.021824	
458.19	0.02098027	0.02228941	
458.39	0.02171304	0.02275283	
458.59	0.02221854	0.02321428	
458.79	0.02263548	0.02367375	
458.99	0.02313068	0.02413126	
459.19	0.02337845	0.02458682	
459.39	0.0230478	0.02504043	
459.59	0.02411331	0.02549211	
459.79	0.02485237	0.02594186	
459.99	0.02471973	0.02638969	
460.19	0.02523426	0.02683561	
460.39	0.02564693	0.02727962	
460.59	0.0259625	0.02772175	
460.79	0.02635903	0.02816198	
460.99	0.02611802	0.02860034	
461.19	0.02616027	0.02903684	
461.39	0.02656454	0.02947147	
461.59	0.02690445	0.02990424	
461.79	0.02752958	0.03033518	
461.99	0.02777346	0.03076428	
462.19	0.02814266	0.03119155	
462.39	0.02870108	0.031617	
462.59	0.02896053	0.03204063	
462.79	0.02931786	0.03246247	
462.99	0.02972522	0.0328825	
463.19	0.03036155	0.03330075	
463.39	0.03115075	0.03371722	
463.59	0.03166478	0.03413192	
463.79	0.03193012	0.03454485	
463.99	0.03221391	0.03495603	
464.19	0.03268909	0.03536545	
464.39	0.03275778	0.03577314	
464.59	0.0330801	0.03617909	
464.79	0.03394339	0.03658332	
464.99	0.03381884	0.03698582	
465.19	0.03444993	0.03738662	
465.39	0.035089	0.03778571	
465.59	0.03577121	0.03818311	
465.79	0.03622756	0.03857882	
465.99	0.03672782	0.03897285	
466.19	0.03718862	0.0393652	
466.39	0.03715237	0.03975589	
466.59	0.03734947	0.04014492	
466.79	0.0377459	0.0405323	
466.99	0.03820223	0.04091804	
467.19	0.03880787	0.04130213	
467.39	0.03881866	0.0416846	
467.59	0.03889707	0.04206545	
467.79	0.03929711	0.04244468	
467.99	0.03965152	0.0428223	
468.19	0.04027633	0.04319832	
468.39	0.04064047	0.04357275	
468.59	0.04126901	0.04394559	
468.79	0.04198449	0.04431685	
468.99	0.04192484	0.04468654	
469.19	0.04259722	0.04505466	
469.39	0.04311807	0.04542122	
469.59	0.04374737	0.04578623	
469.79	0.0441696	0.0461497	
469.99	0.04408814	0.04651162	
470.19	0.04435331	0.04687202	
470.39	0.04430215	0.04723088	
470.59	0.04458895	0.04758824	
470.79	0.04483765	0.04794407	
470.99	0.04480147	0.04829841	
