Conc1	1.2E-05	
Start1	449.99	
Stop1	2549.79	
Kobs	0.00135501553040503	
Error Kobs	1.57910402216914E-05	
Koff	0.0155164979781485	
Error Koff	0.000271961634297416	
Time1	Data1	Fit1	
449.99	0.30723747	0.30723747	
450.19	0.3225757	0.31389038	
450.39	0.33866686	0.32040894	
450.59	0.35534548	0.3267959	
450.79	0.37200896	0.33305396	
450.99	0.38863262	0.33918576	
451.19	0.40352525	0.3451939	
451.39	0.41737901	0.3510809	
451.59	0.42899024	0.35684925	
451.79	0.43808424	0.36250138	
451.99	0.44395333	0.36803967	
452.19	0.44587011	0.37346646	
452.39	0.44903763	0.37878403	
452.59	0.45254849	0.38399462	
452.79	0.4563272	0.38910043	
452.99	0.45916237	0.3941036	
453.19	0.46197086	0.39900623	
453.39	0.4645438	0.40381039	
453.59	0.4670218	0.4085181	
453.79	0.46988411	0.41313132	
453.99	0.47271513	0.41765201	
454.19	0.47511548	0.42208205	
454.39	0.47742747	0.4264233	
454.59	0.47977732	0.43067759	
454.79	0.48210524	0.43484669	
454.99	0.48412113	0.43893236	
455.19	0.48580723	0.44293629	
455.39	0.48804141	0.44686018	
455.59	0.48954325	0.45070565	
455.79	0.49133404	0.45447431	
455.99	0.49337334	0.45816775	
456.19	0.49528207	0.46178749	
456.39	0.49727051	0.46533506	
456.59	0.4992689	0.46881192	
456.79	0.50089863	0.47221954	
456.99	0.50266219	0.47555933	
457.19	0.50448767	0.47883267	
457.39	0.50630588	0.48204094	
457.59	0.50778844	0.48518546	
457.79	0.50956445	0.48826754	
457.99	0.51130625	0.49128846	
458.19	0.51333746	0.49424948	
458.39	0.5155968	0.49715182	
458.59	0.51733368	0.49999668	
458.79	0.51921584	0.50278524	
458.99	0.52097703	0.50551866	
459.19	0.5225951	0.50819807	
459.39	0.52425481	0.51082457	
459.59	0.52572198	0.51339925	
459.79	0.52738475	0.51592316	
459.99	0.52896764	0.51839736	
460.19	0.52997394	0.52082285	
460.39	0.53131817	0.52320064	
460.59	0.53267715	0.5255317	
460.79	0.53379511	0.527817	
460.99	0.5351653	0.53005746	
461.19	0.53596218	0.53225401	
461.39	0.53675182	0.53440755	
461.59	0.53787823	0.53651896	
461.79	0.53953452	0.53858909	
461.99	0.54096412	0.54061881	
462.19	0.54235799	0.54260893	
462.39	0.54354312	0.54456027	
462.59	0.54425515	0.54647363	
462.79	0.54577418	0.54834977	
462.99	0.54659978	0.55018946	
463.19	0.54743861	0.55199346	
463.39	0.54882513	0.55376248	
463.59	0.54956452	0.55549725	
463.79	0.55055516	0.55719847	
463.99	0.55132022	0.55886683	
464.19	0.5520951	0.560503	
464.39	0.55331078	0.56210763	
464.59	0.55429284	0.56368138	
464.79	0.5550489	0.56522488	
464.99	0.55640595	0.56673874	
465.19	0.55707343	0.56822358	
465.39	0.55825657	0.56967999	
465.59	0.5595543	0.57110855	
465.79	0.56028088	0.57250983	
465.99	0.56078984	0.57388439	
466.19	0.56127626	0.57523278	
466.39	0.56210075	0.57655553	
466.59	0.56272585	0.57785317	
466.79	0.56342836	0.57912622	
466.99	0.56385967	0.58037517	
467.19	0.56496162	0.58160052	
467.39	0.56619842	0.58280276	
467.59	0.56684248	0.58398235	
467.79	0.56777956	0.58513977	
467.99	0.56850928	0.58627546	
468.19	0.56913391	0.58738986	
468.39	0.5703211	0.58848343	
468.59	0.57110853	0.58955658	
468.79	0.5717399	0.59060972	
468.99	0.57294146	0.59164328	
469.19	0.57339749	0.59265765	
469.39	0.57420352	0.59365322	
469.59	0.57546698	0.59463039	
469.79	0.5757157	0.59558951	
469.99	0.57628235	0.59653098	
470.19	0.57702037	0.59745514	
470.39	0.57815244	0.59836235	
470.59	0.57862245	0.59925296	
470.79	0.57933209	0.6001273	
470.99	0.58016191	0.60098572	
471.19	0.58047118	0.60182853	
471.39	0.58132673	0.60265606	
471.59	0.58156015	0.60346862	
471.79	0.58230499	0.60426652	
471.99	0.58253776	0.60505005	
472.19	0.58269005	0.60581951	
472.39	0.58318512	0.60657518	
472.59	0.58355028	0.60731736	
472.79	0.58376866	0.60804631	
472.99	0.58419598	0.60876231	
473.19	0.58478206	0.60946562	
473.39	0.58592898	0.6101565	
473.59	0.58742611	0.61083521	
473.79	0.58818485	0.61150199	
473.99	0.58934696	0.61215709	
474.19	0.59040788	0.61280074	
474.39	0.59146923	0.61343319	
474.59	0.59224957	0.61405466	
474.79	0.59322458	0.61466537	
474.99	0.59327135	0.61526555	
