Conc1	1E-06	
Start1	449.99	
Stop1	2549.79	
Kobs	0.361607943354816	
Error Kobs	0.00989959439877141	
Koff	0.0673808349910954	
Error Koff	0.00163328635341369	
Time1	Data1	Fit1	
449.99	0.05757952	0.05757952	
450.19	0.071905	0.07590304	
450.39	0.08812397	0.09296386	
450.59	0.10569843	0.10885007	
450.79	0.12419567	0.12364361	
450.99	0.14284255	0.13742069	
451.19	0.16142061	0.15025224	
451.39	0.17958855	0.16220419	
451.59	0.1962045	0.17333791	
451.79	0.21086246	0.18371048	
451.99	0.22280923	0.19337498	
452.19	0.23137071	0.20238082	
452.39	0.23787261	0.21077392	
452.59	0.2430269	0.21859703	
452.79	0.24741619	0.2258899	
452.99	0.2514435	0.23268952	
453.19	0.25455451	0.2390303	
453.39	0.25803928	0.24494422	
453.59	0.26116957	0.25046106	
453.79	0.26446222	0.25560852	
453.99	0.26610759	0.26041235	
454.19	0.2677555	0.26489652	
454.39	0.269586	0.26908332	
454.59	0.27152059	0.27299348	
454.79	0.27295852	0.2766463	
454.99	0.27401902	0.28005971	
455.19	0.275353	0.28325041	
455.39	0.27685267	0.28623393	
455.59	0.27829139	0.28902471	
455.79	0.27975525	0.29163619	
455.99	0.28116511	0.29408086	
456.19	0.28240935	0.29637035	
456.39	0.28349168	0.29851549	
456.59	0.28439633	0.30052632	
456.79	0.28589015	0.3024122	
456.99	0.28735847	0.30418185	
457.19	0.28824881	0.30584337	
457.39	0.28976294	0.30740428	
457.59	0.29096906	0.30887159	
457.79	0.29221599	0.31025183	
457.99	0.29293641	0.31155105	
458.19	0.29361309	0.3127749	
458.39	0.29493321	0.31392863	
458.59	0.29642781	0.31501712	
458.79	0.29741201	0.31604491	
458.99	0.29773323	0.31701622	
459.19	0.29824548	0.31793498	
459.39	0.2992299	0.31880485	
459.59	0.30029474	0.31962923	
459.79	0.30117127	0.32041128	
459.99	0.30144661	0.32115394	
460.19	0.30182681	0.32185996	
460.39	0.30233063	0.32253187	
460.59	0.30307121	0.32317205	
460.79	0.30445623	0.32378269	
460.99	0.30510438	0.32436586	
461.19	0.30602558	0.32492345	
461.39	0.30734713	0.32545723	
461.59	0.30791378	0.32596887	
461.79	0.30897958	0.32645989	
461.99	0.30966101	0.32693172	
462.19	0.31036814	0.32738569	
462.39	0.31172416	0.32782303	
462.59	0.31264937	0.3282449	
462.79	0.31317066	0.32865236	
462.99	0.31309654	0.32904641	
463.19	0.31382825	0.32942797	
463.39	0.31459424	0.3297979	
463.59	0.31508443	0.330157	
463.79	0.31476938	0.33050603	
463.99	0.31459622	0.33084566	
464.19	0.31484441	0.33117655	
464.39	0.31557819	0.33149929	
464.59	0.3161001	0.33181445	
464.79	0.31675344	0.33212254	
464.99	0.31726765	0.33242404	
465.19	0.31821143	0.3327194	
465.39	0.31844947	0.33300905	
465.59	0.31848744	0.33329336	
465.79	0.31908665	0.33357271	
465.99	0.31925157	0.33384741	
466.19	0.31963455	0.3341178	
466.39	0.32007942	0.33438416	
466.59	0.32087222	0.33464676	
466.79	0.32166692	0.33490585	
466.99	0.3220506	0.33516167	
467.19	0.32252417	0.33541443	
467.39	0.32218811	0.33566434	
467.59	0.32189968	0.33591158	
467.79	0.32196163	0.33615634	
467.99	0.32262638	0.33639877	
468.19	0.32272408	0.33663902	
468.39	0.32361435	0.33687725	
468.59	0.32423636	0.33711357	
468.79	0.3249153	0.33734811	
468.99	0.32539505	0.33758098	
469.19	0.32610217	0.3378123	
469.39	0.32647465	0.33804215	
469.59	0.32726111	0.33827064	
469.79	0.32833471	0.33849783	
469.99	0.32878696	0.33872383	
470.19	0.32914587	0.33894869	
470.39	0.32968982	0.33917249	
470.59	0.33005339	0.33939529	
470.79	0.32992119	0.33961714	
470.99	0.33002845	0.33983812	
471.19	0.32989963	0.34005826	
471.39	0.32984325	0.34027761	
471.59	0.3299906	0.34049622	
471.79	0.33081944	0.34071414	
471.99	0.33098911	0.34093139	
472.19	0.33079494	0.34114801	
472.39	0.33114004	0.34136404	
472.59	0.33156397	0.34157952	
472.79	0.33186799	0.34179445	
472.99	0.33254877	0.34200889	
473.19	0.33319533	0.34222284	
473.39	0.33401009	0.34243633	
473.59	0.334268	0.34264939	
473.79	0.33401325	0.34286204	
473.99	0.33430578	0.34307428	
474.19	0.33417239	0.34328615	
474.39	0.33416838	0.34349765	
474.59	0.33425804	0.34370881	
474.79	0.33465228	0.34391963	
474.99	0.33540537	0.34413013	
475.19	0.33555226	0.34434032	
475.39	0.33634557	0.34455021	
475.59	0.33693997	0.34475982	
475.79	0.33731084	0.34496914	
475.99	0.33760953	0.3451782	
476.19	0.33759911	0.34538701	
476.39	0.3378939	0.34559555	
476.59	0.33845774	0.34580386	
476.79	0.33870363	0.34601193	
476.99	0.33926959	0.34621976	
477.19	0.33935063	0.34642737	
477.39	0.33951931	0.34663477	
477.59	0.33941592	0.34684194	
477.79	0.33910088	0.34704891	
477.99	0.34005888	0.34725567	
478.19	0.33987225	0.34746224	
478.39	0.34033344	0.3476686	
478.59	0.34092033	0.34787477	
478.79	0.34090797	0.34808075	
478.99	0.34108152	0.34828655	
479.19	0.34138074	0.34849216	
479.39	0.34221195	0.34869759	
479.59	0.34267142	0.34890284	
479.79	0.34289213	0.34910791	
479.99	0.34370836	0.34931282	
480.19	0.34379859	0.34951755	
480.39	0.34451482	0.3497221	
480.59	0.34457236	0.3499265	
480.79	0.34462019	0.35013072	
480.99	0.34518255	0.35033478	
481.19	0.34550245	0.35053868	
481.39	0.34575064	0.35074241	
481.59	0.34602295	0.35094599	
481.79	0.34634292	0.3511494	
481.99	0.34656475	0.35135266	
482.19	0.34706481	0.35155576	
482.39	0.34706352	0.3517587	
482.59	0.34713622	0.35196149	
482.79	0.34764147	0.35216412	
482.99	0.34754301	0.3523666	
483.19	0.34766656	0.35256893	
483.39	0.34730312	0.3527711	
483.59	0.34754465	0.35297313	
483.79	0.34775117	0.353175	
483.99	0.34831244	0.35337672	
484.19	0.34854443	0.3535783	
484.39	0.34876463	0.35377972	
484.59	0.34846506	0.35398099	
484.79	0.34886453	0.35418212	
484.99	0.34949569	0.3543831	
485.19	0.34960547	0.35458393	
485.39	0.35002636	0.35478462	
485.59	0.35029622	0.35498516	
485.79	0.3505477	0.35518555	
485.99	0.35037799	0.3553858	
486.19	0.35079207	0.3555859	
486.39	0.3507442	0.35578586	
486.59	0.35115442	0.35598567	
486.79	0.3515481	0.35618533	
486.99	0.35044001	0.35638486	
487.19	0.35051083	0.35658424	
487.39	0.35046889	0.35678347	
487.59	0.3509723	0.35698256	
487.79	0.35156457	0.35718151	
487.99	0.35226885	0.35738032	
488.19	0.35235833	0.35757898	
488.39	0.35268728	0.3577775	
488.59	0.35293329	0.35797588	
488.79	0.35372783	0.35817411	
488.99	0.3542632	0.35837221	
489.19	0.35461853	0.35857016	
489.39	0.35498171	0.35876797	
489.59	0.35511366	0.35896564	
489.79	0.35579756	0.35916316	
489.99	0.35644173	0.35936055	
490.19	0.35687635	0.35955779	
490.39	0.35723758	0.3597549	
490.59	0.35758046	0.35995186	
490.79	0.35776913	0.36014868	
490.99	0.3580685	0.36034536	
491.19	0.35866674	0.36054191	
491.39	0.35871783	0.36073831	
491.59	0.35848893	0.36093457	
491.79	0.35878919	0.36113069	
491.99	0.35861406	0.36132667	
492.19	0.35833303	0.36152251	
492.39	0.3581685	0.36171821	
492.59	0.35818857	0.36191377	
492.79	0.35884664	0.3621092	
492.99	0.35921473	0.36230448	
493.19	0.35953534	0.36249963	
493.39	0.3597445	0.36269463	
493.59	0.36013657	0.3628895	
493.79	0.36014107	0.36308423	
493.99	0.36099611	0.36327881	
494.19	0.361101	0.36347327	
494.39	0.36134902	0.36366758	
494.59	0.36152095	0.36386175	
494.79	0.36172125	0.36405579	
494.99	0.36203535	0.36424968	
495.19	0.36198293	0.36444344	
495.39	0.36179161	0.36463707	
495.59	0.36217982	0.36483055	
495.79	0.36206839	0.3650239	
495.99	0.36188462	0.3652171	
496.19	0.36203973	0.36541017	
496.39	0.3621536	0.36560311	
496.59	0.36251285	0.3657959	
496.79	0.36284362	0.36598856	
496.99	0.36345336	0.36618109	
497.19	0.36355462	0.36637347	
497.39	0.36328792	0.36656572	
497.59	0.36271469	0.36675783	
497.79	0.36227909	0.3669498	
497.99	0.36247779	0.36714164	
498.19	0.36216458	0.36733334	
498.39	0.36238918	0.36752491	
498.59	0.36274247	0.36771634	
498.79	0.36291074	0.36790763	
498.99	0.36319644	0.36809879	
499.19	0.3638563	0.36828981	
499.39	0.36434227	0.36848069	
499.59	0.36531058	0.36867144	
499.79	0.36556685	0.36886206	
499.99	0.36629491	0.36905253	
500.19	0.36710886	0.36924288	
500.39	0.36749919	0.36943308	
500.59	0.3676387	0.36962315	
500.79	0.36838075	0.36981309	
500.99	0.36879451	0.37000289	
501.19	0.36845333	0.37019256	
501.39	0.36797422	0.37038209	
501.59	0.367664	0.37057149	
501.79	0.36728684	0.37076075	
501.99	0.36752057	0.37094988	
502.19	0.36733675	0.37113887	
502.39	0.36759247	0.37132773	
502.59	0.36804233	0.37151645	
502.79	0.36820778	0.37170504	
502.99	0.36877771	0.3718935	
503.19	0.36909967	0.37208182	
503.39	0.36936452	0.37227001	
503.59	0.37006027	0.37245806	
503.79	0.37017084	0.37264598	
503.99	0.37038434	0.37283377	
504.19	0.37048314	0.37302142	
504.39	0.37044835	0.37320894	
504.59	0.37023671	0.37339633	
504.79	0.37065935	0.37358358	
504.99	0.37041582	0.3737707	
505.19	0.37039694	0.37395768	
505.39	0.37053507	0.37414454	
505.59	0.37026463	0.37433126	
505.79	0.37009128	0.37451785	
505.99	0.37031157	0.3747043	
506.19	0.36991266	0.37489062	
506.39	0.3708541	0.37507681	
