Conc1	1E-07	
Start1	449.99	
Stop1	2549.79	
Kobs	0.000809215685667115	
Error Kobs	8.5212666396745E-06	
Koff	0.0583065982939356	
Error Koff	0.0017730667014218	
Time1	Data1	Fit1	
449.99	0.02011087	0.02011087	
450.19	0.02150409	0.02388658	
450.39	0.02310168	0.02758986	
450.59	0.02510181	0.03122211	
450.79	0.0278966	0.03478472	
450.99	0.03099496	0.03827902	
451.19	0.03440623	0.04170635	
451.39	0.03767738	0.04506801	
451.59	0.04088823	0.04836527	
451.79	0.04485951	0.05159937	
451.99	0.04840464	0.05477155	
452.19	0.05167616	0.057883	
452.39	0.05496615	0.06093491	
452.59	0.05819692	0.06392842	
452.79	0.06136512	0.06686467	
452.99	0.06466763	0.06974477	
453.19	0.0677136	0.07256981	
453.39	0.070657	0.07534086	
453.59	0.07352732	0.07805897	
453.79	0.07639492	0.08072515	
453.99	0.08006477	0.08334042	
454.19	0.08361842	0.08590577	
454.39	0.08688143	0.08842217	
454.59	0.09017337	0.09089056	
454.79	0.09324156	0.09331187	
454.99	0.09613076	0.09568702	
455.19	0.09914689	0.0980169	
455.39	0.10186715	0.1003024	
455.59	0.10442782	0.10254437	
455.79	0.10760224	0.10474365	
455.99	0.10975772	0.10690108	
456.19	0.11227766	0.10901746	
456.39	0.11458105	0.1110936	
456.59	0.11677518	0.11313026	
456.79	0.11946469	0.11512823	
456.99	0.12184564	0.11708825	
457.19	0.12369701	0.11901105	
457.39	0.12603434	0.12089735	
457.59	0.12836162	0.12274787	
457.79	0.13084164	0.1245633	
457.99	0.13335538	0.12634432	
458.19	0.13554878	0.1280916	
458.39	0.13722739	0.12980578	
458.59	0.13871012	0.13148752	
458.79	0.14047522	0.13313744	
458.99	0.14282405	0.13475616	
459.19	0.1449162	0.13634428	
459.39	0.14653057	0.1379024	
459.59	0.14833798	0.1394311	
459.79	0.15037484	0.14093095	
459.99	0.15180939	0.1424025	
460.19	0.15352131	0.14384632	
460.39	0.15482712	0.14526293	
460.59	0.15684003	0.14665287	
460.79	0.15872081	0.14801664	
460.99	0.15956699	0.14935477	
461.19	0.16031905	0.15066774	
461.39	0.16154594	0.15195604	
461.59	0.1626389	0.15322015	
461.79	0.16354586	0.15446055	
461.99	0.16400822	0.15567769	
462.19	0.16486056	0.15687202	
462.39	0.16552943	0.15804398	
462.59	0.16617934	0.15919401	
462.79	0.16665289	0.16032253	
462.99	0.16721932	0.16142997	
463.19	0.16771566	0.16251672	
463.39	0.16833641	0.1635832	
463.59	0.16912213	0.16462978	
463.79	0.16974478	0.16565687	
463.99	0.17038252	0.16666483	
464.19	0.17126479	0.16765405	
464.39	0.17187414	0.16862487	
464.59	0.17238203	0.16957766	
464.79	0.17315488	0.17051277	
464.99	0.17337688	0.17143055	
465.19	0.17398796	0.17233131	
465.39	0.17444667	0.17321541	
465.59	0.17495919	0.17408315	
465.79	0.17557422	0.17493487	
465.99	0.1758509	0.17577086	
466.19	0.17680138	0.17659143	
466.39	0.17752865	0.17739688	
466.59	0.17784212	0.17818751	
466.79	0.17817485	0.17896361	
466.99	0.17918115	0.17972544	
467.19	0.18004785	0.1804733	
467.39	0.18073151	0.18120745	
467.59	0.18177445	0.18192815	
467.79	0.18289115	0.18263568	
467.99	0.18382906	0.18333028	
468.19	0.18478153	0.1840122	
468.39	0.18575327	0.18468169	
468.59	0.18626883	0.18533899	
468.79	0.18735918	0.18598434	
468.99	0.18773491	0.18661797	
469.19	0.18850738	0.18724011	
469.39	0.18901817	0.18785097	
469.59	0.18993252	0.18845079	
469.79	0.19018246	0.18903976	
469.99	0.1902897	0.18961811	
470.19	0.19104869	0.19018603	
470.39	0.19097026	0.19074374	
470.59	0.19070142	0.19129142	
470.79	0.19082979	0.19182927	
470.99	0.19114756	0.19235749	
471.19	0.19088836	0.19287626	
471.39	0.19127416	0.19338576	
471.59	0.19168736	0.19388617	
471.79	0.19182702	0.19437768	
471.99	0.19211268	0.19486044	
472.19	0.19255527	0.19533463	
472.39	0.19312212	0.19580043	
472.59	0.19333045	0.19625798	
472.79	0.19367183	0.19670745	
472.99	0.19402496	0.19714899	
473.19	0.19466517	0.19758277	
473.39	0.1953149	0.19800893	
473.59	0.19584	0.19842761	
473.79	0.19645212	0.19883897	
473.99	0.1969177	0.19924314	
474.19	0.19720594	0.19964027	
474.39	0.1969766	0.20003049	
474.59	0.19682411	0.20041393	
474.79	0.1972349	0.20079073	
474.99	0.19760953	0.20116101	
475.19	0.19779116	0.2015249	
475.39	0.19814668	0.20188253	
475.59	0.19818008	0.20223402	
475.79	0.19884032	0.20257947	
475.99	0.19918575	0.20291903	
476.19	0.19925768	0.20325278	
476.39	0.19947624	0.20358086	
476.59	0.19976217	0.20390336	
476.79	0.19968215	0.2042204	
476.99	0.20031617	0.20453209	
477.19	0.20074028	0.20483852	
477.39	0.20072941	0.2051398	
477.59	0.20081268	0.20543602	
477.79	0.20068382	0.20572729	
477.99	0.20041524	0.20601371	
478.19	0.20036349	0.20629536	
478.39	0.20056325	0.20657233	
478.59	0.20012575	0.20684473	
478.79	0.20067609	0.20711263	
478.99	0.20063747	0.20737613	
479.19	0.2006966	0.20763531	
479.39	0.20090651	0.20789025	
479.59	0.20129421	0.20814103	
479.79	0.20164212	0.20838775	
479.99	0.20164987	0.20863046	
480.19	0.20191821	0.20886926	
480.39	0.20275527	0.20910422	
480.59	0.20324414	0.20933541	
480.79	0.20334615	0.2095629	
480.99	0.2041851	0.20978677	
481.19	0.20414673	0.21000709	
481.39	0.20450694	0.21022393	
481.59	0.20479315	0.21043735	
481.79	0.20506932	0.21064741	
481.99	0.20563888	0.2108542	
482.19	0.20567666	0.21105776	
482.39	0.20563154	0.21125816	
482.59	0.20564868	0.21145546	
482.79	0.20594924	0.21164972	
482.99	0.20574779	0.211841	
483.19	0.20615112	0.21202936	
483.39	0.20645777	0.21221486	
483.59	0.20567885	0.21239755	
483.79	0.20584631	0.21257748	
483.99	0.20610201	0.2127547	
484.19	0.20614295	0.21292928	
484.39	0.20619101	0.21310126	
484.59	0.20639963	0.21327069	
484.79	0.20661049	0.21343762	
484.99	0.20753132	0.2136021	
485.19	0.20751951	0.21376418	
485.39	0.20831283	0.2139239	
485.59	0.2085224	0.21408131	
485.79	0.20870879	0.21423645	
485.99	0.20894201	0.21438937	
486.19	0.20900505	0.21454011	
486.39	0.20928757	0.21468872	
486.59	0.20978051	0.21483522	
486.79	0.2097332	0.21497967	
486.99	0.20975322	0.21512211	
487.19	0.20987223	0.21526256	
487.39	0.20964658	0.21540108	
487.59	0.20927766	0.2155377	
487.79	0.20969059	0.21567245	
487.99	0.20959378	0.21580538	
488.19	0.20924316	0.21593651	
488.39	0.20930019	0.21606588	
488.59	0.20925864	0.21619353	
488.79	0.20936251	0.21631948	
488.99	0.20946476	0.21644378	
489.19	0.20936432	0.21656645	
489.39	0.20968187	0.21668753	
489.59	0.20974914	0.21680704	
489.79	0.20963021	0.21692502	
489.99	0.21024855	0.2170415	
490.19	0.2107737	0.2171565	
490.39	0.21081766	0.21727005	
490.59	0.21089765	0.21738218	
490.79	0.21171884	0.21749292	
490.99	0.21187364	0.2176023	
491.19	0.21198487	0.21771034	
491.39	0.21206638	0.21781706	
491.59	0.21201863	0.2179225	
491.79	0.21189993	0.21802668	
491.99	0.2119535	0.21812962	
492.19	0.21156221	0.21823134	
492.39	0.2116447	0.21833188	
492.59	0.21135593	0.21843124	
492.79	0.21155703	0.21852946	
492.99	0.21153666	0.21862656	
493.19	0.21177438	0.21872256	
493.39	0.21169972	0.21881748	
493.59	0.21188026	0.21891133	
493.79	0.21195368	0.21900415	
493.99	0.21238789	0.21909595	
494.19	0.21247908	0.21918675	
494.39	0.2119408	0.21927657	
494.59	0.21229659	0.21936543	
494.79	0.21284644	0.21945335	
494.99	0.21209127	0.21954034	
495.19	0.21238407	0.21962643	
495.39	0.21260822	0.21971162	
495.59	0.21287198	0.21979595	
495.79	0.21294036	0.21987942	
495.99	0.21334127	0.21996205	
496.19	0.21341095	0.22004385	
496.39	0.2138467	0.22012485	
496.59	0.21371787	0.22020506	
496.79	0.2138575	0.2202845	
496.99	0.21402982	0.22036317	
497.19	0.2140882	0.2204411	
497.39	0.21344077	0.22051829	
497.59	0.21300895	0.22059477	
497.79	0.21226056	0.22067054	
497.99	0.21269084	0.22074562	
498.19	0.21278732	0.22082002	
498.39	0.21244245	0.22089376	
498.59	0.21303749	0.22096685	
498.79	0.21335478	0.2210393	
498.99	0.21371712	0.22111112	
499.19	0.21454849	0.22118233	
499.39	0.21526677	0.22125293	
499.59	0.21593404	0.22132294	
499.79	0.21628295	0.22139237	
499.99	0.2169408	0.22146124	
500.19	0.21734485	0.22152954	
500.39	0.21745868	0.2215973	
500.59	0.21750988	0.22166452	
500.79	0.21754935	0.22173121	
500.99	0.21723313	0.22179739	
501.19	0.21680112	0.22186306	
501.39	0.21600951	0.22192823	
501.59	0.21598037	0.22199292	
501.79	0.21625383	0.22205713	
501.99	0.21697327	0.22212087	
502.19	0.2170245	0.22218415	
502.39	0.21723549	0.22224697	
502.59	0.21761941	0.22230936	
502.79	0.21800662	0.22237131	
502.99	0.21825129	0.22243284	
503.19	0.21833208	0.22249395	
503.39	0.2188743	0.22255464	
503.59	0.21916359	0.22261494	
503.79	0.21910668	0.22267484	
503.99	0.21946007	0.22273436	
504.19	0.21963002	0.2227935	
504.39	0.21962667	0.22285226	
504.59	0.21974472	0.22291066	
504.79	0.21983807	0.2229687	
504.99	0.21930679	0.22302639	
505.19	0.21907075	0.22308374	
505.39	0.21897734	0.22314074	
505.59	0.21896159	0.22319742	
505.79	0.21879518	0.22325377	
505.99	0.21836376	0.2233098	
506.19	0.21815711	0.22336552	
506.39	0.21767987	0.22342093	
506.59	0.2169748	0.22347605	
506.79	0.21683096	0.22353086	
506.99	0.21644164	0.22358539	
507.19	0.21684294	0.22363963	
507.39	0.21715345	0.22369359	
507.59	0.21796822	0.22374728	
507.79	0.21862887	0.2238007	
507.99	0.21962351	0.22385385	
508.19	0.22000255	0.22390675	
508.39	0.22087164	0.2239594	
508.59	0.22123869	0.22401179	
508.79	0.22186977	0.22406395	
508.99	0.22166851	0.22411586	
509.19	0.22209615	0.22416753	
509.39	0.22258899	0.22421898	
509.59	0.22246241	0.2242702	
509.79	0.22236378	0.2243212	
509.99	0.22190365	0.22437198	
510.19	0.22161006	0.22442255	
510.39	0.22124695	0.22447291	
510.59	0.2210048	0.22452306	
510.79	0.22113762	0.22457301	
510.99	0.22149556	0.22462276	
511.19	0.2214554	0.22467232	
511.39	0.22089255	0.22472169	
511.59	0.22111786	0.22477087	
511.79	0.22070851	0.22481987	
511.99	0.22089126	0.22486868	
512.19	0.22097496	0.22491732	
512.39	0.22159171	0.22496579	
512.59	0.22116207	0.22501409	
512.79	0.2212601	0.22506222	
512.99	0.2215812	0.22511018	
513.19	0.22230079	0.22515799	
513.39	0.22261463	0.22520563	
513.59	0.22245256	0.22525312	
513.79	0.22264981	0.22530046	
513.99	0.22273386	0.22534766	
514.19	0.22303621	0.2253947	
514.39	0.2233319	0.2254416	
514.59	0.22328326	0.22548836	
514.79	0.2235248	0.22553498	
514.99	0.2232947	0.22558146	
515.19	0.22238341	0.22562782	
515.39	0.2222011	0.22567404	
515.59	0.22251177	0.22572013	
515.79	0.22267228	0.2257661	
515.99	0.22315086	0.22581194	
516.19	0.22307199	0.22585766	
516.39	0.22311735	0.22590326	
516.59	0.22250562	0.22594874	
516.79	0.22227371	0.22599411	
516.99	0.22247778	0.22603937	
517.19	0.22236393	0.22608451	
517.39	0.22204706	0.22612955	
517.59	0.22168266	0.22617448	
517.79	0.22210845	0.22621931	
517.99	0.22246116	0.22626403	
518.19	0.22227028	0.22630865	
518.39	0.22248668	0.22635317	
518.59	0.22253365	0.2263976	
518.79	0.22303753	0.22644193	
518.99	0.22324519	0.22648616	
519.19	0.22324874	0.2265303	
519.39	0.22372555	0.22657436	
