Conc1	2.5E-07	
Start1	450.03	
Stop1	2549.82	
Kobs	0.00277302096161143	
Error Kobs	6.59492810478325E-06	
Koff	0.00335930809208235	
Error Koff	2.13057338647505E-05	
Time1	Data1	Fit1	
450.03	0.034465	0.034465	
450.23	0.04385662	0.04866864	
450.43	0.05469979	0.06195567	
450.63	0.06672109	0.07438602	
450.83	0.07955308	0.08601569	
451.03	0.09302533	0.09689701	
451.23	0.10656296	0.1070789	
451.43	0.12011297	0.11660709	
451.63	0.13327536	0.1255243	
451.83	0.14514949	0.13387048	
452.03	0.15560528	0.14168294	
452.23	0.16359333	0.14899658	
452.43	0.17023135	0.15584401	
452.63	0.17645216	0.16225568	
452.83	0.18172828	0.16826009	
453.03	0.18695588	0.17388386	
453.23	0.19098555	0.17915186	
453.43	0.19467645	0.18408735	
453.63	0.19825866	0.18871206	
453.83	0.20112271	0.1930463	
454.03	0.20376631	0.19710905	
454.23	0.20620762	0.20091806	
454.43	0.20819879	0.2044899	
454.63	0.21016123	0.20784009	
454.83	0.21165079	0.2109831	
455.03	0.21351993	0.21393247	
455.23	0.21518017	0.21670086	
455.43	0.2173372	0.21930008	
455.63	0.21884862	0.2217412	
455.83	0.22005254	0.22403454	
456.03	0.22083049	0.22618976	
456.23	0.22161956	0.22821588	
456.43	0.22242739	0.23012133	
456.63	0.22336544	0.231914	
456.83	0.22476793	0.23360126	
457.03	0.2266474	0.23518998	
457.23	0.22822187	0.23668661	
457.43	0.22923605	0.23809716	
457.63	0.22987729	0.23942725	
457.83	0.23106379	0.24068213	
458.03	0.23220022	0.24186672	
458.23	0.23232281	0.2429856	
458.43	0.23310529	0.24404307	
458.63	0.23412346	0.24504312	
458.83	0.23490363	0.24598952	
459.03	0.23618766	0.24688575	
459.23	0.23720764	0.2477351	
459.43	0.23785836	0.24854062	
459.63	0.23784602	0.24930517	
459.83	0.23849913	0.25003142	
460.03	0.2389547	0.25072187	
460.23	0.23995646	0.25137886	
460.43	0.24085995	0.25200456	
460.63	0.24151719	0.25260101	
460.83	0.24302493	0.25317013	
461.03	0.24385088	0.25371369	
461.23	0.24458419	0.25423335	
461.43	0.24481077	0.25473067	
461.63	0.24574603	0.25520711	
461.83	0.24663817	0.25566402	
462.03	0.24740087	0.25610268	
462.23	0.24743424	0.25652427	
462.43	0.24859074	0.2569299	
462.63	0.2497213	0.2573206	
462.83	0.25011419	0.25769736	
463.03	0.25073934	0.25806106	
463.23	0.25113357	0.25841257	
463.43	0.25089155	0.25875267	
463.63	0.25141755	0.25908209	
463.83	0.25268328	0.25940154	
464.03	0.25329113	0.25971165	
464.23	0.2535111	0.26001304	
464.43	0.25361212	0.26030626	
464.63	0.25343742	0.26059184	
464.83	0.25351514	0.26087028	
465.03	0.2532097	0.26114203	
465.23	0.25355308	0.26140754	
465.43	0.2537056	0.26166719	
465.63	0.25405794	0.26192136	
465.83	0.25450492	0.26217042	
466.03	0.25506861	0.26241467	
466.23	0.25533674	0.26265444	
466.43	0.25581385	0.26289001	
466.63	0.25645575	0.26312165	
466.83	0.25617474	0.26334961	
467.03	0.25667458	0.26357412	
467.23	0.25723423	0.2637954	
467.43	0.25779863	0.26401366	
467.63	0.25879793	0.26422909	
467.83	0.25946862	0.26444186	
468.03	0.25989419	0.26465214	
468.23	0.26013176	0.2648601	
468.43	0.26050494	0.26506587	
468.63	0.26080604	0.2652696	
468.83	0.26155977	0.2654714	
469.03	0.26233233	0.26567141	
469.23	0.26298208	0.26586972	
469.43	0.26340439	0.26606645	
469.63	0.26373424	0.2662617	
469.83	0.2642301	0.26645554	
470.03	0.26400089	0.26664807	
470.23	0.2639999	0.26683937	
470.43	0.26442865	0.26702952	
470.63	0.26442314	0.26721857	
470.83	0.26441171	0.2674066	
471.03	0.26482604	0.26759367	
471.23	0.26516892	0.26777983	
471.43	0.26537519	0.26796513	
471.63	0.26540035	0.26814964	
471.83	0.26585743	0.26833338	
472.03	0.26624566	0.26851641	
472.23	0.26683818	0.26869877	
472.43	0.26705611	0.26888049	
472.63	0.2675776	0.26906161	
472.83	0.26852865	0.26924216	
473.03	0.26866449	0.26942218	
473.23	0.26911563	0.26960168	
473.43	0.26938989	0.26978071	
473.63	0.26980579	0.26995928	
473.83	0.27010123	0.27013742	
474.03	0.27014776	0.27031514	
474.23	0.27071341	0.27049248	
474.43	0.27064936	0.27066945	
474.63	0.27006546	0.27084606	
474.83	0.27011789	0.27102234	
475.03	0.26981216	0.2711983	
475.23	0.26952017	0.27137395	
475.43	0.26924965	0.27154932	
475.63	0.26892873	0.2717244	
475.83	0.26921902	0.27189922	
476.03	0.2693922	0.27207378	
476.23	0.26962043	0.2722481	
476.43	0.26930255	0.27242218	
476.63	0.26948987	0.27259603	
476.83	0.269538	0.27276967	
477.03	0.27001032	0.2729431	
477.23	0.27057486	0.27311633	
477.43	0.27099798	0.27328936	
477.63	0.27143814	0.27346221	
477.83	0.27219828	0.27363487	
478.03	0.27261639	0.27380736	
478.23	0.27338731	0.27397967	
