Conc1	5E-09	
Start1	450.03	
Stop1	2549.82	
Kobs	0.000919447308979286	
Error Kobs	2.77217668604903E-05	
Koff	0.00354330642398079	
Error Koff	2.43692788574133E-05	
Time1	Data1	Fit1	
450.03	0.00802529	0.00802529	
450.23	0.00775811	0.00851504	
450.43	0.00749611	0.00900269	
450.63	0.00711135	0.00948825	
450.83	0.00709554	0.00997173	
451.03	0.00713872	0.01045315	
451.23	0.00730767	0.0109325	
451.43	0.00734177	0.0114098	
451.63	0.00777475	0.01188506	
451.83	0.00831646	0.01235828	
452.03	0.00899065	0.01282948	
452.23	0.00970535	0.01329867	
452.43	0.01038803	0.01376585	
452.63	0.01017984	0.01423103	
452.83	0.0104294	0.01469422	
453.03	0.01086053	0.01515543	
453.23	0.01151011	0.01561467	
453.43	0.01131965	0.01607194	
453.63	0.01182028	0.01652727	
453.83	0.01220494	0.01698064	
454.03	0.01228577	0.01743208	
454.23	0.01273971	0.01788159	
454.43	0.01291572	0.01832918	
454.63	0.01360402	0.01877485	
454.83	0.01433043	0.01921863	
455.03	0.01480068	0.01966051	
455.23	0.01539717	0.0201005	
455.43	0.01593069	0.02053861	
455.63	0.01696014	0.02097485	
455.83	0.01744973	0.02140923	
456.03	0.01777213	0.02184176	
456.23	0.01808429	0.02227244	
456.43	0.01808833	0.02270128	
456.63	0.01773842	0.0231283	
456.83	0.01825453	0.02355349	
457.03	0.01839787	0.02397687	
457.23	0.0184966	0.02439844	
457.43	0.018528	0.02481822	
457.63	0.01887395	0.0252362	
457.83	0.01914112	0.0256524	
458.03	0.01954567	0.02606683	
458.23	0.02000423	0.0264795	
458.43	0.02041423	0.0268904	
458.63	0.02110949	0.02729956	
458.83	0.02149983	0.02770697	
459.03	0.02209377	0.02811264	
459.23	0.02282703	0.02851659	
459.43	0.02397769	0.02891881	
459.63	0.02455295	0.02931933	
459.83	0.02497171	0.02971814	
460.03	0.02538393	0.03011525	
460.23	0.02590679	0.03051067	
460.43	0.02631524	0.03090441	
460.63	0.02680982	0.03129647	
460.83	0.02721773	0.03168686	
461.03	0.02798776	0.0320756	
461.23	0.02857588	0.03246268	
461.43	0.02884951	0.03284811	
461.63	0.02912372	0.03323191	
461.83	0.02944174	0.03361407	
462.03	0.0298306	0.03399461	
462.23	0.03051711	0.03437353	
462.43	0.03092231	0.03475084	
462.63	0.03148573	0.03512655	
462.83	0.03195639	0.03550066	
463.03	0.03233344	0.03587318	
463.23	0.03295844	0.03624412	
463.43	0.03327215	0.03661348	
463.63	0.03318333	0.03698128	
463.83	0.03340643	0.03734751	
464.03	0.03360236	0.03771219	
464.23	0.0341451	0.03807532	
464.43	0.03447461	0.03843692	
464.63	0.03479479	0.03879697	
464.83	0.03510321	0.0391555	
465.03	0.03587633	0.03951251	
465.23	0.03620491	0.039868	
465.43	0.03647801	0.04022199	
465.63	0.03716102	0.04057447	
465.83	0.03756905	0.04092546	
466.03	0.03848105	0.04127497	
466.23	0.03865639	0.04162299	
466.43	0.03869364	0.04196953	
466.63	0.03910503	0.04231461	
466.83	0.03925042	0.04265823	
467.03	0.03964267	0.04300039	
467.23	0.04040504	0.0433411	
467.43	0.04078865	0.04368037	
467.63	0.04152124	0.04401821	
467.83	0.04179794	0.04435461	
468.03	0.0423417	0.04468959	
468.23	0.04273794	0.04502315	
468.43	0.04242769	0.0453553	
468.63	0.042871	0.04568605	
468.83	0.04333393	0.0460154	
469.03	0.04375017	0.04634335	
469.23	0.04402574	0.04666992	
469.43	0.04451977	0.0469951	
469.63	0.04481475	0.04731892	
469.83	0.04497431	0.04764136	
470.03	0.04484486	0.04796244	
470.23	0.04482298	0.04828217	
470.43	0.04523337	0.04860054	
470.63	0.04503358	0.04891757	
470.83	0.04516773	0.04923326	
471.03	0.04592289	0.04954762	
471.23	0.04663412	0.04986065	
471.43	0.04628877	0.05017236	
471.63	0.04662529	0.05048276	
471.83	0.04704691	0.05079184	
472.03	0.04743267	0.05109962	
472.23	0.04779944	0.05140611	
472.43	0.04796923	0.0517113	
472.63	0.04892582	0.0520152	
472.83	0.04946536	0.05231783	
473.03	0.04965253	0.05261917	
473.23	0.04998644	0.05291925	
473.43	0.05027819	0.05321807	
473.63	0.05090238	0.05351562	
473.83	0.0514335	0.05381192	
474.03	0.05126411	0.05410698	
474.23	0.05205741	0.05440079	
474.43	0.05177976	0.05469336	
474.63	0.05181542	0.05498471	
474.83	0.0521869	0.05527482	
475.03	0.05322412	0.05556372	
475.23	0.05313316	0.0558514	
475.43	0.0528056	0.05613787	
