Conc1	1E-10	
Start1	450.03	
Stop1	2549.82	
Kobs	0.00296991435847791	
Error Kobs	0.000580990947569767	
Koff	0.00304361578885207	
Error Koff	NaN	
Time1	Data1	Fit1	
450.03	0.00587733	0.00587733	
450.23	0.0057348	0.00589078	
450.43	0.00598542	0.00590422	
450.63	0.00617305	0.00591766	
450.83	0.00607344	0.00593109	
451.03	0.00631468	0.00594452	
451.23	0.00677839	0.00595793	
451.43	0.00674476	0.00597134	
451.63	0.00693706	0.00598475	
451.83	0.00770962	0.00599814	
452.03	0.00816742	0.00601153	
452.23	0.00805439	0.00602491	
452.43	0.00853828	0.00603829	
452.63	0.00854642	0.00605165	
452.83	0.00869336	0.00606501	
453.03	0.00798487	0.00607837	
453.23	0.00758162	0.00609171	
453.43	0.00735878	0.00610505	
453.63	0.00669378	0.00611838	
453.83	0.00710235	0.00613171	
454.03	0.00716079	0.00614503	
454.23	0.00681444	0.00615834	
454.43	0.00691028	0.00617164	
454.63	0.00663005	0.00618494	
454.83	0.00646505	0.00619823	
455.03	0.0069257	0.00621151	
455.23	0.00718163	0.00622479	
455.43	0.00688816	0.00623805	
455.63	0.00736723	0.00625132	
455.83	0.00762958	0.00626457	
456.03	0.00723317	0.00627782	
456.23	0.00731522	0.00629106	
456.43	0.00769641	0.00630429	
456.63	0.00742233	0.00631752	
456.83	0.00740902	0.00633074	
457.03	0.00707162	0.00634395	
457.23	0.00697811	0.00635716	
457.43	0.00721717	0.00637036	
457.63	0.00702835	0.00638355	
457.83	0.0077573	0.00639673	
458.03	0.00759317	0.00640991	
458.23	0.00717679	0.00642308	
458.43	0.00749659	0.00643625	
458.63	0.00734086	0.0064494	
458.83	0.00744835	0.00646255	
459.03	0.00799308	0.0064757	
459.23	0.00781279	0.00648883	
459.43	0.00760466	0.00650196	
459.63	0.00764249	0.00651508	
459.83	0.00749166	0.0065282	
460.03	0.00758696	0.00654131	
460.23	0.00829195	0.00655441	
460.43	0.00827852	0.00656751	
460.63	0.00799462	0.00658059	
460.83	0.00800411	0.00659367	
461.03	0.00799801	0.00660675	
461.23	0.00855135	0.00661982	
461.43	0.00870294	0.00663288	
461.63	0.00868305	0.00664593	
461.83	0.00909766	0.00665898	
462.03	0.00916266	0.00667201	
462.23	0.00939637	0.00668505	
462.43	0.00960988	0.00669807	
462.63	0.00908244	0.00671109	
462.83	0.00847972	0.0067241	
463.03	0.00879415	0.00673711	
463.23	0.00844203	0.00675011	
463.43	0.00830893	0.0067631	
463.63	0.00854602	0.00677608	
