Conc1	5E-08	
Start1	450.03	
Stop1	2549.84	
Kobs	0.138253766538416	
Error Kobs	0.000964231803206739	
Koff	0.0709403623161408	
Error Koff	0.00343829829309716	
Time1	Data1	Fit1	
450.03	0.00314193	0.00314193	
450.23	0.00624866	0.00803708	
450.43	0.00943321	0.01280047	
450.63	0.01288501	0.0174357	
450.83	0.01672435	0.02194626	
451.03	0.02165147	0.02633555	
451.23	0.02691146	0.03060687	
451.43	0.03174326	0.03476346	
451.63	0.03653286	0.03880842	
451.83	0.04167549	0.04274481	
452.03	0.0456758	0.04657559	
452.23	0.04999449	0.05030364	
452.43	0.05383553	0.05393176	
452.63	0.05736757	0.05746267	
452.83	0.06109608	0.06089902	
453.03	0.06454629	0.0642434	
453.23	0.06772187	0.06749831	
453.43	0.07116231	0.07066619	
453.63	0.07477633	0.07374941	
453.83	0.07856663	0.07675029	
454.03	0.08188712	0.07967106	
454.23	0.08528503	0.08251392	
454.43	0.08823227	0.08528098	
454.63	0.09169569	0.08797432	
454.83	0.09533312	0.09059593	
455.03	0.09945395	0.09314779	
455.23	0.10238771	0.09563179	
455.43	0.10537195	0.09804978	
455.63	0.10836252	0.10040356	
455.83	0.11113682	0.10269488	
456.03	0.11320659	0.10492545	
456.23	0.11553662	0.10709692	
456.43	0.11701284	0.1092109	
456.63	0.11905007	0.11126897	
456.83	0.12118319	0.11327263	
457.03	0.12255594	0.11522339	
457.23	0.12453996	0.11712268	
457.43	0.12615024	0.1189719	
457.63	0.12793427	0.12077242	
457.83	0.12971257	0.12252557	
458.03	0.13098381	0.12423263	
458.23	0.13211519	0.12589488	
458.43	0.13364977	0.12751351	
458.63	0.13512275	0.12908974	
458.83	0.13643305	0.13062471	
459.03	0.13761033	0.13211954	
459.23	0.13868589	0.13357534	
459.43	0.14026469	0.13499316	
459.63	0.14085879	0.13637404	
459.83	0.14170159	0.13771899	
460.03	0.14189584	0.13902899	
460.23	0.14229636	0.14030499	
460.43	0.1430912	0.14154791	
460.63	0.14410392	0.14275867	
460.83	0.144869	0.14393813	
461.03	0.14577438	0.14508715	
461.23	0.1478048	0.14620655	
461.43	0.14896234	0.14729716	
461.63	0.1505268	0.14835974	
461.83	0.15151566	0.14939508	
462.03	0.15190837	0.1504039	
462.23	0.15255376	0.15138693	
462.43	0.15326551	0.15234487	
462.63	0.15408483	0.15327841	
462.83	0.15456778	0.15418821	
463.03	0.15503927	0.15507493	
463.23	0.15543363	0.15593918	
463.43	0.15560016	0.15678158	
463.63	0.15514563	0.15760274	
463.83	0.15578704	0.15840321	
464.03	0.15602845	0.15918358	
464.23	0.15661279	0.15994438	
464.43	0.15730563	0.16068616	
464.63	0.15822782	0.16140942	
464.83	0.15887175	0.16211468	
465.03	0.15996366	0.16280242	
465.23	0.16146303	0.16347313	
465.43	0.16213149	0.16412726	
465.63	0.16273888	0.16476527	
465.83	0.16331198	0.1653876	
466.03	0.16346235	0.16599467	
466.23	0.16407755	0.1665869	
466.43	0.16416105	0.1671647	
466.63	0.16460406	0.16772845	
466.83	0.16443005	0.16827854	
467.03	0.16522063	0.16881535	
467.23	0.16500677	0.16933924	
467.43	0.16482491	0.16985055	
467.63	0.16503344	0.17034962	
467.83	0.16579969	0.17083681	
468.03	0.16592104	0.17131242	
468.23	0.16554898	0.17177677	
468.43	0.16556283	0.17223017	
468.63	0.16573665	0.17267291	
468.83	0.16639335	0.1731053	
469.03	0.16680347	0.1735276	
469.23	0.16735981	0.1739401	
469.43	0.16801246	0.17434306	
469.63	0.16873239	0.17473674	
469.83	0.16942346	0.1751214	
470.03	0.17022389	0.17549727	
470.23	0.17082403	0.1758646	
470.43	0.17123363	0.17622363	
470.63	0.17224215	0.17657457	
470.83	0.17304431	0.17691765	
471.03	0.17425615	0.17725308	
471.23	0.17411944	0.17758107	
471.43	0.17452755	0.17790182	
471.63	0.17550061	0.17821554	
471.83	0.17569435	0.1785224	
472.03	0.17525056	0.1788226	
472.23	0.17461146	0.17911632	
472.43	0.17414798	0.17940374	
472.63	0.17454939	0.17968502	
472.83	0.17485713	0.17996034	
473.03	0.17471842	0.18022985	
473.23	0.17527906	0.18049372	
473.43	0.17530914	0.1807521	
473.63	0.17536153	0.18100513	
473.83	0.17512956	0.18125297	
474.03	0.17544179	0.18149575	
474.23	0.17538508	0.18173361	
474.43	0.17552038	0.18196669	
474.63	0.17601064	0.18219511	
474.83	0.1761173	0.182419	
475.03	0.17663025	0.18263849	
475.23	0.17664051	0.1828537	
475.43	0.17718556	0.18306474	
475.63	0.17750472	0.18327172	
475.83	0.177203	0.18347476	
476.03	0.17673526	0.18367396	
476.23	0.17702802	0.18386942	
476.43	0.17748681	0.18406126	
476.63	0.17787301	0.18424956	
476.83	0.17822855	0.18443442	
477.03	0.17877315	0.18461594	
477.23	0.17896995	0.18479421	
477.43	0.17893201	0.18496932	
477.63	0.17942994	0.18514134	
477.83	0.17945822	0.18531037	
478.03	0.18046707	0.18547649	
478.23	0.18034939	0.18563977	
478.43	0.1808764	0.1858003	
478.63	0.18137457	0.18595814	
478.83	0.18176031	0.18611337	
479.03	0.18227309	0.18626607	
479.23	0.18190237	0.18641629	
479.43	0.18211814	0.18656411	
479.63	0.18168065	0.1867096	
479.83	0.18154213	0.1868528	
480.03	0.18133438	0.1869938	
