Conc1	5E-09	
Start1	450.03	
Stop1	2549.84	
Kobs	0.0012788313640875	
Error Kobs	3.84522419809668E-05	
Koff	0.0441778607478859	
Error Koff	0.00220694713818054	
Time1	Data1	Fit1	
450.03	0.01504139	0.01504139	
450.23	0.01502752	0.01568686	
450.43	0.01520267	0.01632865	
450.63	0.01531079	0.01696678	
450.83	0.01568301	0.01760128	
451.03	0.01568057	0.01823217	
451.23	0.01542996	0.01885946	
451.43	0.01592299	0.01948319	
451.63	0.01629096	0.02010336	
451.83	0.01663791	0.02072	
452.03	0.01750777	0.02133314	
452.23	0.0185287	0.02194278	
452.43	0.01922179	0.02254895	
452.63	0.01971023	0.02315168	
452.83	0.02085892	0.02375097	
453.03	0.02148099	0.02434686	
453.23	0.02140984	0.02493936	
453.43	0.0222082	0.02552848	
453.63	0.0227276	0.02611426	
453.83	0.02369906	0.0266967	
454.03	0.02388823	0.02727583	
454.23	0.02415883	0.02785167	
454.43	0.02472892	0.02842424	
454.63	0.02521119	0.02899355	
454.83	0.02625781	0.02955962	
455.03	0.02642632	0.03012248	
455.23	0.02699512	0.03068213	
455.43	0.02796183	0.03123861	
455.63	0.02797755	0.03179193	
455.83	0.02857678	0.0323421	
456.03	0.02934545	0.03288914	
456.23	0.02984423	0.03343308	
456.43	0.02998236	0.03397393	
456.63	0.03048126	0.03451171	
456.83	0.03113359	0.03504643	
457.03	0.03196503	0.03557812	
457.23	0.0317966	0.03610679	
457.43	0.032016	0.03663245	
457.63	0.03241245	0.03715514	
457.83	0.03279188	0.03767485	
458.03	0.03235097	0.03819162	
458.23	0.0326745	0.03870545	
458.43	0.03345718	0.03921637	
458.63	0.03373912	0.03972439	
458.83	0.03442558	0.04022953	
459.03	0.03455669	0.0407318	
459.23	0.03515119	0.04123123	
459.43	0.03541155	0.04172782	
459.63	0.03563052	0.0422216	
459.83	0.03659275	0.04271257	
460.03	0.03710834	0.04320077	
460.23	0.037721	0.04368619	
460.43	0.03839081	0.04416887	
460.63	0.03916164	0.0446488	
460.83	0.03983996	0.04512602	
461.03	0.04059684	0.04560054	
461.23	0.04095296	0.04607237	
461.43	0.04173044	0.04654152	
461.63	0.04260664	0.04700802	
461.83	0.04284123	0.04747187	
462.03	0.04316801	0.0479331	
462.23	0.04378323	0.04839172	
462.43	0.04375505	0.04884774	
462.63	0.0437239	0.04930118	
462.83	0.04432064	0.04975205	
463.03	0.04487589	0.05020037	
463.23	0.04569511	0.05064615	
463.43	0.04639845	0.05108942	
463.63	0.04677537	0.05153017	
463.83	0.04731019	0.05196843	
464.03	0.04760318	0.05240421	
464.23	0.04845876	0.05283753	
464.43	0.04916447	0.0532684	
464.63	0.04955831	0.05369683	
464.83	0.0498658	0.05412284	
465.03	0.05022296	0.05454644	
465.23	0.05060605	0.05496765	
465.43	0.05115341	0.05538647	
465.63	0.0513068	0.05580293	
465.83	0.05125009	0.05621704	
466.03	0.05149051	0.05662881	
466.23	0.05210726	0.05703825	
466.43	0.05262512	0.05744538	
466.63	0.05258523	0.05785022	
466.83	0.0531279	0.05825276	
467.03	0.05390301	0.05865303	
467.23	0.05439527	0.05905105	
467.43	0.0551068	0.05944682	
467.63	0.05538985	0.05984035	
467.83	0.05594543	0.06023167	
468.03	0.05654121	0.06062077	
468.23	0.05726069	0.06100769	
468.43	0.05730662	0.06139242	
468.63	0.05734104	0.06177498	
468.83	0.05742476	0.06215538	
469.03	0.05838807	0.06253364	
469.23	0.05895282	0.06290977	
469.43	0.06003237	0.06328378	
469.63	0.0599763	0.06365568	
469.83	0.06051617	0.06402548	
470.03	0.06102774	0.0643932	
470.23	0.06167019	0.06475885	
470.43	0.06196936	0.06512244	
470.63	0.06180077	0.06548399	
470.83	0.06269138	0.0658435	
471.03	0.06326616	0.06620098	
471.23	0.06338398	0.06655645	
471.43	0.06391327	0.06690993	
471.63	0.06384248	0.06726141	
471.83	0.06410575	0.06761091	
472.03	0.06465468	0.06795845	
472.23	0.06492067	0.06830404	
472.43	0.06536944	0.06864768	
472.63	0.06612863	0.06898939	
472.83	0.06689399	0.06932918	
473.03	0.06777947	0.06966706	
473.23	0.06841613	0.07000304	
473.43	0.06877823	0.07033713	
473.63	0.06868666	0.07066935	
