Conc1	5E-10	
Start1	450.03	
Stop1	2549.84	
Kobs	0.0056065490555217	
Error Kobs	NaN	
Koff	0.00317918890311211	
Error Koff	NaN	
Time1	Data1	Fit1	
450.03	0.01981325	0.01981325	
450.23	0.01876234	0.01988	
450.43	0.01783412	0.01994667	
450.63	0.01725466	0.02001327	
450.83	0.0168113	0.0200798	
451.03	0.01626871	0.02014625	
451.23	0.01615029	0.02021263	
451.43	0.01571598	0.02027893	
451.63	0.01588209	0.02034515	
451.83	0.0166792	0.02041131	
452.03	0.01733299	0.02047739	
452.23	0.01836954	0.02054339	
452.43	0.01847378	0.02060932	
452.63	0.01861292	0.02067518	
452.83	0.01922885	0.02074097	
453.03	0.01970481	0.02080668	
453.23	0.02000238	0.02087231	
453.43	0.02017136	0.02093788	
453.63	0.01998379	0.02100336	
453.83	0.01921647	0.02106878	
454.03	0.01823321	0.02113412	
454.23	0.01777377	0.02119939	
454.43	0.01711219	0.02126459	
454.63	0.01681099	0.02132971	
454.83	0.01637104	0.02139476	
455.03	0.01605572	0.02145974	
455.23	0.01636891	0.02152464	
455.43	0.01604421	0.02158948	
455.63	0.01645903	0.02165423	
455.83	0.01709524	0.02171892	
456.03	0.01778664	0.02178354	
456.23	0.01830174	0.02184808	
456.43	0.01869393	0.02191255	
456.63	0.01941283	0.02197694	
456.83	0.01986405	0.02204127	
457.03	0.0203277	0.02210552	
457.23	0.020771	0.0221697	
457.43	0.0209039	0.02223381	
457.63	0.02042594	0.02229785	
457.83	0.02013985	0.02236181	
458.03	0.02044697	0.02242571	
458.23	0.02084924	0.02248953	
458.43	0.02061292	0.02255328	
458.63	0.02094917	0.02261696	
458.83	0.02124768	0.02268057	
459.03	0.02145287	0.0227441	
459.23	0.02125007	0.02280757	
459.43	0.02113973	0.02287096	
459.63	0.02152328	0.02293428	
459.83	0.02194118	0.02299754	
460.03	0.02231342	0.02306072	
460.23	0.02191703	0.02312383	
460.43	0.02197171	0.02318687	
460.63	0.02177925	0.02324984	
460.83	0.0216559	0.02331273	
461.03	0.02188874	0.02337556	
461.23	0.0219829	0.02343832	
461.43	0.02172757	0.02350101	
461.63	0.02172746	0.02356362	
461.83	0.02188898	0.02362617	
462.03	0.02177422	0.02368865	
462.23	0.02179108	0.02375105	
462.43	0.0218142	0.02381339	
462.63	0.02180635	0.02387566	
462.83	0.02178883	0.02393785	
463.03	0.02163641	0.02399998	
463.23	0.02189374	0.02406204	
463.43	0.02209577	0.02412403	
463.63	0.02219745	0.02418595	
463.83	0.02248584	0.02424779	
464.03	0.02234272	0.02430957	
464.23	0.02223543	0.02437129	
464.43	0.02217571	0.02443293	
464.63	0.02165529	0.0244945	
464.83	0.02208655	0.024556	
465.03	0.02206088	0.02461744	
465.23	0.02201777	0.0246788	
465.43	0.02187025	0.0247401	
465.63	0.02186225	0.02480133	
465.83	0.02181662	0.02486249	
466.03	0.02180495	0.02492358	
466.23	0.02175155	0.0249846	
466.43	0.02148349	0.02504556	
466.63	0.02125104	0.02510644	
466.83	0.02136277	0.02516726	
467.03	0.0220261	0.02522801	
467.23	0.02251127	0.02528869	
467.43	0.02225191	0.0253493	
467.63	0.02289536	0.02540985	
467.83	0.02311857	0.02547033	
468.03	0.02294272	0.02553074	
468.23	0.02308231	0.02559108	
468.43	0.02337918	0.02565135	
468.63	0.02328295	0.02571156	
468.83	0.02362827	0.0257717	
469.03	0.02376782	0.02583177	
469.23	0.02406123	0.02589178	
469.43	0.02442559	0.02595171	
469.63	0.02503016	0.02601158	
469.83	0.02528852	0.02607139	
470.03	0.0252983	0.02613112	
470.23	0.02487055	0.02619079	
470.43	0.02482249	0.0262504	
470.63	0.02472059	0.02630993	
470.83	0.02472059	0.0263694	
471.03	0.02456201	0.0264288	
471.23	0.02403852	0.02648814	
471.43	0.02359371	0.02654741	
471.63	0.02382077	0.02660661	
471.83	0.02326905	0.02666575	
472.03	0.02328863	0.02672482	
472.23	0.02367939	0.02678382	
472.43	0.02370775	0.02684276	
472.63	0.02367253	0.02690163	
472.83	0.02410237	0.02696044	
473.03	0.02498027	0.02701918	
473.23	0.02499041	0.02707785	
473.43	0.02576923	0.02713646	
473.63	0.02597813	0.027195	
473.83	0.02635604	0.02725348	
474.03	0.02646106	0.02731189	
474.23	0.02669211	0.02737024	
474.43	0.02646119	0.02742852	
474.63	0.02609394	0.02748673	
474.83	0.02584847	0.02754488	
475.03	0.02559727	0.02760297	
475.23	0.02556984	0.02766099	
475.43	0.02545656	0.02771894	
475.63	0.02572584	0.02777683	
475.83	0.02537935	0.02783466	
476.03	0.02540023	0.02789242	
476.23	0.02574108	0.02795011	
476.43	0.0254946	0.02800774	
476.63	0.02604214	0.02806531	
476.83	0.02591218	0.02812281	
477.03	0.02603686	0.02818025	
477.23	0.02586383	0.02823762	
477.43	0.02646781	0.02829493	
477.63	0.02648868	0.02835218	
477.83	0.02737416	0.02840936	
478.03	0.02750171	0.02846647	
478.23	0.02722717	0.02852352	
478.43	0.02692126	0.02858051	
478.63	0.02713145	0.02863744	
478.83	0.02752728	0.0286943	
479.03	0.02764133	0.02875109	
479.23	0.02752079	0.02880783	
479.43	0.02744318	0.0288645	
479.63	0.02741086	0.0289211	
479.83	0.02702909	0.02897765	
480.03	0.02652378	0.02903413	
480.23	0.02655888	0.02909054	
480.43	0.02624954	0.02914689	
480.63	0.02617322	0.02920318	
480.83	0.02577278	0.02925941	
481.03	0.0266168	0.02931557	
481.23	0.0269043	0.02937167	
481.43	0.02739726	0.02942771	
481.63	0.02735456	0.02948369	
481.83	0.02812759	0.0295396	
482.03	0.02797268	0.02959545	
482.23	0.02809382	0.02965124	
482.43	0.02846076	0.02970696	
482.63	0.02916391	0.02976262	
482.83	0.02954734	0.02981822	
483.03	0.02946279	0.02987376	
483.23	0.02939181	0.02992923	
483.43	0.02946312	0.02998465	
483.63	0.029135	0.03004	
483.83	0.02855407	0.03009529	
484.03	0.02793557	0.03015051	
484.23	0.02780655	0.03020568	
484.43	0.02757407	0.03026078	
484.63	0.0272177	0.03031582	
484.83	0.0273002	0.0303708	
485.03	0.02758354	0.03042572	
485.23	0.02718063	0.03048058	
485.43	0.02740208	0.03053537	
485.63	0.02691634	0.03059011	
485.83	0.02811038	0.03064478	
486.03	0.02817827	0.03069939	
486.23	0.02864374	0.03075394	
486.43	0.02896067	0.03080843	
486.63	0.02943182	0.03086285	
486.83	0.029459	0.03091722	
487.03	0.02925988	0.03097153	
487.23	0.02944617	0.03102577	
487.43	0.02946953	0.03107996	
487.63	0.02914014	0.03113408	
487.83	0.02894827	0.03118814	
488.03	0.028551	0.03124214	
488.23	0.02823834	0.03129609	
488.43	0.0280985	0.03134997	
488.63	0.02759011	0.03140379	
488.83	0.02786369	0.03145755	
489.03	0.0278226	0.03151125	
489.23	0.02785069	0.03156489	
489.43	0.02799158	0.03161847	
489.63	0.02799262	0.03167199	
489.83	0.02862806	0.03172545	
490.03	0.02866426	0.03177885	
490.23	0.02943279	0.03183219	
490.43	0.02976363	0.03188547	
490.63	0.03042425	0.03193869	
490.83	0.03059492	0.03199185	
491.03	0.03073542	0.03204495	
491.23	0.03113536	0.03209799	
491.43	0.03118598	0.03215097	
491.63	0.03082797	0.0322039	
491.83	0.03044054	0.03225676	
492.03	0.02997942	0.03230957	
492.23	0.02983176	0.03236231	
492.43	0.0299158	0.032415	
492.63	0.02985986	0.03246762	
492.83	0.02996114	0.03252019	
493.03	0.02990193	0.0325727	
493.23	0.02986205	0.03262515	
493.43	0.02981085	0.03267754	
493.63	0.02982455	0.03272988	
493.83	0.03003939	0.03278215	
494.03	0.03072277	0.03283437	
494.23	0.03087918	0.03288652	
494.43	0.03124566	0.03293862	
494.63	0.03163089	0.03299066	
494.83	0.03144906	0.03304264	
495.03	0.03165204	0.03309457	
495.23	0.03148207	0.03314643	
495.43	0.03098348	0.03319824	
495.63	0.03073934	0.03324999	
495.83	0.03075494	0.03330168	
496.03	0.03062073	0.03335331	
496.23	0.03061056	0.03340489	
496.43	0.03064379	0.03345641	
496.63	0.03053288	0.03350787	
496.83	0.03054072	0.03355927	
497.03	0.03069907	0.03361062	
497.23	0.03082116	0.0336619	
497.43	0.03111228	0.03371313	
497.63	0.03108996	0.0337643	
497.83	0.03117081	0.03381542	
498.03	0.03148317	0.03386648	
498.23	0.03199066	0.03391748	
498.43	0.03238635	0.03396842	
498.63	0.03218066	0.03401931	
498.83	0.03211821	0.03407014	
499.03	0.03210789	0.03412091	
499.23	0.03209783	0.03417162	
499.43	0.03166019	0.03422228	
499.63	0.03193662	0.03427288	
499.83	0.03173891	0.03432343	
500.03	0.03119226	0.03437392	
500.23	0.03112839	0.03442435	
500.43	0.03092688	0.03447473	
500.63	0.0309568	0.03452504	
500.83	0.03140865	0.03457531	
501.03	0.03157712	0.03462551	
501.23	0.03190405	0.03467566	
501.43	0.03208376	0.03472576	
501.63	0.03215678	0.03477579	
501.83	0.0325487	0.03482577	
502.03	0.03307055	0.0348757	
502.23	0.03320946	0.03492557	
502.43	0.03281744	0.03497538	
502.63	0.03282557	0.03502514	
502.83	0.03284604	0.03507484	
503.03	0.032843	0.03512449	
503.23	0.03265532	0.03517408	
503.43	0.03258169	0.03522362	
503.63	0.03312818	0.03527309	
503.83	0.03247379	0.03532252	
504.03	0.03209511	0.03537189	
504.23	0.03207275	0.0354212	
504.43	0.03230973	0.03547046	
504.63	0.0328262	0.03551966	
504.83	0.03307784	0.03556881	
505.03	0.0335326	0.0356179	
505.23	0.03359938	0.03566694	
505.43	0.03370789	0.03571592	
505.63	0.03385682	0.03576485	
505.83	0.03387905	0.03581372	
506.03	0.03391872	0.03586254	
506.23	0.03359678	0.03591131	
506.43	0.03331888	0.03596001	
506.63	0.03300208	0.03600867	
506.83	0.03268653	0.03605727	
507.03	0.03254598	0.03610581	
507.23	0.03258423	0.0361543	
507.43	0.03299875	0.03620274	
507.63	0.03264867	0.03625112	
507.83	0.03240276	0.03629945	
508.03	0.03275129	0.03634773	
508.23	0.03320598	0.03639595	
508.43	0.03330452	0.03644411	
508.63	0.03393407	0.03649222	
508.83	0.03402217	0.03654028	
