Conc1	3E-06	
Start1	450.04	
Stop1	2549.84	
Kobs	0.0040965144425634	
Error Kobs	5.12637294550739E-05	
Koff	0.176407418534649	
Error Koff	0.00487360830468182	
Time1	Data1	Fit1	
450.04	0.08472226	0.08472226	
450.24	0.10901618	0.10877584	
450.44	0.13464831	0.13077791	
450.64	0.16090359	0.15090444	
450.84	0.18724001	0.16931632	
451.04	0.21269474	0.18616064	
451.24	0.23620611	0.20157186	
451.44	0.25715091	0.21567292	
451.64	0.27443056	0.22857619	
451.84	0.28708491	0.24038441	
452.04	0.29464753	0.25119153	
452.24	0.29591608	0.26108341	
452.44	0.29719005	0.27013856	
452.64	0.29860755	0.27842874	
452.84	0.30048361	0.28601958	
453.04	0.30201356	0.29297105	
453.24	0.303684	0.299338	
453.44	0.305086	0.30517055	
453.64	0.30688542	0.31051455	
453.84	0.30876575	0.31541189	
454.04	0.31038263	0.31990089	
454.24	0.31162731	0.32401656	
454.44	0.31279529	0.32779092	
454.64	0.31409098	0.33125323	
454.84	0.31542439	0.33443027	
455.04	0.31661626	0.33734649	
455.24	0.31765682	0.34002426	
455.44	0.318409	0.34248402	
455.64	0.31895599	0.34474447	
455.84	0.31976067	0.34682269	
456.04	0.3210683	0.34873432	
456.24	0.32202186	0.35049362	
456.44	0.32361378	0.35211366	
456.64	0.324654	0.35360637	
456.84	0.32562306	0.35498268	
457.04	0.32663504	0.35625254	
457.24	0.32771991	0.3574251	
457.44	0.32844972	0.35850868	
457.64	0.32980488	0.35951091	
457.84	0.3306461	0.36043876	
458.04	0.33160274	0.36129859	
458.24	0.33218006	0.36209624	
458.44	0.33281677	0.36283703	
458.64	0.33318876	0.36352583	
458.84	0.33375373	0.36416708	
459.04	0.33433343	0.36476486	
459.24	0.33453658	0.36532289	
459.44	0.33459538	0.36584457	
459.64	0.33478492	0.36633301	
459.84	0.33565191	0.36679104	
460.04	0.33599238	0.36722128	
460.24	0.33633947	0.36762608	
460.44	0.33753273	0.36800764	
460.64	0.33822728	0.36836792	
460.84	0.33861926	0.36870875	
