Conc1	1E-06	
Start1	450.04	
Stop1	2549.84	
Kobs	0.00267326420104894	
Error Kobs	9.53709286317563E-06	
Koff	0.124077533370559	
Error Koff	0.00299771114493965	
Time1	Data1	Fit1	
450.04	0.03810398	0.03810398	
450.24	0.05184892	0.05769159	
450.44	0.06731196	0.07551525	
450.64	0.08428068	0.09173464	
450.84	0.10184226	0.106495	
451.04	0.11900403	0.11992842	
451.24	0.13574294	0.13215502	
451.44	0.15159867	0.14328407	
451.64	0.16608903	0.15341491	
451.84	0.17915375	0.16263792	
452.04	0.18883131	0.17103529	
452.24	0.19567	0.17868175	
452.44	0.2009732	0.18564528	
452.64	0.20448671	0.1919877	
452.84	0.20765417	0.19776525	
453.04	0.21045106	0.20302906	
453.24	0.21335919	0.20782563	
453.44	0.2156029	0.21219726	
453.64	0.21773953	0.21618242	
453.84	0.21981681	0.21981609	
454.04	0.22123939	0.22313008	
454.24	0.22272637	0.22615334	
454.44	0.22414867	0.22891217	
454.64	0.22553771	0.23143052	
454.84	0.22627815	0.23373016	
455.04	0.22642501	0.23583086	
455.24	0.22738407	0.23775066	
455.44	0.2283583	0.2395059	
455.64	0.22957829	0.2411115	
455.84	0.23086795	0.24258099	
456.04	0.23152472	0.24392668	
456.24	0.23322484	0.24515979	
456.44	0.23447226	0.2462905	
456.64	0.23548657	0.24732807	
456.84	0.2367958	0.24828093	
457.04	0.23775423	0.24915675	
457.24	0.23888274	0.2499625	
457.44	0.23959575	0.25070451	
457.64	0.24069093	0.25138856	
457.84	0.2412366	0.25201988	
458.04	0.24189765	0.25260324	
458.24	0.24295678	0.25314297	
458.44	0.24330783	0.25364304	
458.64	0.24368733	0.25410701	
458.84	0.24346986	0.25453816	
459.04	0.24363949	0.25493945	
459.24	0.24437131	0.25531357	
459.44	0.24437979	0.25566299	
459.64	0.24450587	0.25598994	
459.84	0.24473439	0.25629643	
460.04	0.24501449	0.25658433	
460.24	0.24535678	0.25685531	
460.44	0.24535235	0.2571109	
460.64	0.24569391	0.25735248	
