Conc1	2E-08	
Start1	450.04	
Stop1	2549.84	
Kobs	0.00142689937151817	
Error Kobs	2.19998124450863E-05	
Koff	0.00562100971100731	
Error Koff	4.76533700082205E-05	
Time1	Data1	Fit1	
450.04	-0.00110879	-0.00110879	
450.24	-0.00007533	-0.00002058	
450.44	0.00143826	0.00105768	
450.64	0.00258462	0.0021261	
450.84	0.00401718	0.00318476	
451.04	0.00533982	0.00423375	
451.24	0.00668362	0.00527316	
451.44	0.00784596	0.00630308	
451.64	0.00908696	0.0073236	
451.84	0.01023168	0.00833481	
452.04	0.01113375	0.00933679	
452.24	0.01182595	0.01032962	
452.44	0.01223999	0.0113134	
452.64	0.01292631	0.0122882	
452.84	0.01338696	0.01325411	
453.04	0.01365494	0.01421121	
453.24	0.01427185	0.01515959	
453.44	0.01478235	0.01609932	
453.64	0.01548001	0.01703048	
453.84	0.01635121	0.01795315	
454.04	0.01718663	0.01886742	
454.24	0.01824193	0.01977335	
454.44	0.01957317	0.02067103	
454.64	0.02018555	0.02156053	
454.84	0.02095804	0.02244194	
455.04	0.02160742	0.02331531	
455.24	0.02226622	0.02418073	
455.44	0.02282216	0.02503828	
455.64	0.02349931	0.02588802	
455.84	0.02404213	0.02673002	
456.04	0.02454382	0.02756436	
456.24	0.02537822	0.02839111	
456.44	0.02600806	0.02921035	
456.64	0.02705207	0.03002213	
456.84	0.0281913	0.03082652	
457.04	0.02902095	0.03162361	
457.24	0.03002196	0.03241345	
457.44	0.03100175	0.03319611	
457.64	0.03210192	0.03397165	
457.84	0.03278262	0.03474015	
458.04	0.03323453	0.03550167	
458.24	0.03442634	0.03625628	
458.44	0.03522037	0.03700402	
458.64	0.03532162	0.03774498	
458.84	0.03546972	0.03847922	
459.04	0.03562176	0.03920679	
459.24	0.03595871	0.03992776	
459.44	0.03619765	0.04064218	
459.64	0.03709513	0.04135013	
459.84	0.03767494	0.04205165	
460.04	0.03887182	0.04274681	
460.24	0.03973191	0.04343567	
460.44	0.04066727	0.04411829	
460.64	0.04160627	0.04479472	
460.84	0.04268926	0.04546502	
461.04	0.04289064	0.04612925	
461.24	0.04360284	0.04678746	
461.44	0.04467594	0.04743971	
461.64	0.04545119	0.04808606	
461.84	0.04567326	0.04872655	
462.04	0.04622357	0.04936125	
462.24	0.04702306	0.04999021	
462.44	0.04747861	0.05061347	
462.64	0.04794642	0.0512311	
462.84	0.04858284	0.05184315	
463.04	0.04951957	0.05244966	
463.24	0.0505948	0.05305069	
463.44	0.051476	0.05364629	
463.64	0.05275365	0.05423651	
463.84	0.05346014	0.05482139	
464.04	0.0544733	0.055401	
464.24	0.05488096	0.05597537	
464.44	0.05591388	0.05654456	
464.64	0.05621611	0.05710861	
464.84	0.05711352	0.05766757	
465.04	0.05713324	0.05822149	
465.24	0.05788444	0.05877042	
465.44	0.05809039	0.05931439	
465.64	0.05842031	0.05985347	
465.84	0.05843479	0.06038768	
466.04	0.05866466	0.06091709	
466.24	0.05954768	0.06144172	
466.44	0.06031796	0.06196163	
466.64	0.06175198	0.06247686	
466.84	0.06314937	0.06298745	
467.04	0.06436529	0.06349345	
467.24	0.06489672	0.0639949	
467.44	0.06608501	0.06449184	
467.64	0.06702217	0.06498431	
467.84	0.06758124	0.06547235	
468.04	0.06802506	0.06595601	
468.24	0.06851896	0.06643532	
468.44	0.06903336	0.06691033	
468.64	0.06893729	0.06738107	
468.84	0.06952494	0.06784759	
469.04	0.06922116	0.06830992	
469.24	0.06929988	0.06876811	
469.44	0.06889649	0.06922218	
469.64	0.06859054	0.06967219	
469.84	0.06861641	0.07011816	
470.04	0.06876333	0.07056013	
470.24	0.06987143	0.07099815	
470.44	0.07059938	0.07143224	
470.64	0.07160773	0.07186245	
470.84	0.07249427	0.0722888	
471.04	0.07311013	0.07271135	
471.24	0.07365942	0.07313011	
471.44	0.07467866	0.07354513	
471.64	0.07487592	0.07395643	
471.84	0.07534486	0.07436407	
472.04	0.07594589	0.07476806	
472.24	0.07633994	0.07516844	
472.44	0.0770114	0.07556525	
472.64	0.07750789	0.07595852	
472.84	0.07815081	0.07634828	
473.04	0.07825089	0.07673456	
473.24	0.07842117	0.0771174	
473.44	0.07870748	0.07749683	
473.64	0.07873736	0.07787288	
473.84	0.07905693	0.07824558	
474.04	0.07935534	0.07861496	
474.24	0.07959185	0.07898105	
474.44	0.07961485	0.07934388	
474.64	0.07945377	0.07970349	
474.84	0.08034236	0.0800599	
475.04	0.0806713	0.08041315	
475.24	0.08097597	0.08076325	
475.44	0.08141005	0.08111025	
475.64	0.08181677	0.08145417	
475.84	0.08242585	0.08179503	
476.04	0.08305052	0.08213287	
476.24	0.08375428	0.08246772	
476.44	0.08473372	0.08279959	
476.64	0.08517169	0.08312853	
476.84	0.08575046	0.08345455	
477.04	0.08629137	0.08377769	
477.24	0.08692804	0.08409796	
477.44	0.08718504	0.08441541	
477.64	0.08707464	0.08473004	
477.84	0.0871212	0.0850419	
478.04	0.08765317	0.085351	
478.24	0.08756005	0.08565737	
478.44	0.08769219	0.08596104	
478.64	0.08795611	0.08626202	
478.84	0.08843876	0.08656035	
479.04	0.08836106	0.08685605	
479.24	0.08850907	0.08714915	
479.44	0.08878814	0.08743966	
479.64	0.08948332	0.08772762	
479.84	0.08967324	0.08801304	
480.04	0.0899742	0.08829595	
480.24	0.08967265	0.08857637	
480.44	0.08979042	0.08885433	
480.64	0.08982516	0.08912984	
480.84	0.09044818	0.08940294	
481.04	0.09064153	0.08967364	
481.24	0.09087677	0.08994196	
481.44	0.09126413	0.09020794	
481.64	0.09150939	0.09047158	
481.84	0.09174288	0.09073291	
482.04	0.09224321	0.09099195	
482.24	0.09258482	0.09124873	
482.44	0.09336749	0.09150326	
482.64	0.09440208	0.09175556	
482.84	0.09436316	0.09200567	
483.04	0.0943793	0.09225358	
483.24	0.09472217	0.09249933	
483.44	0.09528844	0.09274294	
483.64	0.09546307	0.09298443	
483.84	0.09509916	0.09322381	
484.04	0.09507432	0.0934611	
484.24	0.09501051	0.09369633	
484.44	0.09556116	0.09392951	
484.64	0.09572927	0.09416066	
484.84	0.0960768	0.09438981	
485.04	0.09611902	0.09461696	
485.24	0.09636313	0.09484214	
485.44	0.09666343	0.09506537	
485.64	0.09648209	0.09528666	
485.84	0.09699043	0.09550604	
486.04	0.09753955	0.09572351	
486.24	0.09818924	0.0959391	
486.44	0.09870644	0.09615283	
486.64	0.09909546	0.09636471	
486.84	0.09850991	0.09657475	
487.04	0.09828096	0.09678299	
487.24	0.09851732	0.09698942	
487.44	0.0986789	0.09719408	
487.64	0.09871102	0.09739697	
487.84	0.09894203	0.09759811	
488.04	0.09909868	0.09779752	
488.24	0.09936062	0.09799522	
488.44	0.10005308	0.09819122	
488.64	0.1001888	0.09838553	
488.84	0.1000129	0.09857817	
489.04	0.10029387	0.09876916	
489.24	0.10037614	0.09895851	
489.44	0.10047838	0.09914624	
489.64	0.10043591	0.09933236	
489.84	0.10064656	0.09951689	
490.04	0.10095218	0.09969984	
490.24	0.1012843	0.09988123	
490.44	0.10121882	0.10006107	
490.64	0.10133248	0.10023937	
490.84	0.10108514	0.10041615	
491.04	0.10124494	0.10059143	
491.24	0.10191606	0.10076521	
491.44	0.10257176	0.10093752	
491.64	0.10332292	0.10110835	
491.84	0.1034624	0.10127774	
492.04	0.10370255	0.10144569	
492.24	0.10452653	0.10161221	
492.44	0.10502297	0.10177732	
492.64	0.10502331	0.10194104	
492.84	0.10494182	0.10210336	
493.04	0.10501983	0.10226432	
493.24	0.1052711	0.10242391	
493.44	0.10522113	0.10258216	
493.64	0.1048862	0.10273907	
493.84	0.1046779	0.10289466	
494.04	0.10460851	0.10304893	
494.24	0.10430489	0.10320191	
494.44	0.10369939	0.1033536	
494.64	0.10359193	0.10350402	
494.84	0.10405737	0.10365317	
495.04	0.10421326	0.10380107	
495.24	0.10472155	0.10394773	
495.44	0.1052355	0.10409316	
495.64	0.10549002	0.10423738	
495.84	0.10556125	0.10438039	
496.04	0.10600677	0.10452221	
496.24	0.10659831	0.10466284	
496.44	0.10709721	0.1048023	
496.64	0.1077673	0.10494059	
496.84	0.10799453	0.10507774	
