Conc1	1E-06	
Start1	450.03	
Stop1	2549.84	
Kobs	0.449378374321686	
Error Kobs	0.0156489041286725	
Koff	0.00425650704430969	
Error Koff	3.93626234937368E-05	
Time1	Data1	Fit1	
450.03	0.07669491	0.07669491	
450.23	0.0884748	0.0920275	
450.43	0.10139223	0.10605888	
450.63	0.11532053	0.11890088	
450.83	0.12963863	0.13065574	
451.03	0.14348985	0.14141687	
451.23	0.15719103	0.15126968	
451.43	0.17027879	0.16029223	
451.63	0.18178969	0.16855587	
451.83	0.19141765	0.17612583	
452.03	0.19860728	0.18306171	
452.23	0.20308011	0.189418	
452.43	0.2071717	0.19524451	
452.63	0.21003913	0.20058676	
452.83	0.21259295	0.20548636	
453.03	0.21547344	0.20998135	
453.23	0.21780861	0.21410649	
453.43	0.22029378	0.21789356	
453.63	0.22235554	0.2213716	
453.83	0.22386731	0.22456716	
454.03	0.22528771	0.22750452	
454.23	0.22728773	0.23020584	
454.43	0.22886451	0.23269141	
454.63	0.23057887	0.23497976	
454.83	0.23146698	0.23708783	
455.03	0.23271834	0.23903109	
455.23	0.23439172	0.2408237	
455.43	0.23578672	0.2424786	
455.63	0.23674698	0.24400761	
455.83	0.23789213	0.24542154	
456.03	0.23921343	0.24673026	
456.23	0.23972486	0.24794281	
456.43	0.24090289	0.24906744	
456.63	0.24152666	0.25011169	
456.83	0.2421553	0.25108246	
457.03	0.24292454	0.25198605	
457.23	0.24309565	0.25282823	
457.43	0.24341726	0.25361425	
457.63	0.24328533	0.25434893	
457.83	0.24332731	0.25503668	
458.03	0.24381537	0.2556815	
458.23	0.24439188	0.25628709	
458.43	0.2445632	0.25685679	
458.63	0.24477814	0.25739368	
458.83	0.24537309	0.25790057	
459.03	0.24665153	0.25838002	
459.23	0.24737343	0.25883437	
459.43	0.24858259	0.25926578	
459.63	0.24933049	0.2596762	
459.83	0.25054356	0.26006741	
460.03	0.25119721	0.26044107	
460.23	0.25135664	0.26079866	
460.43	0.25266659	0.26114155	
460.63	0.25330187	0.261471	
460.83	0.25329464	0.26178814	
461.03	0.25359721	0.26209402	
461.23	0.25346973	0.26238959	
461.43	0.25400065	0.26267573	
461.63	0.25431553	0.26295324	
461.83	0.2545603	0.26322284	
462.03	0.25466081	0.2634852	
462.23	0.25468833	0.26374094	
462.43	0.25451713	0.26399059	
462.63	0.25452744	0.26423469	
462.83	0.25497633	0.26447368	
463.03	0.2549042	0.264708	
463.23	0.25486761	0.26493804	
463.43	0.25502473	0.26516415	
463.63	0.25538843	0.26538665	
463.83	0.25610074	0.26560584	
464.03	0.25601731	0.265822	
464.23	0.2566502	0.26603537	
464.43	0.25688225	0.26624618	
464.63	0.25682983	0.26645463	
464.83	0.25697943	0.26666092	
465.03	0.25717894	0.26686521	
465.23	0.25729923	0.26706767	
465.43	0.25823974	0.26726845	
465.63	0.25913562	0.26746766	
465.83	0.25934487	0.26766544	
466.03	0.26024235	0.2678619	
466.23	0.26092621	0.26805713	
466.43	0.26146531	0.26825123	
466.63	0.26173408	0.26844429	
466.83	0.26185527	0.26863637	
467.03	0.2621058	0.26882755	
467.23	0.26242452	0.2690179	
467.43	0.26335514	0.26920748	
467.63	0.26412872	0.26939633	
467.83	0.26409149	0.26958451	
468.03	0.26415979	0.26977206	
468.23	0.2644257	0.26995902	
468.43	0.26456437	0.27014544	
468.63	0.26467807	0.27033134	
468.83	0.26496507	0.27051676	
469.03	0.26488696	0.27070173	
469.23	0.26507107	0.27088627	
469.43	0.26552542	0.2710704	
469.63	0.26582154	0.27125415	
469.83	0.26560985	0.27143754	
470.03	0.26578323	0.27162059	
470.23	0.26542779	0.27180332	
470.43	0.26520504	0.27198573	
470.63	0.26500948	0.27216784	
470.83	0.26506506	0.27234967	
471.03	0.26523588	0.27253123	
471.23	0.26551308	0.27271253	
471.43	0.2659301	0.27289358	
471.63	0.26574513	0.27307439	
471.83	0.26575037	0.27325496	
472.03	0.26627685	0.2734353	
472.23	0.2666956	0.27361543	
472.43	0.26745254	0.27379534	
472.63	0.26796257	0.27397505	
472.83	0.26886274	0.27415455	
473.03	0.26943023	0.27433386	
473.23	0.26969741	0.27451297	
473.43	0.26961631	0.2746919	
473.63	0.26994212	0.27487064	
473.83	0.27031341	0.2750492	
474.03	0.27020893	0.27522758	
474.23	0.26993885	0.27540578	
474.43	0.27009081	0.27558382	
474.63	0.2705236	0.27576168	
474.83	0.27117849	0.27593938	
475.03	0.27112419	0.27611691	
475.23	0.27113423	0.27629427	
475.43	0.2708272	0.27647147	
475.63	0.27059607	0.27664852	
475.83	0.27045364	0.2768254	
476.03	0.27083722	0.27700212	
476.23	0.27121013	0.27717869	
476.43	0.27183511	0.27735511	
476.63	0.27233603	0.27753137	
476.83	0.27298149	0.27770747	
477.03	0.27327777	0.27788342	
477.23	0.2738321	0.27805922	
477.43	0.27382306	0.27823488	
477.63	0.27434486	0.27841038	
477.83	0.27441166	0.27858573	
478.03	0.27389197	0.27876093	
478.23	0.27430217	0.27893598	
478.43	0.27468988	0.27911089	
478.63	0.2746656	0.27928565	
478.83	0.27484769	0.27946026	
479.03	0.27425536	0.27963472	
479.23	0.2736429	0.27980904	
479.43	0.27334466	0.27998322	
479.63	0.27354468	0.28015724	
479.83	0.27386966	0.28033113	
480.03	0.27456134	0.28050487	
480.23	0.27502175	0.28067846	
480.43	0.27580876	0.28085191	
480.63	0.27608708	0.28102522	
480.83	0.27619394	0.28119838	
481.03	0.27677195	0.2813714	
481.23	0.27710916	0.28154428	
481.43	0.2769045	0.28171702	
481.63	0.27736223	0.28188961	
481.83	0.27777189	0.28206206	
482.03	0.27769489	0.28223437	
482.23	0.27820945	0.28240653	
482.43	0.27814862	0.28257856	
482.63	0.27822364	0.28275044	
482.83	0.27844033	0.28292218	
483.03	0.27843568	0.28309378	
483.23	0.27825905	0.28326524	
483.43	0.27853911	0.28343656	
483.63	0.27954524	0.28360774	
483.83	0.28009749	0.28377877	
484.03	0.2807989	0.28394967	
484.23	0.28103594	0.28412043	
484.43	0.2814408	0.28429104	
484.63	0.28146484	0.28446152	
484.83	0.28132193	0.28463186	
485.03	0.28198778	0.28480205	
485.23	0.28197002	0.28497211	
485.43	0.28211991	0.28514203	
485.63	0.28226873	0.28531181	
485.83	0.28185978	0.28548144	
486.03	0.28148921	0.28565094	
486.23	0.28161001	0.28582031	
486.43	0.28203006	0.28598953	
486.63	0.28194846	0.28615861	
486.83	0.28187635	0.28632756	
487.03	0.28156043	0.28649636	
487.23	0.28143956	0.28666503	
487.43	0.28171191	0.28683356	
487.63	0.28245456	0.28700195	
487.83	0.28248027	0.28717021	
488.03	0.28267062	0.28733832	
488.23	0.28313007	0.2875063	
488.43	0.2836089	0.28767414	
488.63	0.28378671	0.28784185	
488.83	0.28351769	0.28800941	
489.03	0.28360634	0.28817684	
489.23	0.28358163	0.28834413	
489.43	0.28360591	0.28851129	
489.63	0.28379715	0.2886783	
489.83	0.28357018	0.28884518	
490.03	0.28384912	0.28901193	
490.23	0.28402732	0.28917854	
490.43	0.28472116	0.28934501	
490.63	0.28486271	0.28951134	
490.83	0.28573667	0.28967754	
491.03	0.28598725	0.2898436	
491.23	0.28663102	0.29000953	
491.43	0.28767088	0.29017532	
491.63	0.28792171	0.29034097	
491.83	0.28835802	0.29050649	
492.03	0.28841126	0.29067188	
492.23	0.28869435	0.29083713	
492.43	0.28888201	0.29100224	
492.63	0.28866981	0.29116722	
492.83	0.28887496	0.29133206	
493.03	0.28891695	0.29149677	
493.23	0.28904791	0.29166134	
493.43	0.2891079	0.29182578	
493.63	0.289049	0.29199008	
493.83	0.28854755	0.29215425	
494.03	0.2886552	0.29231828	
494.23	0.28877149	0.29248218	
494.43	0.28905116	0.29264595	
494.63	0.28916438	0.29280958	
494.83	0.28979069	0.29297308	
495.03	0.28970795	0.29313644	
495.23	0.28959236	0.29329967	
495.43	0.28980298	0.29346276	
495.63	0.28884667	0.29362573	
495.83	0.28874484	0.29378856	
496.03	0.28776082	0.29395125	
496.23	0.28740838	0.29411381	
496.43	0.28736777	0.29427624	
496.63	0.28730442	0.29443854	
496.83	0.28797014	0.2946007	
497.03	0.2881551	0.29476273	
497.23	0.28868512	0.29492463	
497.43	0.28926702	0.2950864	
497.63	0.28977606	0.29524803	
497.83	0.29037436	0.29540953	
498.03	0.29094822	0.2955709	
498.23	0.29123824	0.29573214	
498.43	0.29140478	0.29589324	
498.63	0.29185447	0.29605421	
498.83	0.29215942	0.29621505	
499.03	0.2925316	0.29637576	
499.23	0.2922412	0.29653634	
499.43	0.29229885	0.29669678	
499.63	0.29163069	0.2968571	
499.83	0.29167306	0.29701728	
500.03	0.29087685	0.29717733	
500.23	0.29084796	0.29733725	
500.43	0.29137795	0.29749704	
500.63	0.29157526	0.2976567	
500.83	0.29247498	0.29781623	
501.03	0.29277833	0.29797563	
501.23	0.29364649	0.29813489	
501.43	0.29427602	0.29829403	
501.63	0.29491698	0.29845303	
501.83	0.29534063	0.29861191	
502.03	0.29584979	0.29877066	
502.23	0.29567698	0.29892927	
502.43	0.29577897	0.29908776	
502.63	0.29620884	0.29924611	
502.83	0.29619975	0.29940434	
503.03	0.29674151	0.29956244	
503.23	0.29623515	0.2997204	
503.43	0.29676705	0.29987824	
503.63	0.29678729	0.30003595	
503.83	0.2972999	0.30019353	
504.03	0.29709918	0.30035098	
504.23	0.29699728	0.3005083	
504.43	0.29694267	0.3006655	
504.63	0.29684312	0.30082256	
504.83	0.29767343	0.3009795	
505.03	0.29816481	0.3011363	
505.23	0.29872744	0.30129298	
505.43	0.29872319	0.30144953	
505.63	0.29881565	0.30160595	
505.83	0.29896275	0.30176225	
506.03	0.29865847	0.30191841	
506.23	0.29853041	0.30207445	
506.43	0.29942799	0.30223036	
506.63	0.29968942	0.30238614	
506.83	0.29943991	0.3025418	
507.03	0.2998773	0.30269733	
507.23	0.29939079	0.30285273	
507.43	0.30013466	0.303008	
507.63	0.30036857	0.30316314	
507.83	0.30025526	0.30331816	
508.03	0.30004112	0.30347305	
508.23	0.29936571	0.30362782	
508.43	0.29974714	0.30378246	
508.63	0.29996294	0.30393697	
508.83	0.29990063	0.30409135	
509.03	0.30015177	0.30424561	
509.23	0.30042854	0.30439975	
509.43	0.30039403	0.30455375	
509.63	0.30074057	0.30470763	
509.83	0.30125889	0.30486138	
510.03	0.30129329	0.30501501	
510.23	0.3017206	0.30516852	
510.43	0.30209155	0.30532189	
510.63	0.30150545	0.30547514	
510.83	0.30170251	0.30562827	
511.03	0.30189832	0.30578127	
511.23	0.3019982	0.30593414	
511.43	0.30265603	0.30608689	
511.63	0.30300702	0.30623952	
511.83	0.30287191	0.30639202	
512.03	0.30338674	0.30654439	
512.23	0.30319062	0.30669664	
512.43	0.30381872	0.30684876	
512.63	0.30348763	0.30700077	
