Conc1	1E-06	
Start1	450.05	
Stop1	2549.85	
Kobs	0.493360676086967	
Error Kobs	0.0185312789844304	
Koff	0.0042004510851731	
Error Koff	2.84473623513557E-05	
Time1	Data1	Fit1	
450.05	0.04915247	0.04915247	
450.25	0.06316378	0.06865193	
450.45	0.07888754	0.08634036	
450.65	0.09550665	0.10238791	
450.85	0.11265442	0.11694874	
451.05	0.13012695	0.13016251	
451.25	0.14684236	0.14215578	
451.45	0.1626026	0.15304321	
451.65	0.17678638	0.16292867	
451.85	0.18866195	0.17190631	
452.05	0.19784265	0.18006139	
452.25	0.20366687	0.18747118	
452.45	0.20855992	0.19420569	
452.65	0.21183112	0.20032836	
452.85	0.2150051	0.20589664	
453.05	0.21784153	0.21096262	
453.25	0.21989492	0.21557346	
453.45	0.22176972	0.21977191	
453.65	0.22405059	0.22359671	
453.85	0.22532273	0.22708293	
454.05	0.22669529	0.23026238	
454.25	0.22840758	0.23316386	
454.45	0.22996943	0.23581346	
454.65	0.23111005	0.23823483	
454.85	0.23225943	0.2404494	
455.05	0.233523	0.24247658	
455.25	0.23437859	0.24433396	
455.45	0.23555604	0.24603747	
455.65	0.23678996	0.24760155	
455.85	0.23778032	0.24903928	
456.05	0.23913624	0.25036251	
456.25	0.23972255	0.25158198	
456.45	0.24042641	0.25270743	
456.65	0.2412533	0.25374766	
456.85	0.24232192	0.25471067	
457.05	0.24286555	0.25560369	
457.25	0.24327994	0.25643327	
457.45	0.24412281	0.25720537	
457.65	0.24514826	0.25792535	
457.85	0.24556695	0.25859811	
458.05	0.24646513	0.25922805	
458.25	0.24725636	0.25981918	
458.45	0.24754502	0.26037512	
458.65	0.2472191	0.26089917	
458.85	0.24765248	0.26139431	
459.05	0.24825818	0.26186322	
459.25	0.24867536	0.26230835	
459.45	0.24918865	0.26273192	
459.65	0.24983842	0.26313594	
459.85	0.25005881	0.26352222	
460.05	0.25073292	0.26389242	
460.25	0.25073898	0.26424801	
460.45	0.25111377	0.26459036	
460.65	0.25178361	0.2649207	
460.85	0.25218473	0.26524012	
461.05	0.25276822	0.26554964	
461.25	0.25388926	0.26585017	
461.45	0.25496974	0.26614254	
461.65	0.25574673	0.26642748	
461.85	0.2564305	0.26670569	
462.05	0.25735847	0.26697777	
462.25	0.25757854	0.26724429	
462.45	0.25767865	0.26750573	
462.65	0.25821881	0.26776258	
462.85	0.2588953	0.26801522	
