Conc1	1E-09	
Start1	450.03	
Stop1	2549.84	
Kobs	0.00424999786679549	
Error Kobs	0.000238766370369059	
Koff	0.00330694539400073	
Error Koff	7.11451181041837E-05	
Time1	Data1	Fit1	
450.03	-0.00093559	-0.00093559	
450.23	-0.00101193	-0.00090859	
450.43	-0.00117172	-0.00088162	
450.63	-0.00157116	-0.00085468	
450.83	-0.00168451	-0.00082775	
451.03	-0.00224874	-0.00080085	
451.23	-0.00279195	-0.00077397	
451.43	-0.00310323	-0.00074711	
451.63	-0.00283009	-0.00072028	
451.83	-0.00254181	-0.00069346	
452.03	-0.00230408	-0.00066667	
452.23	-0.00197957	-0.0006399	
452.43	-0.00113923	-0.00061315	
452.63	-0.00067058	-0.00058643	
452.83	0.0000274	-0.00055972	
453.03	0.00015796	-0.00053304	
453.23	-0.00048139	-0.00050638	
453.43	-0.00095115	-0.00047974	
453.63	-0.00105731	-0.00045313	
453.83	-0.00105509	-0.00042653	
454.03	-0.00162682	-0.00039996	
454.23	-0.00164764	-0.00037341	
454.43	-0.00193878	-0.00034688	
454.63	-0.00213907	-0.00032037	
454.83	-0.00240207	-0.00029389	
455.03	-0.00300251	-0.00026743	
455.23	-0.00325042	-0.00024098	
455.43	-0.00303242	-0.00021456	
455.63	-0.00258961	-0.00018817	
455.83	-0.00245291	-0.00016179	
456.03	-0.00205203	-0.00013544	
456.23	-0.00174757	-0.0001091	
456.43	-0.00161527	-0.00008279	
456.63	-0.00162332	-0.0000565	
456.83	-0.00142679	-0.00003023	
457.03	-0.00206058	-0.00000399	
457.23	-0.00259875	0.00002224	
457.43	-0.00237665	0.00004844	
457.63	-0.00196367	0.00007462	
457.83	-0.00203728	0.00010078	
458.03	-0.00237193	0.00012692	
458.23	-0.00221179	0.00015304	
458.43	-0.00170963	0.00017913	
458.63	-0.00143749	0.00020521	
458.83	-0.00165942	0.00023126	
459.03	-0.00165741	0.00025729	
459.23	-0.00184595	0.0002833	
459.43	-0.00178169	0.00030929	
459.63	-0.00159948	0.00033526	
459.83	-0.00143445	0.0003612	
460.03	-0.00130184	0.00038713	
460.23	-0.00128447	0.00041303	
460.43	-0.00161957	0.00043891	
460.63	-0.00149357	0.00046477	
460.83	-0.00110228	0.00049061	
461.03	-0.00142742	0.00051643	
461.23	-0.00186972	0.00054223	
461.43	-0.00139589	0.000568	
461.63	-0.00105053	0.00059376	
461.83	-0.00127054	0.00061949	
462.03	-0.00152597	0.0006452	
462.23	-0.00148012	0.00067089	
462.43	-0.00130264	0.00069656	
462.63	-0.00129719	0.00072221	
462.83	-0.00108421	0.00074784	
463.03	-0.00145748	0.00077345	
463.23	-0.00159304	0.00079903	
463.43	-0.00180272	0.0008246	
463.63	-0.00138948	0.00085014	
463.83	-0.00121862	0.00087566	
464.03	-0.00100464	0.00090116	
464.23	-0.00064402	0.00092664	
464.43	-0.00090928	0.0009521	
464.63	-0.00076123	0.00097754	
464.83	-0.00069871	0.00100296	
465.03	-0.00066946	0.00102836	
465.23	-0.00082537	0.00105373	
465.43	-0.00040711	0.00107909	
465.63	-0.00056646	0.00110442	
465.83	-0.00073692	0.00112974	
466.03	-0.00044911	0.00115503	
466.23	-0.0002967	0.0011803	
466.43	-0.00026685	0.00120555	
466.63	-0.00005737	0.00123078	
466.83	-0.00009949	0.00125599	
467.03	-0.00066876	0.00128118	
467.23	-0.00074293	0.00130635	
467.43	-0.00040962	0.0013315	
467.63	0.00037501	0.00135663	
467.83	-0.00012936	0.00138173	
468.03	-0.00003793	0.00140682	
468.23	-0.00014107	0.00143188	
468.43	-0.00057464	0.00145693	
468.63	-0.00067754	0.00148195	
468.83	-0.00024491	0.00150696	
469.03	0.00047759	0.00153194	
469.23	0.00001872	0.0015569	
469.43	-0.00032511	0.00158184	
469.63	-0.00022008	0.00160677	
469.83	-0.0000249	0.00163167	
470.03	0.00006636	0.00165655	
470.23	-0.00018543	0.00168141	
470.43	-0.00025315	0.00170625	
470.63	-0.0000102	0.00173107	
470.83	0.00039234	0.00175587	
471.03	0.00061158	0.00178065	
471.23	0.00118018	0.0018054	
471.43	0.00154112	0.00183014	
471.63	0.0017353	0.00185486	
471.83	0.00143476	0.00187956	
472.03	0.00174288	0.00190423	
472.23	0.00152885	0.00192889	
472.43	0.00157588	0.00195353	
472.63	0.00161062	0.00197814	
472.83	0.00153745	0.00200274	
473.03	0.00156626	0.00202732	
473.23	0.00134013	0.00205187	
473.43	0.00113982	0.00207641	
473.63	0.00104512	0.00210092	
473.83	0.00079168	0.00212542	
474.03	0.00072335	0.0021499	
474.23	0.00058415	0.00217435	
474.43	0.00065127	0.00219879	
474.63	0.00085801	0.0022232	
474.83	0.00101658	0.0022476	
475.03	0.00057324	0.00227197	
475.23	0.00032375	0.00229633	
475.43	-0.00021562	0.00232066	
475.63	-0.00037348	0.00234498	
475.83	-0.00068327	0.00236927	
476.03	-0.00059641	0.00239355	
476.23	-0.0000835	0.0024178	
476.43	0.0002942	0.00244204	
476.63	0.00076305	0.00246625	
476.83	0.00113428	0.00249045	
477.03	0.00175267	0.00251463	
477.23	0.00207443	0.00253878	
477.43	0.00208777	0.00256292	
477.63	0.00211387	0.00258704	
477.83	0.00206339	0.00261113	
478.03	0.00235387	0.00263521	
478.23	0.0021028	0.00265927	
478.43	0.0018499	0.0026833	
