Conc1	2.5E-07	
Start1	450.03	
Stop1	2549.84	
Kobs	0.274215631591234	
Error Kobs	0.00343146478888905	
Koff	0.0033192808875656	
Error Koff	NaN	
Time1	Data1	Fit1	
450.03	0.01147588	0.01147588	
450.23	0.01639346	0.02058235	
450.43	0.0218601	0.02921002	
450.63	0.0283713	0.03738443	
450.83	0.0356128	0.04512978	
451.03	0.04324546	0.05246895	
451.23	0.05093932	0.05942362	
451.43	0.05931002	0.06601431	
451.63	0.06736922	0.07226044	
451.83	0.0752534	0.07818039	
452.03	0.08259491	0.08379156	
452.23	0.08876212	0.08911044	
452.43	0.09488136	0.09415262	
452.63	0.10056509	0.09893285	
452.83	0.10609241	0.10346513	
453.03	0.11168425	0.10776267	
453.23	0.11689015	0.111838	
453.43	0.12098742	0.11570298	
453.63	0.12434295	0.11936882	
453.83	0.12764742	0.12284616	
454.03	0.1307126	0.12614505	
454.23	0.13417287	0.12927501	
454.43	0.13684093	0.13224505	
454.63	0.13922539	0.13506371	
454.83	0.14147787	0.13773906	
455.03	0.14338874	0.14027874	
455.23	0.14541263	0.14268999	
455.43	0.1473075	0.14497966	
455.63	0.1485844	0.14715424	
455.83	0.1502531	0.14921987	
456.03	0.15183705	0.15118236	
456.23	0.15295157	0.1530472	
456.43	0.15461877	0.15481962	
456.63	0.15624898	0.15650453	
456.83	0.15790555	0.1581066	
457.03	0.15936932	0.15963026	
457.23	0.16064536	0.16107968	
457.43	0.16153426	0.16245882	
457.63	0.16260928	0.16377143	
457.83	0.16389072	0.16502106	
458.03	0.1650931	0.16621106	
458.23	0.16625934	0.16734462	
458.43	0.16713936	0.16842474	
458.63	0.16817674	0.16945428	
458.83	0.16935363	0.17043592	
459.03	0.17022697	0.17137223	
459.23	0.17079022	0.17226561	
459.43	0.1711292	0.17311836	
459.63	0.17204038	0.17393264	
459.83	0.17297975	0.17471051	
460.03	0.17352166	0.17545389	
460.23	0.17397357	0.17616464	
460.43	0.17447849	0.17684448	
460.63	0.17447156	0.17749507	
460.83	0.17490657	0.17811796	
461.03	0.17543755	0.17871463	
461.23	0.1759765	0.17928648	
461.43	0.17644708	0.17983482	
461.63	0.1776906	0.1803609	
461.83	0.17832946	0.18086592	
462.03	0.17944081	0.181351	
462.23	0.18052023	0.18181718	
462.43	0.18132039	0.18226549	
462.63	0.18235336	0.18269687	
462.83	0.18273061	0.18311223	
463.03	0.18265865	0.1835124	
463.23	0.18288981	0.18389821	
463.43	0.18308675	0.18427041	
463.63	0.18406064	0.18462973	
463.83	0.18351376	0.18497685	
464.03	0.1836212	0.18531243	
464.23	0.18315049	0.18563707	
464.43	0.18240176	0.18595135	
464.63	0.18196548	0.18625583	
464.83	0.18229616	0.18655102	
465.03	0.1825798	0.18683742	
465.23	0.18328998	0.18711549	
465.43	0.18398614	0.18738568	
465.63	0.18515299	0.1876484	
465.83	0.18565388	0.18790405	
466.03	0.18645299	0.18815301	
466.23	0.18716945	0.18839562	
466.43	0.18773725	0.18863222	
466.63	0.18879936	0.18886314	
466.83	0.18938534	0.18908867	
467.03	0.18954994	0.18930909	
467.23	0.19032866	0.18952468	
467.43	0.19100024	0.18973569	
467.63	0.19145813	0.18994236	
467.83	0.19114389	0.19014493	
468.03	0.19121701	0.1903436	
468.23	0.19054088	0.19053858	
468.43	0.19043701	0.19073007	
468.63	0.19062953	0.19091824	
468.83	0.19075695	0.19110329	
469.03	0.19082516	0.19128536	
469.23	0.19112893	0.19146461	
469.43	0.19099604	0.19164119	
469.63	0.19105532	0.19181525	
469.83	0.19121244	0.1919869	
470.03	0.19149055	0.19215629	
470.23	0.19214797	0.19232352	
470.43	0.19300073	0.19248871	
470.63	0.19373256	0.19265196	
470.83	0.19441063	0.19281338	
471.03	0.19428334	0.19297306	
471.23	0.19480938	0.19313108	
471.43	0.19534275	0.19328754	
471.63	0.1953944	0.19344252	
471.83	0.19573534	0.19359609	
472.03	0.19597665	0.19374833	
472.23	0.19602714	0.19389929	
472.43	0.19620483	0.19404906	
472.63	0.19646614	0.19419768	
472.83	0.19616002	0.19434522	
473.03	0.19594057	0.19449173	
473.23	0.19588	0.19463726	
473.43	0.19518302	0.19478187	
473.63	0.19506555	0.1949256	
473.83	0.19507787	0.19506849	
474.03	0.19536589	0.19521058	
474.23	0.19548662	0.19535193	
474.43	0.1958355	0.19549255	
474.63	0.19613916	0.19563249	
474.83	0.1968797	0.19577178	
475.03	0.19705154	0.19591046	
475.23	0.198044	0.19604855	
475.43	0.19891668	0.19618608	
475.63	0.1993393	0.19632308	
475.83	0.19952947	0.19645957	
476.03	0.20015357	0.19659558	
476.23	0.20025543	0.19673114	
476.43	0.20052518	0.19686625	
476.63	0.2008318	0.19700095	
476.83	0.20055666	0.19713525	
477.03	0.20041522	0.19726918	
477.23	0.20035193	0.19740274	
477.43	0.19938708	0.19753595	
477.63	0.19965725	0.19766884	
477.83	0.19972696	0.19780141	
478.03	0.19981939	0.19793368	
478.23	0.20025816	0.19806567	
478.43	0.20030858	0.19819738	
478.63	0.2004205	0.19832882	
478.83	0.20087947	0.19846001	
479.03	0.20080348	0.19859097	
479.23	0.20070161	0.19872169	
479.43	0.20055732	0.19885218	
479.63	0.2002696	0.19898247	
479.83	0.20040198	0.19911255	
480.03	0.2007335	0.19924244	
480.23	0.20080558	0.19937213	
480.43	0.20093574	0.19950165	
480.63	0.20097015	0.19963099	
480.83	0.20125225	0.19976016	
481.03	0.20193185	0.19988917	
481.23	0.20202541	0.20001803	
481.43	0.20243486	0.20014673	
481.63	0.20302515	0.20027529	
481.83	0.20320927	0.20040371	
482.03	0.20346189	0.20053199	
482.23	0.2040226	0.20066015	
482.43	0.20358875	0.20078817	
482.63	0.20344702	0.20091607	
482.83	0.20372892	0.20104386	
483.03	0.20352389	0.20117152	
483.23	0.20353715	0.20129908	
483.43	0.20365104	0.20142652	
483.63	0.20385202	0.20155386	
483.83	0.2044879	0.2016811	
484.03	0.20463777	0.20180823	
484.23	0.20499806	0.20193527	
484.43	0.20567102	0.20206221	
484.63	0.20573287	0.20218906	
484.83	0.20613458	0.20231582	
485.03	0.20657089	0.20244249	
485.23	0.20678384	0.20256907	
485.43	0.20706286	0.20269556	
485.63	0.20678928	0.20282198	
485.83	0.20700134	0.20294831	
486.03	0.20749294	0.20307456	
486.23	0.20751537	0.20320073	
486.43	0.20745635	0.20332682	
486.63	0.20777538	0.20345284	
486.83	0.20827746	0.20357878	
487.03	0.20866185	0.20370466	
487.23	0.20938937	0.20383045	
487.43	0.20962252	0.20395618	
487.63	0.2101498	0.20408184	
487.83	0.21067806	0.20420742	
488.03	0.21045108	0.20433294	
488.23	0.21042641	0.20445839	
488.43	0.21054086	0.20458378	
488.63	0.21033481	0.2047091	
488.83	0.21022209	0.20483435	
489.03	0.21047539	0.20495954	
489.23	0.21009664	0.20508467	
489.43	0.21004325	0.20520973	
489.63	0.20999109	0.20533473	
489.83	0.21027023	0.20545966	
490.03	0.21006291	0.20558454	
490.23	0.20964805	0.20570936	
490.43	0.20987823	0.20583411	
490.63	0.20994884	0.20595881	
490.83	0.21042946	0.20608344	
491.03	0.21068359	0.20620802	
491.23	0.21097432	0.20633254	
491.43	0.21094645	0.206457	
491.63	0.21064165	0.2065814	
491.83	0.21090705	0.20670574	
492.03	0.21046809	0.20683003	
492.23	0.21075121	0.20695426	
492.43	0.21099532	0.20707843	
492.63	0.21132516	0.20720255	
492.83	0.21167027	0.20732661	
493.03	0.21203854	0.20745061	
493.23	0.21220958	0.20757456	
493.43	0.21295422	0.20769845	
493.63	0.21292304	0.20782229	
493.83	0.21354553	0.20794608	
494.03	0.21360147	0.2080698	
494.23	0.21420349	0.20819348	
494.43	0.21455128	0.2083171	
494.63	0.21459508	0.20844066	
494.83	0.21482102	0.20856417	
495.03	0.21470854	0.20868763	
495.23	0.21413766	0.20881103	
495.43	0.21400338	0.20893438	
495.63	0.21363551	0.20905767	
495.83	0.21400343	0.20918092	
496.03	0.21323641	0.2093041	
496.23	0.21354746	0.20942724	
496.43	0.21357402	0.20955032	
496.63	0.213733	0.20967335	
496.83	0.2135946	0.20979633	
497.03	0.21345517	0.20991925	
497.23	0.21353871	0.21004212	
497.43	0.21314627	0.21016494	
497.63	0.21338893	0.21028771	
497.83	0.21366871	0.21041042	
498.03	0.21412974	0.21053308	
498.23	0.21492964	0.21065569	
498.43	0.21502949	0.21077825	
498.63	0.21544854	0.21090075	
498.83	0.21557702	0.2110232	
499.03	0.21570735	0.2111456	
499.23	0.21569152	0.21126795	
499.43	0.21658009	0.21139025	
499.63	0.21672288	0.21151249	
499.83	0.21683904	0.21163468	
500.03	0.21668191	0.21175682	
500.23	0.21689007	0.21187891	
500.43	0.2166152	0.21200095	
500.63	0.21617968	0.21212294	
500.83	0.21576305	0.21224487	
501.03	0.21570782	0.21236676	
501.23	0.21551914	0.21248859	
501.43	0.21499141	0.21261037	
501.63	0.2151844	0.2127321	
501.83	0.21510686	0.21285377	
502.03	0.21595424	0.2129754	
502.23	0.21635209	0.21309698	
502.43	0.21674096	0.2132185	
502.63	0.21700336	0.21333997	
502.83	0.21708573	0.2134614	
503.03	0.21745451	0.21358277	
503.23	0.21790345	0.21370409	
503.43	0.21851106	0.21382535	
503.63	0.21827852	0.21394657	
503.83	0.2186128	0.21406774	
504.03	0.21851719	0.21418886	
504.23	0.21820874	0.21430992	
504.43	0.21800327	0.21443093	
504.63	0.21766156	0.2145519	
504.83	0.21773774	0.21467281	
505.03	0.21780537	0.21479367	
505.23	0.21757829	0.21491448	
505.43	0.217603	0.21503524	
505.63	0.21784828	0.21515595	
505.83	0.21825112	0.21527661	
506.03	0.21896042	0.21539722	
506.23	0.2188907	0.21551778	
506.43	0.21888125	0.21563829	
506.63	0.21861809	0.21575875	
506.83	0.21896794	0.21587915	
507.03	0.21902374	0.21599951	
