Conc1	1E-06	
Start1	450	
Stop1	2549.81	
Kobs	0.00463733311508266	
Error Kobs	4.54342610748843E-05	
Koff	0.0487067899211228	
Error Koff	0.001197500437257	
Time1	Data1	Fit1	
450	0.03153023	0.03153023	
450.2	0.04625699	0.04598814	
450.4	0.06257371	0.05960469	
450.6	0.07979242	0.07242964	
450.8	0.09774643	0.08450986	
451	0.11542061	0.0958894	
451.2	0.13259371	0.10660973	
451.4	0.14868248	0.11670986	
451.6	0.16317574	0.12622649	
451.8	0.17543638	0.13519414	
452	0.18487904	0.14364529	
452.2	0.19117891	0.1516105	
452.4	0.19594888	0.15911853	
452.6	0.19978128	0.16619643	
452.8	0.20324905	0.17286963	
453	0.20588658	0.17916208	
453.2	0.20861632	0.18509632	
453.4	0.21076166	0.19069352	
453.6	0.21330662	0.19597362	
453.8	0.21534673	0.20095539	
454	0.21753463	0.20565647	
454.2	0.2195545	0.21009345	
454.4	0.2211432	0.21428196	
454.6	0.22270284	0.2182367	
454.8	0.22388405	0.22197148	
455	0.2249063	0.22549932	
455.2	0.22595231	0.22883245	
455.4	0.22680472	0.23198239	
455.6	0.2277703	0.23495996	
455.8	0.22915424	0.23777535	
456	0.23032212	0.24043815	
456.2	0.2318603	0.24295739	
456.4	0.23303842	0.24534154	
456.6	0.23403155	0.24759858	
456.8	0.23499999	0.24973604	
457	0.23593075	0.25176097	
457.2	0.236629	0.25368002	
457.4	0.23721059	0.25549946	
457.6	0.23837548	0.25722515	
457.8	0.23910556	0.25886263	
458	0.24070384	0.26041713	
458.2	0.24156423	0.26189352	
458.4	0.24176117	0.26329644	
458.6	0.24311675	0.2646302	
458.8	0.2435546	0.26589889	
459	0.24466681	0.26710636	
459.2	0.24532617	0.2682562	
459.4	0.24551027	0.26935183	
459.6	0.24636759	0.27039643	
459.8	0.24716527	0.27139302	
460	0.24817952	0.27234441	
460.2	0.24901029	0.27325329	
460.4	0.24947072	0.27412214	
460.6	0.25005723	0.27495333	
460.8	0.25085193	0.27574907	
461	0.25148815	0.27651145	
461.2	0.25199126	0.27724243	
461.4	0.25284922	0.27794385	
461.6	0.25383033	0.27861746	
461.8	0.25470624	0.27926488	
462	0.2558087	0.27988765	
462.2	0.25595423	0.28048723	
462.4	0.25648966	0.28106497	
462.6	0.25732902	0.28162214	
462.8	0.25748074	0.28215996	
463	0.25830004	0.28267956	
463.2	0.25842354	0.28318201	
463.4	0.25881336	0.2836683	
463.6	0.25960806	0.28413938	
463.8	0.26021292	0.28459614	
464	0.26124126	0.28503941	
464.2	0.2614905	0.28546998	
464.4	0.26170981	0.28588859	
464.6	0.26237977	0.28629593	
464.8	0.26269041	0.28669266	
465	0.26268867	0.2870794	
465.2	0.26263913	0.28745672	
465.4	0.26310301	0.28782516	
465.6	0.2632597	0.28818525	
465.8	0.26371421	0.28853746	
466	0.26406917	0.28888224	
466.2	0.26389486	0.28922003	
466.4	0.26394147	0.28955123	
466.6	0.26434985	0.28987621	
466.8	0.26524142	0.29019532	
467	0.26583378	0.29050891	
467.2	0.2659169	0.29081729	
467.4	0.26707435	0.29112076	
467.6	0.26792426	0.29141958	
467.8	0.26877413	0.29171404	
468	0.26943751	0.29200436	
468.2	0.26981646	0.29229078	
468.4	0.27009385	0.29257353	
468.6	0.27042125	0.29285281	
468.8	0.27001031	0.29312881	
469	0.27043734	0.29340171	
469.2	0.27071238	0.29367168	
469.4	0.27133517	0.29393889	
469.6	0.2717904	0.29420348	
469.8	0.27260933	0.2944656	
470	0.27320967	0.29472539	
470.2	0.27348212	0.29498296	
470.4	0.27370911	0.29523844	
470.6	0.27452751	0.29549194	
470.8	0.27466706	0.29574356	
471	0.27474053	0.29599341	
471.2	0.27501576	0.29624157	
471.4	0.27579471	0.29648814	
471.6	0.276297	0.29673319	
471.8	0.27673207	0.29697681	
472	0.27686382	0.29721906	
472.2	0.27717745	0.29746002	
472.4	0.27764506	0.29769974	
472.6	0.2776354	0.2979383	
472.8	0.27784244	0.29817575	
473	0.27881996	0.29841213	
473.2	0.27928261	0.29864751	
473.4	0.27991884	0.29888193	
473.6	0.28010399	0.29911543	
473.8	0.28033494	0.29934805	
474	0.28040997	0.29957985	
474.2	0.2805338	0.29981085	
474.4	0.28055582	0.30004108	
474.6	0.28053051	0.30027059	
474.8	0.28043843	0.3004994	
475	0.28078131	0.30072754	
475.2	0.28093847	0.30095505	
475.4	0.28134238	0.30118194	
475.6	0.2821033	0.30140824	
475.8	0.28247845	0.30163397	
476	0.28238291	0.30185916	
476.2	0.28286724	0.30208382	
476.4	0.28347564	0.30230798	
476.6	0.28335131	0.30253165	
476.8	0.28353175	0.30275485	
477	0.28402962	0.30297759	
477.2	0.28408185	0.3031999	
477.4	0.28447362	0.30342178	
477.6	0.28459306	0.30364325	
477.8	0.2849645	0.30386431	
478	0.28572522	0.304085	
478.2	0.28624214	0.3043053	
478.4	0.28624672	0.30452524	
478.6	0.28662586	0.30474483	
478.8	0.2872756	0.30496407	
479	0.28784896	0.30518297	
479.2	0.28811042	0.30540154	
479.4	0.28834591	0.30561979	
479.6	0.28844036	0.30583772	
479.8	0.28850133	0.30605535	
480	0.28842174	0.30627267	
480.2	0.2885916	0.30648971	
480.4	0.28837343	0.30670645	
480.6	0.28789954	0.30692291	
480.8	0.28812608	0.30713909	
481	0.28858799	0.307355	
481.2	0.28865853	0.30757064	
481.4	0.28893628	0.30778601	
481.6	0.28923585	0.30800113	
481.8	0.2899803	0.30821598	
482	0.29096395	0.30843059	
482.2	0.29121362	0.30864494	
482.4	0.29122102	0.30885905	
482.6	0.29210766	0.30907292	
482.8	0.29274909	0.30928654	
483	0.29329547	0.30949993	
483.2	0.29332529	0.30971308	
483.4	0.29373584	0.309926	
483.6	0.29426919	0.31013869	
483.8	0.29484636	0.31035115	
484	0.29516536	0.31056338	
484.2	0.29523182	0.31077539	
484.4	0.29549499	0.31098718	
484.6	0.29586507	0.31119874	
484.8	0.29610048	0.31141009	
485	0.29621596	0.31162122	
485.2	0.29638687	0.31183214	
485.4	0.29638311	0.31204283	
485.6	0.29690258	0.31225332	
485.8	0.29711354	0.31246359	
486	0.29724402	0.31267366	
486.2	0.2972558	0.31288351	
486.4	0.29725969	0.31309316	
486.6	0.29808584	0.31330259	
486.8	0.29836597	0.31351183	
487	0.29861692	0.31372085	
487.2	0.29904891	0.31392967	
487.4	0.29959468	0.31413829	
487.6	0.2996966	0.3143467	
487.8	0.29994105	0.31455491	
488	0.30031704	0.31476292	
488.2	0.30022655	0.31497073	
488.4	0.30052958	0.31517834	
488.6	0.30082254	0.31538575	
488.8	0.30107837	0.31559296	
489	0.30138954	0.31579997	
489.2	0.3018611	0.31600678	
489.4	0.30190595	0.31621339	
489.6	0.30197703	0.31641981	
489.8	0.30239447	0.31662604	
490	0.30312423	0.31683206	
490.2	0.30385859	0.31703789	
490.4	0.30498591	0.31724353	
490.6	0.30576228	0.31744897	
490.8	0.3059445	0.31765422	
491	0.30633663	0.31785927	
491.2	0.30665852	0.31806413	
491.4	0.30637987	0.3182688	
491.6	0.30622505	0.31847328	
491.8	0.30667071	0.31867756	
492	0.30706951	0.31888165	
492.2	0.30678353	0.31908555	
492.4	0.30665365	0.31928926	
492.6	0.30679327	0.31949277	
492.8	0.30700703	0.3196961	
493	0.30682488	0.31989924	
493.2	0.30693796	0.32010218	
493.4	0.3070196	0.32030494	
493.6	0.30752851	0.3205075	
493.8	0.30868279	0.32070988	
494	0.30923865	0.32091207	
494.2	0.31013228	0.32111407	
494.4	0.31114617	0.32131588	
494.6	0.31130422	0.3215175	
494.8	0.31166329	0.32171894	
495	0.31209556	0.32192018	
495.2	0.31253879	0.32212124	
495.4	0.31257197	0.32232212	
495.6	0.31313764	0.3225228	
495.8	0.31360878	0.3227233	
496	0.31338869	0.32292361	
496.2	0.31287218	0.32312374	
496.4	0.31266638	0.32332368	
496.6	0.31278362	0.32352343	
496.8	0.31295875	0.323723	
497	0.31278471	0.32392238	
497.2	0.31266731	0.32412157	
497.4	0.31303152	0.32432058	
497.6	0.31349886	0.32451941	
497.8	0.31402827	0.32471805	
498	0.31376714	0.32491651	
498.2	0.31458818	0.32511478	
498.4	0.31495974	0.32531287	
498.6	0.3157656	0.32551078	
498.8	0.31658579	0.3257085	
499	0.31687857	0.32590603	
499.2	0.31723506	0.32610339	
499.4	0.31718609	0.32630056	
499.6	0.31735013	0.32649754	
499.8	0.31759517	0.32669435	
500	0.31771469	0.32689097	
500.2	0.31776618	0.32708741	
500.4	0.31826944	0.32728367	
