Conc1	1E-07	
Start1	450	
Stop1	2549.81	
Kobs	0.160990112060992	
Error Kobs	0.00142253357462014	
Koff	0.00279243637515379	
Error Koff	2.00361859180796E-05	
Time1	Data1	Fit1	
450	-0.00214968	-0.00214968	
450.2	0.00034025	0.00264104	
450.4	0.00335073	0.00728189	
450.6	0.00701245	0.01177764	
450.8	0.01081818	0.01613287	
451	0.01469808	0.02035203	
451.2	0.01905613	0.02443944	
451.4	0.02402696	0.02839927	
451.6	0.02855168	0.03223557	
451.8	0.03312579	0.03595224	
452	0.03728671	0.03955308	
452.2	0.04100178	0.04304176	
452.4	0.04513411	0.04642182	
452.6	0.04951203	0.04969672	
452.8	0.05334129	0.05286978	
453	0.05758926	0.05594423	
453.2	0.06153768	0.05892319	
453.4	0.06539446	0.06180969	
453.6	0.06855233	0.06460666	
453.8	0.07200457	0.06731693	
454	0.07520368	0.06994325	
454.2	0.07745306	0.07248828	
454.4	0.08034328	0.0749546	
454.6	0.08249272	0.07734469	
454.8	0.08456198	0.07966098	
455	0.08677298	0.08190581	
455.2	0.08915408	0.08408142	
455.4	0.09146576	0.08619003	
455.6	0.09309244	0.08823375	
455.8	0.09478823	0.09021463	
456	0.09660892	0.09213467	
456.2	0.09816691	0.09399579	
456.4	0.09974833	0.09579987	
456.6	0.10166156	0.0975487	
456.8	0.10329048	0.09924405	
457	0.10510018	0.10088759	
457.2	0.10650243	0.10248098	
457.4	0.10829571	0.1040258	
457.6	0.10990399	0.10552359	
457.8	0.11182713	0.10697584	
458	0.11375239	0.10838399	
458.2	0.11496283	0.10974945	
458.4	0.11606721	0.11107355	
458.6	0.1166776	0.11235762	
458.8	0.11780609	0.11360292	
459	0.11866656	0.11481067	
459.2	0.11936608	0.11598207	
459.4	0.11982254	0.11711827	
459.6	0.12013877	0.11822039	
459.8	0.12041913	0.1192895	
460	0.12076396	0.12032664	
460.2	0.12076687	0.12133284	
460.4	0.12144926	0.12230907	
460.6	0.12199601	0.12325628	
460.8	0.12270834	0.12417538	
461	0.12335531	0.12506728	
461.2	0.12373979	0.12593283	
461.4	0.12517983	0.12677286	
461.6	0.12605928	0.12758819	
461.8	0.12721292	0.12837959	
462	0.12851013	0.12914783	
462.2	0.1289505	0.12989363	
462.4	0.129689	0.13061771	
462.6	0.13042889	0.13132076	
462.8	0.13117444	0.13200344	
463	0.13174406	0.13266639	
463.2	0.13221359	0.13331025	
463.4	0.13236134	0.13393561	
463.6	0.1327806	0.13454306	
463.8	0.13325082	0.13513317	
464	0.13347622	0.13570649	
464.2	0.13420782	0.13626355	
464.4	0.13468107	0.13680486	
464.6	0.13510126	0.13733092	
464.8	0.135478	0.13784222	
465	0.13520999	0.13833922	
465.2	0.13475001	0.13882238	
465.4	0.13550819	0.13929212	
465.6	0.13543237	0.13974889	
465.8	0.13571309	0.14019309	
466	0.13610556	0.14062511	
466.2	0.1364871	0.14104534	
466.4	0.13681955	0.14145416	
466.6	0.13721782	0.14185193	
466.8	0.13753366	0.14223899	
467	0.1377452	0.14261569	
467.2	0.13838768	0.14298235	
467.4	0.1393211	0.14333929	
467.6	0.13974448	0.14368681	
467.8	0.14001459	0.14402523	
468	0.14027388	0.14435481	
468.2	0.14102021	0.14467586	
468.4	0.14091418	0.14498862	
468.6	0.14128293	0.14529337	
468.8	0.14092904	0.14559036	
469	0.14130343	0.14587983	
469.2	0.14159622	0.14616203	
469.4	0.14215038	0.14643718	
469.6	0.14212394	0.1467055	
469.8	0.14237027	0.14696722	
470	0.14259294	0.14722254	
470.2	0.14241523	0.14747165	
470.4	0.14233115	0.14771477	
470.6	0.1423616	0.14795208	
470.8	0.14236381	0.14818376	
471	0.14241761	0.14840998	
471.2	0.14284096	0.14863093	
471.4	0.14301574	0.14884677	
471.6	0.14266623	0.14905766	
471.8	0.14287203	0.14926376	
472	0.14333873	0.14946521	
472.2	0.14354053	0.14966217	
472.4	0.14334523	0.14985478	
472.6	0.14381947	0.15004317	
472.8	0.14417714	0.15022748	
473	0.14566648	0.15040784	
473.2	0.14631732	0.15058436	
473.4	0.14738759	0.15075718	
473.6	0.14858092	0.15092641	
473.8	0.14912045	0.15109216	
474	0.14913402	0.15125455	
474.2	0.1492833	0.15141367	
474.4	0.14979026	0.15156964	
474.6	0.14951296	0.15172255	
474.8	0.1496683	0.15187249	
475	0.14922837	0.15201957	
475.2	0.14889536	0.15216387	
475.4	0.14893494	0.15230548	
475.6	0.14885876	0.15244448	
475.8	0.14831912	0.15258096	
476	0.14818116	0.15271499	
476.2	0.14787889	0.15284666	
476.4	0.14777455	0.15297604	
476.6	0.14778195	0.15310319	
476.8	0.14796919	0.1532282	
477	0.1484793	0.15335112	
477.2	0.14853555	0.15347203	
477.4	0.1492306	0.15359098	
477.6	0.14979366	0.15370804	
477.8	0.14972965	0.15382327	
478	0.14976274	0.15393673	
478.2	0.149921	0.15404846	
478.4	0.14968125	0.15415853	
