Conc1	5E-09	
Start1	450	
Stop1	2549.81	
Kobs	0.0247520060268488	
Error Kobs	0.000162803784506257	
Koff	0.003845352248599	
Error Koff	3.54343596014913E-05	
Time1	Data1	Fit1	
450	-0.00163263	-0.00163263	
450.2	-0.00177918	-0.00121922	
450.4	-0.00170041	-0.0008078	
450.6	-0.00168849	-0.00039835	
450.8	-0.00124512	0.00000914	
451	-0.0011784	0.00041467	
451.2	-0.00076727	0.00081825	
451.4	-0.00053331	0.0012199	
451.6	0.00000228	0.00161963	
451.8	0.00047803	0.00201743	
452	0.0009626	0.00241334	
452.2	0.00145178	0.00280734	
452.4	0.00188091	0.00319945	
452.6	0.00213412	0.00358969	
452.8	0.00301181	0.00397806	
453	0.00315963	0.00436456	
453.2	0.00315546	0.00474922	
453.4	0.00292811	0.00513203	
453.6	0.00321597	0.00551301	
453.8	0.00319487	0.00589216	
454	0.00303781	0.00626951	
454.2	0.00381688	0.00664504	
454.4	0.00464705	0.00701878	
454.6	0.00480118	0.00739073	
454.8	0.00556896	0.0077609	
455	0.0060414	0.00812929	
455.2	0.00682117	0.00849593	
455.4	0.00718657	0.00886081	
455.6	0.00784216	0.00922395	
455.8	0.00829633	0.00958536	
456	0.0086403	0.00994503	
456.2	0.00907911	0.01030299	
456.4	0.00950866	0.01065923	
456.6	0.0099017	0.01101378	
456.8	0.01009589	0.01136663	
457	0.00988639	0.01171779	
457.2	0.00963203	0.01206728	
457.4	0.00926506	0.0124151	
457.6	0.00920458	0.01276125	
457.8	0.00928562	0.01310576	
458	0.00928783	0.01344862	
458.2	0.00989598	0.01378985	
458.4	0.01032306	0.01412945	
458.6	0.01073877	0.01446742	
458.8	0.01180461	0.01480379	
459	0.0121674	0.01513855	
459.2	0.01247095	0.01547171	
459.4	0.0129471	0.01580329	
459.6	0.01377424	0.01613329	
459.8	0.01473914	0.01646171	
460	0.01545899	0.01678857	
460.2	0.01620519	0.01711387	
460.4	0.01653597	0.01743763	
460.6	0.01706829	0.01775984	
460.8	0.01715671	0.01808051	
461	0.01745156	0.01839966	
461.2	0.01731246	0.01871729	
461.4	0.01685278	0.01903341	
461.6	0.01668421	0.01934802	
461.8	0.01675857	0.01966114	
462	0.01679146	0.01997277	
462.2	0.01711098	0.02028292	
462.4	0.01746661	0.02059159	
462.6	0.01730874	0.02089879	
462.8	0.01700389	0.02120453	
463	0.01739043	0.02150882	
463.2	0.0179552	0.02181167	
463.4	0.01884169	0.02211307	
463.6	0.01956287	0.02241305	
463.8	0.02055391	0.02271159	
464	0.02073079	0.02300873	
464.2	0.02106091	0.02330445	
464.4	0.02135098	0.02359876	
464.6	0.02216268	0.02389168	
464.8	0.02170219	0.02418321	
465	0.02211596	0.02447336	
465.2	0.02222249	0.02476213	
465.4	0.02209035	0.02504953	
465.6	0.02270714	0.02533557	
465.8	0.02323348	0.02562025	
466	0.02319593	0.02590359	
466.2	0.02296769	0.02618558	
