Conc1	2.5E-10	
Start1	450	
Stop1	2549.81	
Kobs	0.0712518001523695	
Error Kobs	0.027980327282133	
Koff	0.00401708079102668	
Error Koff	600.581980212397	
Time1	Data1	Fit1	
450	0.00215394	0.00215394	
450.2	0.00256926	0.00221191	
450.4	0.00278773	0.00226944	
450.6	0.0030613	0.00232655	
450.8	0.00337518	0.00238324	
451	0.00389509	0.00243952	
451.2	0.00442339	0.00249539	
451.4	0.00478163	0.00255086	
451.6	0.00500609	0.00260593	
451.8	0.00515857	0.00266061	
452	0.0051944	0.0027149	
452.2	0.00541615	0.00276881	
452.4	0.00569767	0.00282235	
452.6	0.00547729	0.00287551	
452.8	0.00523859	0.0029283	
453	0.00500508	0.00298073	
453.2	0.00471747	0.00303281	
453.4	0.00415639	0.00308453	
453.6	0.00372629	0.0031359	
453.8	0.00329587	0.00318693	
454	0.00346751	0.00323763	
454.2	0.00338168	0.00328798	
454.4	0.00295207	0.00333801	
454.6	0.0028676	0.00338771	
454.8	0.00295234	0.00343708	
455	0.00293977	0.00348614	
455.2	0.00309876	0.00353489	
455.4	0.00289616	0.00358333	
455.6	0.00286518	0.00363146	
455.8	0.00340846	0.00367929	
456	0.00351691	0.00372682	
456.2	0.00372175	0.00377406	
456.4	0.00368592	0.00382101	
456.6	0.00335251	0.00386767	
456.8	0.00336394	0.00391405	
457	0.00397633	0.00396015	
457.2	0.00431556	0.00400597	
457.4	0.00478714	0.00405152	
457.6	0.00497576	0.00409681	
457.8	0.00559554	0.00414182	
458	0.0059632	0.00418658	
458.2	0.00609025	0.00423108	
458.4	0.0059785	0.00427532	
458.6	0.00588474	0.00431931	
458.8	0.00596704	0.00436305	
459	0.00554408	0.00440655	
459.2	0.00559217	0.0044498	
459.4	0.00559506	0.00449281	
459.6	0.00576061	0.00453559	
459.8	0.00536844	0.00457814	
460	0.00485559	0.00462045	
460.2	0.00450378	0.00466253	
460.4	0.00405979	0.0047044	
460.6	0.00388385	0.00474603	
460.8	0.00423208	0.00478745	
461	0.00459611	0.00482866	
461.2	0.00459131	0.00486964	
461.4	0.00508397	0.00491042	
461.6	0.0050852	0.00495099	
461.8	0.00526096	0.00499135	
462	0.00536503	0.00503151	
462.2	0.00529917	0.00507147	
462.4	0.0052891	0.00511123	
462.6	0.00505908	0.00515079	
462.8	0.00487803	0.00519016	
463	0.00507542	0.00522934	
463.2	0.00581073	0.00526833	
463.4	0.0064878	0.00530713	
463.6	0.00644715	0.00534575	
463.8	0.0064781	0.00538419	
464	0.00678335	0.00542245	
464.2	0.00720065	0.00546052	
464.4	0.00727822	0.00549843	
464.6	0.00746921	0.00553616	
464.8	0.00806747	0.00557371	
465	0.00790593	0.0056111	
465.2	0.00766813	0.00564832	
465.4	0.00804288	0.00568538	
465.6	0.00792516	0.00572227	
465.8	0.00788134	0.005759	
466	0.00770303	0.00579557	
466.2	0.00718773	0.00583199	
466.4	0.00678828	0.00586824	
466.6	0.00634317	0.00590435	
466.8	0.0061694	0.0059403	
467	0.00645966	0.0059761	
467.2	0.00662677	0.00601175	
467.4	0.00634317	0.00604726	
467.6	0.0058656	0.00608262	
467.8	0.00604478	0.00611784	
468	0.0055173	0.00615291	
468.2	0.00554853	0.00618785	
468.4	0.00510185	0.00622264	
468.6	0.00497857	0.0062573	
468.8	0.00513768	0.00629183	
469	0.00459775	0.00632622	
469.2	0.00477585	0.00636048	
