Conc1	2E-08	
Start1	450.06	
Stop1	2549.87	
Kobs	0.0539615559449716	
Error Kobs	0.00038673175776994	
Koff	0.0405187631803452	
Error Koff	0.00148626998521928	
Time1	Data1	Fit1	
450.06	0.01124332	0.01124332	
450.26	0.01163487	0.01238904	
450.46	0.01206162	0.01352264	
450.66	0.01290876	0.01464426	
450.86	0.01354835	0.01575403	
451.06	0.01384686	0.01685207	
451.26	0.01476123	0.01793851	
451.46	0.01544679	0.01901347	
451.66	0.01649334	0.02007708	
451.86	0.01729054	0.02112946	
452.06	0.01837892	0.02217073	
452.26	0.01960873	0.02320101	
452.46	0.02049653	0.02422042	
452.66	0.02204073	0.02522906	
452.86	0.02363084	0.02622707	
453.06	0.0246961	0.02721455	
453.26	0.02563411	0.02819162	
453.46	0.02646355	0.02915838	
453.66	0.02755121	0.03011496	
453.86	0.0286807	0.03106145	
454.06	0.02945575	0.03199796	
454.26	0.03107837	0.03292461	
454.46	0.03232694	0.0338415	
454.66	0.03362371	0.03474873	
454.86	0.03424341	0.03564641	
455.06	0.03461397	0.03653464	
455.26	0.03557991	0.03741352	
455.46	0.03624937	0.03828316	
455.66	0.03717441	0.03914364	
455.86	0.0380001	0.03999507	
456.06	0.03894514	0.04083755	
456.26	0.03967382	0.04167117	
456.46	0.04063338	0.04249603	
456.66	0.04210733	0.04331222	
456.86	0.04322787	0.04411984	
457.06	0.04372499	0.04491897	
457.26	0.04415559	0.04570971	
457.46	0.0450227	0.04649214	
457.66	0.04591371	0.04726637	
457.86	0.04734885	0.04803246	
458.06	0.04855621	0.04879052	
458.26	0.0500126	0.04954063	
458.46	0.0509523	0.05028287	
458.66	0.05188106	0.05101733	
458.86	0.05292344	0.0517441	
459.06	0.05348879	0.05246324	
459.26	0.05440915	0.05317485	
459.46	0.05556823	0.05387901	
459.66	0.05659449	0.0545758	
459.86	0.05731249	0.05526529	
460.06	0.05794239	0.05594756	
460.26	0.05860056	0.0566227	
460.46	0.05989218	0.05729078	
460.66	0.06041614	0.05795187	
460.86	0.06081249	0.05860604	
461.06	0.06113114	0.05925339	
461.26	0.0615858	0.05989396	
461.46	0.06221599	0.06052785	
461.66	0.06256186	0.06115512	
461.86	0.06309334	0.06177584	
462.06	0.06335274	0.06239008	
462.26	0.0639388	0.06299792	
462.46	0.06452128	0.06359941	
462.66	0.06553847	0.06419463	
462.86	0.06679384	0.06478365	
463.06	0.06742764	0.06536654	
463.26	0.06831999	0.06594335	
463.46	0.06911559	0.06651415	
463.66	0.06960038	0.06707901	
463.86	0.07036773	0.06763799	
464.06	0.07081096	0.06819116	
464.26	0.07151559	0.06873858	
464.46	0.07227528	0.0692803	
464.66	0.07225767	0.06981639	
464.86	0.07263606	0.07034692	
465.06	0.07297308	0.07087193	
465.26	0.07315253	0.0713915	
465.46	0.0732042	0.07190567	
465.66	0.07298469	0.07241451	
465.86	0.07296385	0.07291807	
466.06	0.07350686	0.07341641	
466.26	0.07422162	0.07390958	
466.46	0.07492106	0.07439765	
466.66	0.07596884	0.07488066	
466.86	0.07681819	0.07535867	
467.06	0.0775909	0.07583174	
467.26	0.07808946	0.07629991	
467.46	0.07899569	0.07676324	
467.66	0.08002018	0.07722178	
467.86	0.08085058	0.07767559	
468.06	0.08142154	0.07812471	
468.26	0.08274477	0.07856919	
468.46	0.08352659	0.07900909	
468.66	0.08415916	0.07944445	
468.86	0.08486363	0.07987532	
469.06	0.08490978	0.08030175	
469.26	0.08512329	0.08072378	
469.46	0.08535234	0.08114148	
469.66	0.0854594	0.08155487	
469.86	0.08534893	0.08196401	
470.06	0.0856664	0.08236894	
470.26	0.08553081	0.08276971	
470.46	0.08586528	0.08316636	
470.66	0.08570736	0.08355894	
470.86	0.08555778	0.08394749	
471.06	0.08625069	0.08433205	
471.26	0.08632256	0.08471267	
471.46	0.08722904	0.08508939	
471.66	0.08762187	0.08546225	
471.86	0.08782563	0.08583129	
472.06	0.08863148	0.08619656	
472.26	0.08912433	0.08655808	
472.46	0.08943871	0.08691592	
472.66	0.08972514	0.08727009	
472.86	0.08999141	0.08762065	
473.06	0.08990885	0.08796763	
473.26	0.09031712	0.08831106	
473.46	0.09086065	0.088651	
473.66	0.09148788	0.08898747	
473.86	0.09181633	0.08932051	
474.06	0.09181469	0.08965017	
474.26	0.09216041	0.08997646	
474.46	0.09287872	0.09029944	
474.66	0.09288079	0.09061914	
474.86	0.09332754	0.09093559	
475.06	0.0944432	0.09124883	
475.26	0.09461718	0.09155889	
475.46	0.09565112	0.0918658	
475.66	0.09598756	0.0921696	
475.86	0.09606303	0.09247033	
476.06	0.09659353	0.09276801	
476.26	0.09671229	0.09306268	
476.46	0.09686158	0.09335438	
476.66	0.09682393	0.09364312	
476.86	0.09712591	0.09392895	
477.06	0.09696115	0.0942119	
477.26	0.09763663	0.09449199	
477.46	0.09791565	0.09476926	
477.66	0.09798619	0.09504374	
477.86	0.09769203	0.09531545	
478.06	0.09769376	0.09558443	
478.26	0.09800653	0.09585071	
478.46	0.09837016	0.09611431	
478.66	0.09808105	0.09637527	
478.86	0.09841665	0.09663361	
479.06	0.0986264	0.09688936	
479.26	0.09870212	0.09714255	
