Conc1	1E-09	
Start1	450.03	
Stop1	2549.84	
Kobs	0.000692566553734019	
Error Kobs	0.000119336511961767	
Koff	0.00755689964582218	
Error Koff	0.00042534084852593	
Time1	Data1	Fit1	
450.03	0.00198382	0.00198382	
450.23	0.00104916	0.00203176	
450.43	0.00039568	0.00207965	
450.63	-0.00002952	0.00212747	
450.83	-0.00017454	0.00217524	
451.03	-0.00023864	0.00222294	
451.23	-0.00032599	0.00227059	
451.43	-0.00019852	0.00231818	
451.63	-0.00038996	0.00236571	
451.83	0.0000207	0.00241319	
452.03	0.00018936	0.0024606	
452.23	0.00050512	0.00250796	
452.43	0.00065858	0.00255526	
452.63	0.00059156	0.0026025	
452.83	0.00061099	0.00264968	
453.03	0.00106305	0.00269681	
453.23	0.0013573	0.00274388	
453.43	0.00114998	0.00279089	
453.63	0.00082589	0.00283784	
453.83	0.00086287	0.00288474	
454.03	0.00080847	0.00293157	
454.23	0.00047546	0.00297835	
454.43	0.0005655	0.00302508	
454.63	0.00089791	0.00307175	
454.83	0.00141353	0.00311835	
455.03	0.00168614	0.00316491	
455.23	0.00148338	0.0032114	
455.43	0.00156353	0.00325784	
455.63	0.00139912	0.00330422	
455.83	0.0013534	0.00335055	
456.03	0.00123017	0.00339682	
456.23	0.00150879	0.00344303	
456.43	0.00147344	0.00348919	
456.63	0.00158478	0.00353529	
456.83	0.00177789	0.00358133	
457.03	0.002105	0.00362732	
457.23	0.00220209	0.00367325	
457.43	0.00233032	0.00371913	
457.63	0.00219852	0.00376495	
457.83	0.00212388	0.00381071	
458.03	0.0017298	0.00385642	
458.23	0.00161885	0.00390207	
458.43	0.00170624	0.00394767	
458.63	0.00196171	0.00399321	
458.83	0.00223541	0.00403869	
459.03	0.0018683	0.00408412	
459.23	0.00158304	0.0041295	
459.43	0.00147828	0.00417482	
459.63	0.00108619	0.00422008	
459.83	0.00076641	0.00426529	
460.03	0.0011073	0.00431045	
460.23	0.00053178	0.00435554	
460.43	-0.00010929	0.00440059	
460.63	0.0002179	0.00444558	
460.83	0.00005778	0.00449051	
461.03	0.00007999	0.00453539	
461.23	0.00035882	0.00458022	
461.43	0.00080377	0.00462499	
461.63	0.0005509	0.00466971	
461.83	0.00093602	0.00471437	
462.03	0.00109818	0.00475898	
462.23	0.0015377	0.00480353	
462.43	0.00173285	0.00484803	
462.63	0.00211371	0.00489248	
462.83	0.00215376	0.00493687	
463.03	0.00267691	0.00498121	
463.23	0.00282588	0.0050255	
463.43	0.00269542	0.00506973	
463.63	0.00249588	0.0051139	
463.83	0.00284283	0.00515803	
464.03	0.00289624	0.0052021	
464.23	0.00268744	0.00524611	
464.43	0.00288474	0.00529008	
464.63	0.00386773	0.00533399	
464.83	0.00385916	0.00537784	
465.03	0.0041664	0.00542165	
465.23	0.00421458	0.0054654	
465.43	0.00410902	0.0055091	
465.63	0.00412538	0.00555274	
465.83	0.00389155	0.00559633	
466.03	0.00409648	0.00563987	
466.23	0.00429772	0.00568336	
466.43	0.0040578	0.00572679	
466.63	0.00429398	0.00577017	
466.83	0.00377132	0.0058135	
467.03	0.00346667	0.00585678	
467.23	0.00297449	0.0059	
467.43	0.00274747	0.00594317	
467.63	0.00247322	0.00598629	
467.83	0.00236363	0.00602936	
468.03	0.00205973	0.00607238	
468.23	0.00185978	0.00611534	
468.43	0.00176733	0.00615825	
468.63	0.00214043	0.00620111	
468.83	0.00197657	0.00624392	
469.03	0.00203614	0.00628667	
469.23	0.00208332	0.00632938	
469.43	0.00201669	0.00637203	
469.63	0.00272411	0.00641463	
469.83	0.00328898	0.00645718	
470.03	0.00448043	0.00649968	
470.23	0.00501175	0.00654213	
470.43	0.00492509	0.00658453	
470.63	0.00470558	0.00662687	
470.83	0.00430936	0.00666917	
471.03	0.00443771	0.00671141	
471.23	0.00475013	0.0067536	
471.43	0.00440809	0.00679575	
471.63	0.00412421	0.00683784	
471.83	0.00369224	0.00687988	
472.03	0.0033545	0.00692187	
472.23	0.00310363	0.00696381	
472.43	0.00310909	0.00700569	
472.63	0.00337714	0.00704753	
472.83	0.00324766	0.00708932	
473.03	0.00296248	0.00713106	
473.23	0.00283461	0.00717275	
473.43	0.00269011	0.00721438	
473.63	0.00332414	0.00725597	
473.83	0.00308179	0.00729751	
474.03	0.00333075	0.007339	
474.23	0.00329938	0.00738043	
474.43	0.00305529	0.00742182	
474.63	0.00340579	0.00746316	
474.83	0.00365639	0.00750445	
475.03	0.0040729	0.00754569	
475.23	0.00417487	0.00758687	
475.43	0.00437598	0.00762801	
475.63	0.00448806	0.00766911	
475.83	0.00476631	0.00771015	
476.03	0.00448704	0.00775114	
476.23	0.00466298	0.00779208	
476.43	0.00491758	0.00783297	
476.63	0.00522241	0.00787382	
476.83	0.00492063	0.00791462	
477.03	0.00516161	0.00795536	
477.23	0.005515	0.00799606	
477.43	0.00583716	0.00803671	
477.63	0.00598696	0.00807731	
477.83	0.00547818	0.00811786	
478.03	0.00556897	0.00815837	
478.23	0.00534666	0.00819882	
478.43	0.00577613	0.00823923	
478.63	0.00616227	0.00827958	
478.83	0.00595581	0.00831989	
479.03	0.00638256	0.00836016	
479.23	0.00641585	0.00840037	
479.43	0.0060526	0.00844054	
479.63	0.00578906	0.00848065	
479.83	0.00544754	0.00852072	
480.03	0.00493613	0.00856074	
480.23	0.00510334	0.00860072	
480.43	0.00499694	0.00864064	
480.63	0.00485204	0.00868052	
480.83	0.00489539	0.00872035	
481.03	0.00483532	0.00876013	
481.23	0.00494615	0.00879987	
481.43	0.00541401	0.00883956	
481.63	0.00543641	0.0088792	
481.83	0.00539055	0.00891879	
482.03	0.00532551	0.00895834	
482.23	0.00577566	0.00899784	
482.43	0.00628383	0.00903729	
482.63	0.0065339	0.0090767	
482.83	0.006493	0.00911605	
483.03	0.00649431	0.00915536	
483.23	0.00631428	0.00919463	
483.43	0.00572015	0.00923385	
483.63	0.00534547	0.00927302	
483.83	0.00570371	0.00931214	
484.03	0.0058716	0.00935122	
484.23	0.00541337	0.00939025	
484.43	0.00462334	0.00942923	
484.63	0.00481724	0.00946817	
484.83	0.00495041	0.00950706	
485.03	0.00500274	0.00954591	
485.23	0.00573886	0.00958471	
485.43	0.00634924	0.00962346	
485.63	0.0064835	0.00966217	
485.83	0.00715365	0.00970083	
486.03	0.0075425	0.00973945	
486.23	0.0085626	0.00977802	
486.43	0.00883697	0.00981654	
486.63	0.00881108	0.00985502	
486.83	0.00866134	0.00989345	
487.03	0.00887123	0.00993184	
487.23	0.00888786	0.00997018	
487.43	0.00877394	0.01000847	
487.63	0.00852934	0.01004672	
487.83	0.00894842	0.01008493	
488.03	0.00844148	0.01012309	
488.23	0.00786122	0.0101612	
488.43	0.00793502	0.01019927	
488.63	0.00841737	0.01023729	
488.83	0.00827645	0.01027527	
489.03	0.00858055	0.01031321	
489.23	0.00884463	0.0103511	
489.43	0.0090121	0.01038894	
489.63	0.00909101	0.01042674	
489.83	0.00956454	0.01046449	
490.03	0.00969483	0.0105022	
490.23	0.0097405	0.01053987	
490.43	0.00912106	0.01057749	
490.63	0.00859367	0.01061506	
490.83	0.00856347	0.0106526	
491.03	0.00871007	0.01069008	
491.23	0.0081929	0.01072753	
491.43	0.00832606	0.01076493	
491.63	0.00847319	0.01080228	
491.83	0.00862937	0.01083959	
492.03	0.00857598	0.01087686	
492.23	0.00891412	0.01091408	
492.43	0.00939323	0.01095126	
492.63	0.00941372	0.01098839	
492.83	0.00973013	0.01102548	
493.03	0.01025602	0.01106253	
493.23	0.01008813	0.01109953	
493.43	0.01027628	0.01113649	
493.63	0.01011901	0.01117341	
493.83	0.01018235	0.01121028	
494.03	0.00988307	0.01124711	
494.23	0.00958056	0.01128389	
494.43	0.00947916	0.01132064	
494.63	0.0095247	0.01135734	
494.83	0.00965371	0.01139399	
495.03	0.00954857	0.0114306	
495.23	0.00969369	0.01146717	
495.43	0.01003455	0.0115037	
495.63	0.00970474	0.01154018	
495.83	0.00955453	0.01157662	
496.03	0.00957432	0.01161302	
496.23	0.0099551	0.01164938	
496.43	0.01014343	0.01168569	
