Conc1	1.2E-05	
Start1	450.03	
Stop1	2549.84	
Kobs	0.124457705826567	
Error Kobs	0.00154413553866316	
Koff	0.0153566519558418	
Error Koff	0.000138773881063883	
Time1	Data1	Fit1	
450.03	0.22626329	0.22626329	
450.23	0.24231518	0.23400442	
450.43	0.25928201	0.24155753	
450.63	0.27667856	0.24892723	
450.83	0.29369897	0.25611804	
451.03	0.31016834	0.26313434	
451.23	0.32513311	0.26998044	
451.43	0.33852176	0.2766605	
451.63	0.35000661	0.28317862	
451.83	0.35800032	0.28953878	
452.03	0.36236014	0.29574485	
452.23	0.3629441	0.30180063	
452.43	0.36565787	0.30770981	
452.63	0.36844687	0.31347598	
452.83	0.37153499	0.31910268	
453.03	0.37471442	0.32459332	
453.23	0.37779812	0.32995125	
453.43	0.38128785	0.33517973	
453.63	0.38399907	0.34028195	
453.83	0.38658058	0.345261	
454.03	0.38969212	0.35011991	
454.23	0.39251806	0.35486164	
454.43	0.395426	0.35948907	
454.63	0.39804403	0.364005	
454.83	0.40059261	0.36841218	
455.03	0.40348844	0.37271328	
455.23	0.40579376	0.3769109	
455.43	0.40845609	0.3810076	
455.63	0.41111155	0.38500584	
455.83	0.41305605	0.38890805	
456.03	0.41531631	0.39271659	
456.23	0.41825874	0.39643377	
456.43	0.42048767	0.40006182	
456.63	0.42259825	0.40360294	
456.83	0.4248333	0.40705926	
457.03	0.42667676	0.41043287	
457.23	0.42876795	0.4137258	
457.43	0.43079824	0.41694004	
457.63	0.43226691	0.42007751	
457.83	0.43429619	0.4231401	
458.03	0.43630687	0.42612966	
458.23	0.43758077	0.42904798	
458.43	0.43888772	0.43189681	
458.63	0.44038854	0.43467785	
458.83	0.44203413	0.43739278	
459.03	0.4438405	0.44004321	
459.23	0.44532384	0.44263074	
459.43	0.44708633	0.4451569	
459.63	0.44895055	0.44762321	
459.83	0.45028973	0.45003114	
460.03	0.45187674	0.45238212	
460.23	0.45339524	0.45467754	
460.43	0.45462763	0.45691879	
460.63	0.45633066	0.45910718	
460.83	0.45800351	0.46124401	
461.03	0.46002696	0.46333056	
461.23	0.46151166	0.46536806	
461.43	0.46276734	0.4673577	
461.63	0.46400361	0.46930068	
461.83	0.46515084	0.47119813	
462.03	0.46598285	0.47305118	
462.23	0.46651006	0.47486091	
462.43	0.46776257	0.47662839	
462.63	0.46902477	0.47835465	
462.83	0.47025067	0.48004072	
463.03	0.47149006	0.48168757	
463.23	0.47272018	0.48329617	
463.43	0.473693	0.48486746	
463.63	0.474726	0.48640236	
463.83	0.47529724	0.48790176	
464.03	0.47609134	0.48936653	
464.23	0.4767166	0.49079752	
464.43	0.47803586	0.49219556	
464.63	0.47966291	0.49356147	
464.83	0.48072132	0.49489603	
465.03	0.48212963	0.49620001	
465.23	0.48272698	0.49747416	
465.43	0.48350871	0.49871922	
465.63	0.48408289	0.49993589	
465.83	0.48442594	0.50112489	
466.03	0.48478288	0.50228687	
466.23	0.48542652	0.50342252	
466.43	0.48582101	0.50453248	
466.63	0.48682834	0.50561737	
466.83	0.48754948	0.50667781	
467.03	0.48815989	0.50771441	
467.23	0.48900506	0.50872775	
467.43	0.4896458	0.50971839	
467.63	0.49046218	0.5106869	
467.83	0.49118288	0.51163382	
468.03	0.49218093	0.51255969	
468.23	0.49381725	0.51346501	
468.43	0.49554654	0.51435029	
468.63	0.49688125	0.51521602	
468.83	0.49753104	0.51606269	
469.03	0.49893958	0.51689076	
469.23	0.49963309	0.51770069	
469.43	0.50086951	0.51849292	
469.63	0.50157582	0.51926789	
469.83	0.50190267	0.52002602	
470.03	0.50230711	0.52076772	
470.23	0.50269256	0.5214934	
470.43	0.50268219	0.52220345	
470.63	0.50340031	0.52289826	
470.83	0.5033755	0.52357819	
471.03	0.50410033	0.52424362	
471.23	0.50475765	0.5248949	
471.43	0.50498257	0.52553237	
471.63	0.50549322	0.52615638	
471.83	0.50652877	0.52676726	
472.03	0.50799299	0.52736532	
472.23	0.5089476	0.52795088	
472.43	0.50929626	0.52852425	
472.63	0.50929334	0.52908573	
472.83	0.50943605	0.52963561	
473.03	0.51014851	0.53017417	
473.23	0.51094401	0.5307017	
473.43	0.51187137	0.53121845	
473.63	0.51201653	0.5317247	
473.83	0.51237281	0.53222071	
474.03	0.51284127	0.53270671	
474.23	0.51334095	0.53318297	
474.43	0.51363931	0.53364972	
474.63	0.51430528	0.53410719	
474.83	0.51476371	0.5345556	
475.03	0.51587393	0.53499519	
475.23	0.51657039	0.53542617	
475.43	0.51677282	0.53584874	
475.63	0.51758967	0.53626312	
475.83	0.51881817	0.5366695	
476.03	0.51981334	0.53706808	
476.23	0.51984031	0.53745906	
476.43	0.52016329	0.53784261	
476.63	0.52039367	0.53821892	
476.83	0.520959	0.53858818	
477.03	0.52180427	0.53895054	
477.23	0.52228652	0.53930617	
477.43	0.52298789	0.53965526	
477.63	0.52384585	0.53999794	
477.83	0.52435033	0.54033439	
478.03	0.52501963	0.54066475	
478.23	0.52550997	0.54098917	
478.43	0.52548618	0.5413078	
478.63	0.52569998	0.54162078	
478.83	0.52595422	0.54192824	
479.03	0.52658534	0.54223033	
479.23	0.5270165	0.54252717	
