Conc1	5E-08	
Start1	450.03	
Stop1	2549.84	
Kobs	0.000579257011490846	
Error Kobs	6.01223276287824E-06	
Koff	0.00329094154512654	
Error Koff	3.14521986251844E-05	
Time1	Data1	Fit1	
450.03	0.00451876	0.00451876	
450.23	0.00504953	0.00698047	
450.43	0.00661918	0.00939521	
450.63	0.00814078	0.01176388	
450.83	0.00989938	0.01408738	
451.03	0.01257246	0.01636658	
451.23	0.01530151	0.01860234	
451.43	0.01781939	0.02079551	
451.63	0.0201828	0.02294689	
451.83	0.0226464	0.02505731	
452.03	0.02533573	0.02712756	
452.23	0.02786715	0.02915842	
452.43	0.02986451	0.03115064	
452.63	0.03161805	0.03310497	
452.83	0.03361503	0.03502216	
453.03	0.03550595	0.03690292	
453.23	0.03759128	0.03874795	
453.43	0.03855375	0.04055794	
453.63	0.04035885	0.04233358	
453.83	0.04266929	0.04407553	
454.03	0.04436065	0.04578444	
454.23	0.04609541	0.04746095	
454.43	0.04866879	0.04910569	
454.63	0.05041701	0.05071928	
454.83	0.05272631	0.05230231	
455.03	0.05551836	0.05385538	
455.23	0.05732074	0.05537906	
455.43	0.05894014	0.05687394	
455.63	0.06019061	0.05834056	
455.83	0.06185316	0.05977947	
456.03	0.06374364	0.06119121	
456.23	0.06517378	0.0625763	
456.43	0.06633563	0.06393527	
456.63	0.06766803	0.06526861	
456.83	0.06879432	0.06657683	
457.03	0.07039147	0.0678604	
457.23	0.07214373	0.06911981	
457.43	0.07360064	0.07035552	
457.63	0.07495176	0.071568	
457.83	0.07675611	0.07275769	
458.03	0.07792162	0.07392503	
458.23	0.0792514	0.07507046	
458.43	0.08113355	0.0761944	
458.63	0.08247163	0.07729726	
458.83	0.08390828	0.07837946	
459.03	0.0855167	0.0794414	
459.23	0.08616073	0.08048346	
459.43	0.08729046	0.08150603	
459.63	0.08797035	0.08250949	
459.83	0.08925315	0.08349422	
460.03	0.08993463	0.08446056	
460.23	0.09026511	0.08540888	
460.43	0.09111964	0.08633953	
460.63	0.09157202	0.08725284	
460.83	0.09216078	0.08814916	
461.03	0.09346836	0.08902881	
461.23	0.093716	0.08989212	
461.43	0.09459985	0.0907394	
461.63	0.0951266	0.09157097	
461.83	0.09585895	0.09238712	
462.03	0.09653753	0.09318815	
462.23	0.09726249	0.09397437	
462.43	0.09836888	0.09474604	
462.63	0.09905173	0.09550347	
462.83	0.09978904	0.09624691	
463.03	0.10041114	0.09697665	
463.23	0.10101164	0.09769294	
463.43	0.10173591	0.09839606	
463.63	0.10237604	0.09908625	
463.83	0.10290938	0.09976376	
464.03	0.10282072	0.10042884	
464.23	0.10313499	0.10108172	
464.43	0.10394492	0.10172266	
464.63	0.10433257	0.10235187	
464.83	0.10468605	0.10296958	
465.03	0.10527772	0.10357603	
465.23	0.10540932	0.10417141	
465.43	0.10588827	0.10475596	
465.63	0.10616712	0.10532987	
465.83	0.1064009	0.10589336	
466.03	0.10694845	0.10644662	
466.23	0.10759887	0.10698986	
466.43	0.10838836	0.10752326	
466.63	0.1089878	0.10804702	
466.83	0.10932992	0.10856133	
467.03	0.10978137	0.10906637	
467.23	0.11051879	0.10956231	
467.43	0.11079505	0.11004933	
467.63	0.11139793	0.11052762	
467.83	0.11179989	0.11099732	
468.03	0.11244472	0.11145862	
468.23	0.11283326	0.11191167	
468.43	0.11320963	0.11235664	
468.63	0.1135607	0.11279367	
468.83	0.11372329	0.11322293	
469.03	0.114118	0.11364457	
469.23	0.1143481	0.11405872	
469.43	0.11425619	0.11446554	
469.63	0.11426294	0.11486517	
469.83	0.11399348	0.11525774	
470.03	0.11407275	0.1156434	
470.23	0.11455805	0.11602228	
470.43	0.11480046	0.11639451	
470.63	0.11434409	0.11676021	
470.83	0.11449724	0.11711952	
471.03	0.11471727	0.11747255	
471.23	0.11488658	0.11781944	
471.43	0.11532459	0.11816029	
471.63	0.11574823	0.11849523	
471.83	0.11625613	0.11882436	
472.03	0.11671431	0.11914781	
472.23	0.11677714	0.11946568	
472.43	0.11716553	0.11977808	
472.63	0.1175701	0.12008511	
472.83	0.11747878	0.12038689	
473.03	0.11742612	0.1206835	
473.23	0.11729952	0.12097505	
473.43	0.11759708	0.12126165	
473.63	0.11794968	0.12154338	
473.83	0.11822866	0.12182033	
474.03	0.11876264	0.12209261	
474.23	0.11937934	0.1223603	
474.43	0.11984756	0.12262349	
474.63	0.11991812	0.12288227	
474.83	0.12045126	0.12313671	
475.03	0.12104551	0.12338692	
475.23	0.12154116	0.12363297	
475.43	0.12213476	0.12387493	
475.63	0.122517	0.12411289	
475.83	0.12264208	0.12434693	
476.03	0.12274203	0.12457712	
476.23	0.12269369	0.12480353	
476.43	0.12251369	0.12502624	
476.63	0.12218116	0.12524533	
476.83	0.12189045	0.12546085	
477.03	0.12192013	0.12567288	
477.23	0.12209131	0.12588149	
477.43	0.12240861	0.12608675	
477.63	0.12248546	0.12628871	
477.83	0.12269523	0.12648744	
478.03	0.12295191	0.12668301	
478.23	0.12293338	0.12687547	
478.43	0.1229707	0.12706489	
478.63	0.12321824	0.12725132	
478.83	0.12382159	0.12743482	
479.03	0.1244923	0.12761546	
479.23	0.1252351	0.12779327	
479.43	0.12597093	0.12796833	
479.63	0.126283	0.12814068	
479.83	0.12585826	0.12831037	
480.03	0.12598129	0.12847745	
480.23	0.12608944	0.12864199	
480.43	0.12620348	0.12880402	
480.63	0.12600194	0.12896359	
480.83	0.12599985	0.12912075	
481.03	0.12613904	0.12927556	
481.23	0.12604299	0.12942804	
481.43	0.12572842	0.12957825	
481.63	0.12593755	0.12972624	
481.83	0.12588259	0.12987204	
482.03	0.12565198	0.1300157	
482.23	0.12505423	0.13015726	
482.43	0.12524667	0.13029676	
482.63	0.12589298	0.13043423	
482.83	0.12681978	0.13056973	
483.03	0.12751825	0.13070328	
483.23	0.1283529	0.13083492	
483.43	0.12861824	0.1309647	
483.63	0.12821753	0.13109265	
483.83	0.12802269	0.13121879	
484.03	0.12808995	0.13134318	
484.23	0.12833684	0.13146583	
484.43	0.12807842	0.13158679	
484.63	0.1277667	0.13170609	
484.83	0.12797426	0.13182376	
485.03	0.12787589	0.13193982	
485.23	0.12764731	0.13205432	
485.43	0.12795186	0.13216729	
485.63	0.12823779	0.13227874	
485.83	0.12798021	0.13238872	
486.03	0.12777236	0.13249724	
486.23	0.12756966	0.13260434	
486.43	0.12825252	0.13271005	
486.63	0.12846787	0.13281439	
486.83	0.12961983	0.13291739	
487.03	0.13020655	0.13301907	
487.23	0.13037682	0.13311947	
487.43	0.13069416	0.13321859	
487.63	0.13071072	0.13331648	
487.83	0.13122236	0.13341315	
488.03	0.13084195	0.13350862	
488.23	0.13127063	0.13360293	
488.43	0.13121366	0.13369609	
488.63	0.13151657	0.13378812	
488.83	0.13130564	0.13387905	
489.03	0.13148979	0.13396889	
489.23	0.13162788	0.13405767	
489.43	0.13179238	0.13414542	
489.63	0.13088699	0.13423214	
489.83	0.13016854	0.13431785	
490.03	0.12999002	0.13440259	
490.23	0.13018353	0.13448637	
490.43	0.13091269	0.13456919	
490.63	0.13073569	0.1346511	
490.83	0.13145031	0.13473209	
491.03	0.13152163	0.13481219	
491.23	0.13140494	0.13489142	
491.43	0.13165316	0.13496979	
491.63	0.13136305	0.13504732	
491.83	0.13141689	0.13512403	
492.03	0.13130808	0.13519993	
492.23	0.13166351	0.13527503	
492.43	0.13172703	0.13534936	
492.63	0.13219923	0.13542292	
492.83	0.13232161	0.13549574	
493.03	0.1328958	0.13556782	
493.23	0.1326137	0.13563919	
493.43	0.13260408	0.13570985	
493.63	0.13199162	0.13577981	
493.83	0.13238267	0.1358491	
494.03	0.13241835	0.13591772	
494.23	0.13287422	0.13598569	
494.43	0.13374863	0.13605302	
494.63	0.13340249	0.13611972	
494.83	0.13379023	0.1361858	
495.03	0.13328421	0.13625128	
495.23	0.13302102	0.13631617	
495.43	0.13279342	0.13638048	
495.63	0.13283547	0.13644422	
495.83	0.13350443	0.1365074	
496.03	0.13313766	0.13657003	
496.23	0.13248035	0.13663212	
496.43	0.13279626	0.13669369	
496.63	0.13353382	0.13675473	
496.83	0.13353102	0.13681528	
497.03	0.13350895	0.13687532	
497.23	0.13304782	0.13693488	
497.43	0.13317304	0.13699395	
497.63	0.13302283	0.13705256	
497.83	0.13267771	0.13711071	
498.03	0.1326037	0.13716841	
498.23	0.13340073	0.13722566	
498.43	0.13407639	0.13728248	
498.63	0.13409027	0.13733887	
498.83	0.13409239	0.13739485	
499.03	0.13379322	0.13745041	
499.23	0.13424544	0.13750558	
499.43	0.13472074	0.13756034	
499.63	0.13539007	0.13761473	
499.83	0.13558266	0.13766873	
500.03	0.1351264	0.13772236	
500.23	0.13531736	0.13777563	
500.43	0.1354522	0.13782854	
500.63	0.13566273	0.13788109	
500.83	0.13563146	0.13793331	
501.03	0.13562751	0.13798518	
501.23	0.13547561	0.13803673	
501.43	0.135146	0.13808795	
501.63	0.13515726	0.13813885	
501.83	0.1350209	0.13818943	
502.03	0.13529835	0.13823972	
502.23	0.13551091	0.1382897	
502.43	0.13560637	0.13833938	
502.63	0.13547388	0.13838878	
502.83	0.13559741	0.13843789	
503.03	0.13612127	0.13848672	
503.23	0.13667032	0.13853528	
503.43	0.13725772	0.13858357	
503.63	0.13746905	0.1386316	
503.83	0.1373497	0.13867938	
504.03	0.13739212	0.13872689	
504.23	0.1373867	0.13877416	
504.43	0.13735438	0.13882119	
504.63	0.13758633	0.13886798	
504.83	0.1374662	0.13891453	
505.03	0.13736718	0.13896086	
505.23	0.13716471	0.13900696	
505.43	0.13720434	0.13905284	
505.63	0.13736948	0.1390985	
505.83	0.1373646	0.13914395	
506.03	0.13729782	0.13918919	
506.23	0.13756161	0.13923422	
506.43	0.13731474	0.13927906	
506.63	0.13723393	0.13932369	
506.83	0.13767012	0.13936814	
507.03	0.13765851	0.13941239	
507.23	0.13752114	0.13945646	
507.43	0.13746527	0.13950034	
507.63	0.13709745	0.13954405	
507.83	0.13704393	0.13958758	
508.03	0.13702267	0.13963094	
508.23	0.13705582	0.13967413	
508.43	0.13669269	0.13971715	
508.63	0.13627195	0.13976001	
508.83	0.13631405	0.13980271	
509.03	0.13640466	0.13984526	
509.23	0.13665797	0.13988765	
509.43	0.13691247	0.13992989	
509.63	0.13693294	0.13997198	
509.83	0.13754797	0.14001393	
510.03	0.13797159	0.14005573	
510.23	0.13802225	0.1400974	
510.43	0.13767325	0.14013892	
510.63	0.13799025	0.14018032	
510.83	0.1380196	0.14022158	
511.03	0.13797871	0.14026271	
511.23	0.1383181	0.14030371	
511.43	0.13865713	0.14034459	
511.63	0.13842894	0.14038535	
511.83	0.13834129	0.14042599	
512.03	0.13833466	0.1404665	
512.23	0.13860731	0.14050691	
512.43	0.1384873	0.1405472	
512.63	0.1387983	0.14058738	
512.83	0.13911563	0.14062745	
513.03	0.13912624	0.14066741	
513.23	0.13910611	0.14070726	
513.43	0.13948826	0.14074702	
513.63	0.13952367	0.14078667	
513.83	0.13954338	0.14082622	
514.03	0.13953608	0.14086568	
514.23	0.13948152	0.14090503	
514.43	0.13928229	0.1409443	
514.63	0.13978786	0.14098347	
514.83	0.13956425	0.14102255	
515.03	0.13940851	0.14106155	
515.23	0.13952015	0.14110045	
515.43	0.13969639	0.14113927	
515.63	0.13916046	0.14117801	
515.83	0.13962588	0.14121666	
516.03	0.14033835	0.14125523	
516.23	0.14074283	0.14129373	
516.43	0.1407449	0.14133214	
516.63	0.14095047	0.14137048	
516.83	0.14114704	0.14140874	
517.03	0.14092326	0.14144693	
517.23	0.14045397	0.14148505	
517.43	0.14040941	0.14152309	
517.63	0.14026494	0.14156107	
517.83	0.13990397	0.14159898	
518.03	0.13994747	0.14163682	
518.23	0.14048189	0.14167459	
518.43	0.13993615	0.1417123	
518.63	0.14019802	0.14174994	
518.83	0.13971699	0.14178753	
519.03	0.13969376	0.14182505	
519.23	0.13993035	0.14186251	
519.43	0.14037695	0.14189991	
519.63	0.14020551	0.14193725	
519.83	0.14089911	0.14197454	
520.03	0.14123577	0.14201177	
520.23	0.14134732	0.14204895	
520.43	0.14147179	0.14208607	
520.63	0.14172983	0.14212313	
520.83	0.14198025	0.14216015	
521.03	0.14182482	0.14219711	
521.23	0.14187808	0.14223403	
521.43	0.14181308	0.14227089	
521.63	0.14187764	0.14230771	
521.83	0.14108093	0.14234448	
522.03	0.14095555	0.1423812	
522.23	0.14114161	0.14241788	
522.43	0.14111572	0.14245451	
522.63	0.14153802	0.14249109	
522.83	0.14138947	0.14252763	
523.03	0.14124751	0.14256413	
523.23	0.14097561	0.14260059	
523.43	0.14092597	0.14263701	
523.63	0.1408796	0.14267338	
523.83	0.14095188	0.14270972	
524.03	0.14109539	0.14274602	
524.23	0.14091506	0.14278227	
524.43	0.14083186	0.14281849	
524.63	0.14110044	0.14285468	
524.83	0.14116718	0.14289082	
525.03	0.14125146	0.14292693	
525.23	0.14146875	0.14296301	
525.43	0.14081683	0.14299905	
525.63	0.14093511	0.14303506	
525.83	0.14092269	0.14307103	
526.03	0.14093808	0.14310697	
526.23	0.14144178	0.14314288	
526.43	0.14215864	0.14317875	
526.63	0.14240555	0.1432146	
526.83	0.14266281	0.14325041	
527.03	0.14253349	0.14328619	
527.23	0.14312729	0.14332195	
527.43	0.14332948	0.14335767	
527.63	0.14350911	0.14339337	
527.83	0.14380411	0.14342903	
528.03	0.14330682	0.14346467	
528.23	0.14261299	0.14350028	
528.43	0.14261772	0.14353587	
528.63	0.1425837	0.14357143	
528.83	0.14290713	0.14360696	
529.03	0.14315799	0.14364247	
529.23	0.14327117	0.14367795	
529.43	0.14350024	0.14371341	
529.63	0.14390336	0.14374884	
529.83	0.14394806	0.14378425	
530.03	0.1438724	0.14381963	
530.23	0.14457202	0.143855	
530.43	0.14503902	0.14389033	
530.63	0.14569088	0.14392565	
530.83	0.14565941	0.14396095	
531.03	0.14587645	0.14399622	
531.23	0.14651826	0.14403147	
531.43	0.14609432	0.1440667	
531.63	0.14521578	0.14410191	
531.83	0.14463597	0.1441371	
532.03	0.14385049	0.14417227	
532.23	0.14324037	0.14420742	
532.43	0.14319851	0.14424255	
532.63	0.14269253	0.14427766	
532.83	0.14309512	0.14431275	
533.03	0.14281701	0.14434782	
533.23	0.14263654	0.14438288	
533.43	0.1427226	0.14441792	
533.63	0.14263804	0.14445294	
533.83	0.14319215	0.14448794	
534.03	0.14353218	0.14452292	
534.23	0.14420252	0.14455789	
534.43	0.14419693	0.14459284	
534.63	0.1446813	0.14462777	
534.83	0.14452691	0.14466269	
535.03	0.14505014	0.1446976	
535.23	0.14506463	0.14473248	
535.43	0.14432633	0.14476735	
