Conc1	1.2E-05	
Start1	450.02	
Stop1	2549.82	
Kobs	0.0016075729621809	
Error Kobs	2.1076349082574E-05	
Koff	0.297185389856919	
Error Koff	0.00828087601207668	
Time1	Data1	Fit1	
450.02	0.16508235	0.16508235	
450.22	0.19259194	0.18019312	
450.42	0.22097106	0.1946875	
450.62	0.24965573	0.20859078	
450.82	0.27757008	0.22192716	
451.02	0.3037153	0.23471991	
451.22	0.3272726	0.24699128	
451.42	0.3476589	0.25876266	
451.62	0.36395177	0.27005454	
451.82	0.37473494	0.28088658	
452.02	0.37889509	0.29127762	
452.22	0.37637649	0.30124573	
452.42	0.37771397	0.31080826	
452.62	0.38053234	0.31998182	
452.82	0.38339651	0.32878236	
453.02	0.38642365	0.33722517	
453.22	0.38996689	0.34532491	
453.42	0.39305872	0.35309565	
453.62	0.39658443	0.36055086	
453.82	0.39952157	0.36770348	
454.02	0.40237032	0.37456592	
454.22	0.40517903	0.38115006	
454.42	0.40812194	0.38746732	
454.62	0.41101216	0.39352863	
454.82	0.41368723	0.39934448	
455.02	0.41629354	0.40492493	
455.22	0.41903248	0.41027964	
455.42	0.42171231	0.41541784	
455.62	0.42441155	0.42034843	
455.82	0.42656284	0.4250799	
456.02	0.42869805	0.42962042	
456.22	0.43110387	0.43397781	
456.42	0.43342461	0.43815958	
456.62	0.43550631	0.44217293	
456.82	0.43715046	0.44602476	
457.02	0.43940296	0.44972168	
457.22	0.44133568	0.45327006	
457.42	0.44269432	0.45667597	
457.62	0.44480108	0.45994525	
457.82	0.4462619	0.46308351	
458.02	0.44802334	0.46609612	
458.22	0.44980489	0.46898822	
458.42	0.45133048	0.47176475	
458.62	0.45270575	0.47443045	
458.82	0.45449396	0.47698986	
459.02	0.45614571	0.47944733	
459.22	0.45786968	0.48180705	
459.42	0.45942508	0.48407302	
459.62	0.46115422	0.48624909	
459.82	0.46223172	0.48833893	
460.02	0.46385717	0.49034607	
460.22	0.46493132	0.49227392	
460.42	0.46639812	0.49412572	
460.62	0.46812857	0.49590458	
460.82	0.46958956	0.49761349	
461.02	0.47102006	0.49925532	
461.22	0.47187899	0.50083282	
461.42	0.47328356	0.50234862	
461.62	0.47465431	0.50380526	
461.82	0.47542786	0.50520515	
462.02	0.47634785	0.50655063	
462.22	0.47727993	0.50784391	
462.42	0.47881236	0.50908715	
462.62	0.47997225	0.51028238	
462.82	0.48140915	0.51143158	
463.02	0.48247348	0.51253664	
463.22	0.48353587	0.51359935	
463.42	0.48438285	0.51462146	
463.62	0.48512543	0.51560463	
463.82	0.48597163	0.51655046	
464.02	0.48763361	0.51746047	
464.22	0.48877797	0.51833613	
464.42	0.489982	0.51917885	
464.62	0.49094559	0.51998997	
464.82	0.4913486	0.5207708	
465.02	0.49225245	0.52152257	
465.22	0.4929659	0.52224648	
465.42	0.49385283	0.52294366	
465.62	0.49446663	0.52361521	
465.82	0.49480603	0.52426217	
466.02	0.49581318	0.52488556	
466.22	0.49695853	0.52548635	
466.42	0.49828134	0.52606544	
466.62	0.49930708	0.52662375	
466.82	0.4999657	0.52716211	
467.02	0.50067547	0.52768134	
467.22	0.50164372	0.52818222	
467.42	0.50222914	0.52866552	
467.62	0.50324032	0.52913194	
467.82	0.50451699	0.52958218	
468.02	0.50602045	0.53001689	
468.22	0.50660618	0.53043672	
468.42	0.50681515	0.53084228	
468.62	0.50726398	0.53123415	
468.82	0.50801138	0.53161288	
469.02	0.50849954	0.53197902	
469.22	0.50901683	0.53233308	
469.42	0.50954415	0.53267556	
469.62	0.50976385	0.53300692	
469.82	0.50968811	0.53332763	
470.02	0.51026061	0.53363812	
470.22	0.51076209	0.53393881	
470.42	0.51141048	0.53423009	
470.62	0.5117791	0.53451236	
470.82	0.5121366	0.53478598	
471.02	0.5129296	0.53505131	
471.22	0.51441583	0.53530868	
471.42	0.51500295	0.53555842	
471.62	0.51604051	0.53580084	
471.82	0.51681491	0.53603624	
472.02	0.51742534	0.53626491	
472.22	0.51751803	0.53648712	
472.42	0.5180238	0.53670314	
472.62	0.5185919	0.53691321	
472.82	0.51867452	0.53711759	
473.02	0.51883311	0.5373165	
473.22	0.51908015	0.53751017	
473.42	0.5191092	0.53769881	
473.62	0.5194156	0.53788263	
473.82	0.51980442	0.53806182	
474.02	0.52029979	0.53823657	
474.22	0.52069019	0.53840706	
474.42	0.52148819	0.53857347	
474.62	0.52213975	0.53873597	
474.82	0.52288859	0.5388947	
475.02	0.52446105	0.53904984	
475.22	0.52559427	0.53920151	
475.42	0.52585187	0.53934987	
475.62	0.52619769	0.53949505	
475.82	0.52655519	0.53963717	
476.02	0.52669892	0.53977637	
476.22	0.5267905	0.53991275	
476.42	0.52659816	0.54004645	
476.62	0.52635783	0.54017755	
476.82	0.52611519	0.54030618	
477.02	0.52602411	0.54043243	
477.22	0.52624993	0.54055639	
477.42	0.5260322	0.54067817	
477.62	0.52627479	0.54079784	
477.82	0.52625919	0.5409155	
478.02	0.5266242	0.54103122	
478.22	0.52669269	0.54114509	
478.42	0.52703894	0.54125717	
478.62	0.52746385	0.54136755	
478.82	0.52804429	0.54147629	
479.02	0.52886058	0.54158345	
479.22	0.52855833	0.54168911	
479.42	0.52882089	0.54179331	
479.62	0.52872045	0.54189613	
479.82	0.52879888	0.54199761	
480.02	0.5289887	0.54209781	
480.22	0.52940374	0.54219678	
480.42	0.5294189	0.54229457	
480.62	0.53040069	0.54239123	
480.82	0.53094305	0.5424868	
481.02	0.5314696	0.54258133	
481.22	0.53234131	0.54267486	
481.42	0.53282437	0.54276742	
481.62	0.53320516	0.54285907	
481.82	0.53385609	0.54294983	
482.02	0.53461829	0.54303973	
482.22	0.53436784	0.54312883	
482.42	0.53494529	0.54321713	
482.62	0.53533389	0.54330469	
482.82	0.53548526	0.54339152	
483.02	0.53555839	0.54347766	
483.22	0.5357024	0.54356313	
483.42	0.53587665	0.54364796	
483.62	0.53579202	0.54373218	
483.82	0.53563693	0.54381581	
484.02	0.53601482	0.54389887	
484.22	0.53594269	0.54398138	
484.42	0.53600974	0.54406337	
484.62	0.53665469	0.54414486	
484.82	0.53669112	0.54422587	
485.02	0.53693408	0.54430641	
485.22	0.53705949	0.5443865	
485.42	0.53707456	0.54446617	
485.62	0.53687243	0.54454542	
485.82	0.537317	0.54462428	
486.02	0.53720926	0.54470275	
486.22	0.53745696	0.54478086	
486.42	0.53743291	0.54485862	
486.62	0.53745455	0.54493604	
486.82	0.53772565	0.54501313	
487.02	0.53814689	0.54508991	
487.22	0.53854446	0.54516639	
487.42	0.53871137	0.54524258	
487.62	0.53885465	0.54531849	
487.82	0.53858229	0.54539414	
488.02	0.53857082	0.54546952	
488.22	0.53860383	0.54554466	
488.42	0.53904247	0.54561955	
488.62	0.53903321	0.54569422	
488.82	0.5388529	0.54576866	
489.02	0.53894595	0.54584289	
489.22	0.53927222	0.54591691	
489.42	0.53959064	0.54599074	
489.62	0.54029358	0.54606437	
489.82	0.54064955	0.54613783	
490.02	0.54075794	0.5462111	
490.22	0.54140344	0.5462842	
490.42	0.54099722	0.54635714	
