Conc1	1E-06	
Start1	450.03	
Stop1	2549.83	
Kobs	0.307777789777528	
Error Kobs	0.0154592499575579	
Koff	0.00342780828093315	
Error Koff	2.48135353842015E-05	
Time1	Data1	Fit1	
450.03	0.03204668	0.03204668	
450.23	0.04603709	0.04620744	
450.43	0.06160447	0.05953923	
450.63	0.07819573	0.0720915	
450.83	0.09555873	0.08391079	
451.03	0.1132314	0.09504082	
451.23	0.1304955	0.10552273	
451.43	0.14648715	0.11539519	
451.63	0.16071922	0.12469458	
451.83	0.17353679	0.13345507	
452.03	0.18368506	0.14170884	
452.23	0.190113	0.1494861	
452.43	0.19429797	0.15681529	
452.63	0.19754334	0.16372313	
452.83	0.2003506	0.17023478	
453.03	0.20301308	0.17637385	
453.23	0.20494872	0.18216258	
453.43	0.20729885	0.18762186	
453.63	0.20913523	0.19277134	
453.83	0.21114401	0.1976295	
454.03	0.21258969	0.20221371	
454.23	0.21478236	0.2065403	
454.43	0.21634473	0.21062465	
454.63	0.21791216	0.21448119	
454.83	0.21952343	0.21812351	
455.03	0.22114757	0.22156437	
455.23	0.22218821	0.22481579	
455.43	0.22316561	0.22788906	
455.63	0.22368717	0.23079479	
455.83	0.2253279	0.23354298	
456.03	0.22638731	0.23614299	
456.23	0.2273163	0.23860368	
456.43	0.22820414	0.24093333	
456.63	0.22885302	0.24313974	
456.83	0.22995608	0.24523027	
457.03	0.23130912	0.24721181	
457.23	0.23186735	0.24909084	
457.43	0.23321501	0.25087348	
457.63	0.23398012	0.25256545	
457.83	0.23531787	0.25417216	
458.03	0.23603831	0.25569867	
458.23	0.23723764	0.25714976	
458.43	0.23778996	0.25852991	
458.63	0.2386935	0.25984333	
458.83	0.2394946	0.261094	
459.03	0.24029462	0.26228564	
459.23	0.24054355	0.26342177	
459.43	0.24101367	0.26450567	
459.63	0.24130391	0.26554044	
459.83	0.24239872	0.26652901	
460.03	0.24318597	0.26747411	
460.23	0.24371736	0.26837832	
460.43	0.24418934	0.26924406	
460.63	0.2445117	0.27007362	
460.83	0.24542261	0.27086913	
461.03	0.24600805	0.27163262	
461.23	0.24679762	0.27236597	
461.43	0.24810377	0.27307097	
461.63	0.2487817	0.2737493	
461.83	0.24990908	0.27440252	
462.03	0.25047406	0.27503212	
462.23	0.25120505	0.27563949	
462.43	0.25184533	0.27622595	
462.63	0.25221539	0.27679272	
462.83	0.25252519	0.27734097	
463.03	0.25305076	0.27787177	
463.23	0.25380975	0.27838616	
463.43	0.25476964	0.2788851	
463.63	0.25528386	0.27936949	
463.83	0.25572794	0.27984019	
464.03	0.25614612	0.28029799	
464.23	0.25638478	0.28074365	
464.43	0.2568981	0.28117788	
464.63	0.257107	0.28160134	
464.83	0.25712323	0.28201466	
465.03	0.25756566	0.28241842	
465.23	0.25797654	0.28281318	
465.43	0.25798257	0.28319946	
465.63	0.25821695	0.28357776	
465.83	0.25834186	0.28394852	
466.03	0.25849032	0.28431218	
466.23	0.25874254	0.28466916	
466.43	0.25885895	0.28501982	
466.63	0.2591606	0.28536454	
466.83	0.25954193	0.28570365	
467.03	0.26066266	0.28603746	
467.23	0.26148648	0.28636629	
467.43	0.26190491	0.2866904	
467.63	0.26214224	0.28701007	
467.83	0.26312689	0.28732554	
468.03	0.26390285	0.28763704	
468.23	0.26452534	0.2879448	
468.43	0.26495554	0.28824902	
468.63	0.26559386	0.28854991	
468.83	0.26572839	0.28884763	
469.03	0.2661369	0.28914236	
469.23	0.26626033	0.28943427	
469.43	0.26632571	0.28972351	
469.63	0.26727966	0.29001021	
469.83	0.26767316	0.29029452	
470.03	0.26797998	0.29057657	
470.23	0.2686563	0.29085646	
470.43	0.26895267	0.29113431	
470.63	0.26986104	0.29141023	
470.83	0.27029894	0.29168432	
471.03	0.27098908	0.29195666	
471.23	0.27115382	0.29222736	
471.43	0.27210867	0.29249648	
471.63	0.27215841	0.29276411	
471.83	0.27287028	0.29303031	
472.03	0.2729706	0.29329517	
472.23	0.27320991	0.29355874	
472.43	0.27361992	0.29382108	
472.63	0.27388865	0.29408225	
472.83	0.27383027	0.29434231	
473.03	0.27347183	0.2946013	
473.23	0.27395298	0.29485927	
473.43	0.27420281	0.29511627	
473.63	0.27511504	0.29537234	
473.83	0.27477086	0.29562751	
474.03	0.2748516	0.29588183	
474.23	0.27548483	0.29613533	
474.43	0.27600933	0.29638804	
474.63	0.27684965	0.29664	
474.83	0.27702065	0.29689123	
475.03	0.2777308	0.29714176	
475.23	0.27818207	0.29739162	
